광흥창방면,공덕방면,광흥창방면,공덕방면
평일,평일,주말,주말
05:30첫,05:46첫,05:30첫,05:46첫
대흥응암순환,새절신내,대흥응암순환,새절신내
5:38,5:57,5:38,5:57
공덕응암순환,독바위봉화산,공덕응암순환,독바위봉화산
5:47,-,5:47,-
한강진응암순환,-,한강진응암순환,-
5:55,-,5:55,-
안암응암순환,-,안암응암순환,-
6:02,6:08,6:02,6:08
상월곡응암순환,응암신내,상월곡응암순환,응암신내
6:09,6:18,6:09,6:18
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:16,6:28,6:18,6:27
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:23,6:36,6:27,6:36
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:30,6:43,6:36,6:43
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:37,6:51,6:45,6:51
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
6:44,6:58,6:54,6:58
신내응암순환,응암신내,신내응암순환,응암봉화산
6:50,-,7:03,7:07
봉화산응암순환,-,봉화산응암순환,응암신내
6:56,-,7:12,7:16
신내응암순환,-,신내응암순환,응암봉화산
7:02,7:05,7:21,7:24
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:08,7:12,7:30,7:33
봉화산응암순환,응암신내,신내응암순환,응암신내
7:13,7:19,7:39,7:42
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:18,7:26,7:48,7:51
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:23,7:33,7:57,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
7:27,7:39,8:06,8:00
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:32,7:45,8:15,8:09
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:36,7:51,8:24,8:18
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:40,7:54,8:33,8:27
봉화산응암순환,새절봉화산,봉화산응암순환,응암신내
7:44,7:58,8:42,8:36
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:48,-,8:51,8:45
