마포구청방면,합정방면,마포구청방면,합정방면
평일,평일,주말,주말
05:37첫,05:39첫,05:37첫,05:39첫
대흥응암순환,새절신내,대흥응암순환,새절신내
5:46,5:50,5:46,5:50
공덕응암순환,독바위봉화산,공덕응암순환,독바위봉화산
5:54,-,5:54,-
한강진응암순환,-,한강진응암순환,-
6:02,6:00,6:02,6:00
안암응암순환,응암신내,안암응암순환,응암신내
6:09,6:11,6:09,6:11
상월곡응암순환,응암봉화산,상월곡응암순환,응암봉화산
6:16,6:21,6:16,6:20
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:23,6:29,6:25,6:29
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:30,6:36,6:34,6:36
신내응암순환,응암신내,신내응암순환,응암신내
6:37,6:44,6:43,6:44
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:44,6:51,6:52,6:51
봉화산응암순환,응암신내,신내응암순환,응암봉화산
6:51,6:58,7:01,7:00
신내응암순환,응암봉화산,신내응암순환,응암신내
6:57,-,7:10,7:09
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:03,7:05,7:19,7:17
신내응암순환,응암신내,신내응암순환,응암봉화산
7:09,7:12,7:28,7:26
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
7:15,7:19,7:37,7:35
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:20,7:26,7:46,7:44
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:25,7:32,7:55,7:53
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:30,7:38,8:04,8:02
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:34,7:44,8:13,8:11
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:39,7:47,8:22,8:20
신내응암순환,새절봉화산,봉화산응암순환,응암신내
7:43,7:51,8:31,8:29
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:47,7:55,8:40,8:38
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:51,-,8:49,8:47
봉화산응암순환,-,봉화산응암순환,응암신내
7:55,-,8:58,8:56
신내응암순환,-,신내응암순환,응암봉화산
7:59,-,9:07,9:05
봉화산응암순환,-,봉화산응암순환,응암봉화산
8:03,8:00,9:16,9:14
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:07,8:04,9:25,9:23
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:11,8:09,9:34,9:32
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:15,8:13,9:43,9:41
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:19,8:18,9:52,9:50
봉화산응암순환,응암신내,신내응암순환,응암봉화산
8:23,8:22,-,9:59
봉화산응암순환,응암봉화산,-,응암봉화산
8:27,8:26,10:01,10:08
신내응암순환,응암봉화산,봉화산응암순환,응암신내
8:31,8:30,10:10,10:17
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:35,8:34,10:19,10:26
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:39,8:38,10:28,10:35
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:43,8:42,10:37,10:44
신내응암순환,응암신내,봉화산응암순환,응암봉화산
8:47,8:46,10:46,10:53
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:51,8:50,10:55,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
8:55,8:54,11:04,11:02
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
-,8:58,11:13,11:11
-,응암봉화산,신내응암순환,응암봉화산
9:00,9:02,11:22,11:20
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:04,9:06,11:31,11:29
봉화산응암순환,응암신내,봉화산응암순환,응암신내
9:09,9:10,11:40,11:38
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:13,9:14,11:49,11:47
봉화산새절,응암봉화산,봉화산응암순환,응암봉화산
9:18,9:18,11:58,11:56
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:24,9:22,12:07,12:05
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:29,9:26,12:16,12:14
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:35,9:30,12:25,12:23
신내응암순환,응암신내,봉화산응암순환,응암신내
9:42,9:34,12:34,12:32
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:49,9:39,12:43,12:41
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:57,9:45,12:52,12:50
신내응암순환,응암봉화산,봉화산응암순환,응암신내
-,9:53,-,12:59
-,응암신내,-,응암봉화산
-,9:58,13:01,13:08
-,응암봉화산,신내응암순환,응암봉화산
10:05,10:04,13:10,13:17
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
10:13,10:10,13:19,13:26
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:21,10:17,13:28,13:35
신내응암순환,응암신내,신내응암순환,응암봉화산
10:29,10:24,13:37,13:44
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
10:37,10:32,13:46,13:53
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:45,10:40,13:55,-
신내응암순환,응암신내,신내응암순환,-
10:53,10:48,14:04,14:02
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,10:56,14:13,14:11
-,응암봉화산,봉화산응암순환,응암신내
11:01,11:04,14:22,14:20
봉화산응암순환,응암신내,신내응암순환,응암봉화산
11:09,11:12,14:31,14:29
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:17,11:20,14:40,14:38
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
11:25,11:28,14:49,14:47
