효창공원앞방면,녹사평방면,효창공원앞방면,녹사평방면
평일,평일,주말,주말
05:41첫,05:37첫,05:41첫,05:37첫
한강진응암순환,공덕신내,한강진응암순환,공덕신내
5:49,5:52,5:49,5:52
안암응암순환,새절신내,안암응암순환,새절신내
5:56,-,5:56,-
상월곡응암순환,-,상월곡응암순환,-
6:03,6:03,6:03,6:03
봉화산응암순환,독바위봉화산,봉화산응암순환,독바위봉화산
6:10,6:13,6:12,6:13
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:17,6:24,6:21,6:24
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:24,6:34,6:30,6:33
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:31,6:42,6:39,6:42
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
6:38,6:49,6:48,6:49
신내응암순환,응암신내,신내응암순환,응암신내
6:44,6:57,6:57,6:57
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:50,-,7:06,7:04
신내응암순환,-,신내응암순환,응암봉화산
6:56,-,7:15,7:13
봉화산응암순환,-,봉화산응암순환,응암신내
7:02,7:04,7:24,7:22
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:07,7:11,7:33,7:30
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:12,7:18,7:42,7:39
봉화산응암순환,응암신내,신내응암순환,응암신내
7:17,7:25,7:51,7:48
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:21,7:32,-,7:57
봉화산응암순환,응암신내,-,응암봉화산
7:26,7:39,8:00,8:06
신내응암순환,응암봉화산,신내응암순환,응암신내
7:30,7:45,8:09,8:15
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:34,7:51,8:18,8:24
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:38,7:57,8:27,8:33
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
7:42,-,8:36,8:42
신내응암순환,-,봉화산응암순환,응암봉화산
7:46,-,8:45,8:51
봉화산응암순환,-,신내응암순환,응암봉화산
7:50,-,8:54,-
봉화산응암순환,-,봉화산응암순환,-
7:54,-,9:03,9:00
봉화산응암순환,-,봉화산응암순환,응암신내
7:58,-,9:12,9:09
신내응암순환,-,신내응암순환,응암봉화산
8:02,8:00,9:21,9:18
봉화산응암순환,새절봉화산,봉화산응암순환,응암봉화산
8:06,8:04,9:30,9:27
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
