공덕방면,삼각지방면,공덕방면,삼각지방면
평일,평일,주말,주말
05:43첫,05:35첫,05:43첫,05:35첫
한강진응암순환,공덕신내,한강진응암순환,공덕신내
5:51,5:50,5:51,5:50
안암응암순환,새절신내,안암응암순환,새절신내
5:58,-,5:58,-
상월곡응암순환,-,상월곡응암순환,-
6:05,6:01,6:05,6:01
봉화산응암순환,독바위봉화산,봉화산응암순환,독바위봉화산
6:12,6:11,6:14,6:11
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:19,6:22,6:23,6:22
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:26,6:32,6:32,6:31
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:33,6:40,6:41,6:40
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
6:40,6:47,6:50,6:47
신내응암순환,응암신내,신내응암순환,응암신내
6:46,6:55,6:59,6:55
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:52,-,7:08,7:02
신내응암순환,-,신내응암순환,응암봉화산
6:58,-,7:17,7:11
봉화산응암순환,-,봉화산응암순환,응암신내
7:04,7:02,7:26,7:20
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:09,7:09,7:35,7:28
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:14,7:16,7:44,7:37
봉화산응암순환,응암신내,신내응암순환,응암신내
7:19,7:23,7:53,7:46
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:23,7:30,-,7:55
봉화산응암순환,응암신내,-,응암봉화산
7:28,7:37,8:02,8:04
신내응암순환,응암봉화산,신내응암순환,응암신내
7:32,7:43,8:11,8:13
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:36,7:49,8:20,8:22
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:40,7:55,8:29,8:31
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
7:44,7:58,8:38,8:40
신내응암순환,새절봉화산,봉화산응암순환,응암봉화산
7:48,-,8:47,8:49
봉화산응암순환,-,신내응암순환,응암봉화산
7:52,-,8:56,8:58
봉화산응암순환,-,봉화산응암순환,응암신내
7:56,-,9:05,9:07
봉화산응암순환,-,봉화산응암순환,응암봉화산
8:00,8:02,9:14,9:16
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:04,8:06,9:23,9:25
봉화산응암순환,응암신내,봉화산응암순환,응암신내
8:08,8:11,9:32,9:34
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:12,8:15,9:41,9:43
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:16,8:20,9:50,9:52
신내응암순환,응암봉화산,봉화산응암순환,응암신내
8:20,8:24,9:59,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
8:24,8:29,10:08,10:01
봉화산응암순환,응암신내,신내응암순환,응암봉화산
8:28,8:33,10:17,10:10
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:32,8:37,10:26,10:19
신내응암순환,응암봉화산,봉화산응암순환,응암신내
8:36,8:41,10:35,10:28
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:40,8:45,10:44,10:37
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:44,8:49,10:53,10:46
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:49,8:53,-,10:55
신내응암순환,응암신내,-,응암봉화산
8:53,8:57,11:02,11:04
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:58,-,11:11,11:13
봉화산응암순환,-,봉화산응암순환,응암신내
9:02,9:01,11:20,11:22
봉화산새절,응암봉화산,봉화산응암순환,응암봉화산
9:07,9:05,11:29,11:31
신내응암순환,응암봉화산,신내응암순환,응암봉화산
9:13,9:09,11:38,11:40
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:18,9:13,11:47,11:49
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:24,9:17,11:56,11:58
신내응암순환,응암신내,신내응암순환,응암봉화산
9:31,9:21,12:05,12:07
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:38,9:25,12:14,12:16
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:46,9:29,12:23,12:25
신내응암순환,응암봉화산,신내응암순환,응암봉화산
9:54,9:33,12:32,12:34
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
-,9:37,12:41,12:43
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:41,12:50,12:52
-,응암신내,신내응암순환,응암봉화산
-,9:45,12:59,-
-,응암봉화산,봉화산응암순환,-
-,9:50,13:08,13:01
