선유도방면,국회의사당방면,선유도방면,국회의사당방면
평일,평일,주말,주말
05:30첫,05:30급첫,05:30첫,05:30급첫
당산개화,당산중앙보훈병원,당산개화,당산중앙보훈병원
5:45,05:37첫,5:44,05:36첫
동작개화,염창중앙보훈병원,동작개화,염창중앙보훈병원
5:56,05:45급,5:54,05:44급
신논현개화,김포공항중앙보훈병원,신논현개화,김포공항중앙보훈병원
-,5:51,-,5:50
-,마곡나루중앙보훈병원,-,마곡나루중앙보훈병원
-,05:56급,-,05:55급
-,김포공항중앙보훈병원,-,김포공항중앙보훈병원
6:09,6:01,6:09,6:00
삼전개화,개화중앙보훈병원,삼전개화,개화중앙보훈병원
6:24,06:07급,6:26,06:06급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
06:30급첫,6:13,06:33급첫,6:12
중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
6:39,06:19급,6:39,06:18급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
06:45급,6:25,06:46급,6:24
중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
6:52,06:31급,6:52,06:30급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
06:58급,6:37,06:59급,6:36
중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
-,06:43급,-,06:42급
-,김포공항중앙보훈병원,-,김포공항중앙보훈병원
-,6:45,-,6:48
-,개화중앙보훈병원,-,개화중앙보훈병원
-,6:53,-,06:54급
-,개화중앙보훈병원,-,김포공항중앙보훈병원
-,06:56급,7:05,7:00
-,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:05,7:01,07:11급,07:06급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
07:11급,07:03급,7:17,7:12
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:18,7:08,07:23급,07:18급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
07:24급,07:10급,7:29,7:24
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:31,7:14,07:35급,07:30급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
07:37급,07:17급,7:41,7:36
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:44,7:21,07:47급,07:42급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
07:49급,07:23급,7:53,7:48
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:53,7:28,07:59급,07:54급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
07:59급,07:30급,8:05,8:00
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
-,7:35,08:11급,08:06급
-,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
-,07:37급,8:17,8:12
-,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
-,7:42,08:23급,08:18급
-,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
-,07:44급,8:29,8:24
-,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
-,7:49,08:35급,08:30급
-,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
-,07:51급,8:41,8:36
-,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
-,7:55,08:47급,08:42급
-,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
-,07:58급,8:53,8:48
-,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:05,8:02,08:59급,08:54급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
08:11급,08:04급,9:05,9:00
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:16,8:09,09:11급,09:06급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
08:22급,08:11급,9:17,9:12
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:25,8:16,09:23급,09:18급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
08:31급,08:18급,9:29,9:24
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:33,8:23,09:35급,09:30급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
08:40급,08:25급,9:41,9:35
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:42,8:30,09:47급,09:41급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
08:48급,08:32급,9:53,9:46
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:51,8:36,09:59급,09:52급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
08:57급,08:39급,-,9:57
중앙보훈병원김포공항,김포공항중앙보훈병원,-,개화중앙보훈병원
8:59,8:43,10:05,10:03급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
-,08:45급,10:11급,10:08
-,김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
-,8:50,10:17,10:14급
-,개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
-,08:52급,10:23급,10:19
-,김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
-,8:57,10:29,10:25급
-,개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
09:04급,09:00급,10:35급,10:30
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
9:07,9:06,10:41,10:36급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
09:12급,09:11급,10:46급,10:41
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
9:14,9:17,10:52,10:47급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원
09:18급,09:22급,10:57급,10:52
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원
9:20,9:28,-,10:58급
중앙보훈병원개화,개화중앙보훈병원,-,김포공항중앙보훈병원
09:25급,09:33급,11:03,11:03
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:27,9:39,11:08급,11:09급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
09:32급,09:44급,11:14,11:14
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:34,9:50,11:19급,11:20급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
09:39급,09:55급,11:25,11:25
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:41,-,11:30급,11:31급
중앙보훈병원개화,-,중앙보훈병원김포공항,김포공항중앙보훈병원
09:46급,-,11:36,11:36
중앙보훈병원김포공항,-,중앙보훈병원개화,개화중앙보훈병원
9:48,-,11:41급,11:42급
중앙보훈병원개화,-,중앙보훈병원김포공항,김포공항중앙보훈병원
09:53급,-,11:47,11:47
중앙보훈병원김포공항,-,중앙보훈병원개화,개화중앙보훈병원
9:55,-,11:52급,11:53급
중앙보훈병원개화,-,중앙보훈병원김포공항,김포공항중앙보훈병원
09:59급,-,11:58,11:58
중앙보훈병원김포공항,-,중앙보훈병원개화,개화중앙보훈병원
10:01,10:01,12:03급,12:04급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
10:06급,10:06급,12:09,12:09
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
10:08,10:12,12:14급,12:15급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
10:13급,10:17급,12:20,12:20
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
10:15,10:23,12:25급,12:26급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
10:20급,10:28급,12:31,12:31
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
10:22,10:34,12:36급,12:37급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
10:27급,10:39급,12:42,12:42
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
10:29,10:45,12:47급,12:48급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
10:33급,10:50급,12:53,12:53
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
10:36,10:56,12:58급,12:59급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
10:40급,-,13:04,13:04
중앙보훈병원김포공항,-,중앙보훈병원개화,개화중앙보훈병원
10:42,-,13:09급,13:10급
중앙보훈병원개화,-,중앙보훈병원김포공항,김포공항중앙보훈병원
10:48,-,13:15,13:15
중앙보훈병원개화,-,중앙보훈병원개화,개화중앙보훈병원
10:51급,-,13:20급,13:21급
중앙보훈병원김포공항,-,중앙보훈병원김포공항,김포공항중앙보훈병원
10:56,-,13:26,13:26
중앙보훈병원개화,-,중앙보훈병원개화,개화중앙보훈병원
11:02급,11:01급,13:31급,13:32급
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
11:04,11:07,13:37,13:37
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
11:09,11:12급,13:42급,13:43급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
11:12급,11:18,13:48,13:48
중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
11:18,11:23급,13:53급,13:54급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
11:24급,11:29,13:59,13:59
중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
11:29,11:35급,14:04급,14:05급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
11:35급,11:41,14:10,14:10
중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
11:40,11:47급,14:15급,14:16급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
11:46급,11:53,14:21,14:21
중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
11:51,11:59급,14:26급,14:27급
중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
11:57급,-,14:32,14:32
중앙보훈병원김포공항,-,중앙보훈병원개화,개화중앙보훈병원
12:02,12:04,14:37급,14:38급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
12:08급,12:10급,14:43,14:43
중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
12:13,12:15,14:48급,14:49급
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원
