지갑,갈색 가죽으로 만들어진 지갑,혜화,종각
핸드폰,검은색 스마트폰으로 후면에는 카메라가 있음,약수,종로3가
열쇠고리,금으로 만들어진 열쇠고리로 여러 개의 열쇠가 달려 있음,삼각지,동대문
동전 지갑,파란색 지갑으로 동전이 많이 들어 있음,상왕십리,신설동
귀금속 반지,금 소재의 반지로 가운데 큰 보석이 박혀 있음,을지로입구,시청
신용카드,흰색 신용카드로 회사 로고가 있음,충정로,을지로입구
파우치,분홍색의 작은 파우치,서울,을지로3가
휴대용 충전기,흰색의 USB 케이블 충전기,동대입구,을지로4가
안경,검은테 둥근 프레임,옥수,동대문역사문화공원
운동화,흰색 스트라이프가 있는 흰색 운동화,신사,약수
장지갑,갈색 가죽으로 만들어진 머니클립,고속터미널,충무로
스마트워치,검정색 스트랩의 삼성 스마트워치,신논현,동대입구
이어폰,흰색 이어폰,내방,압구정
노트북,실버 컬러의 얇은 애플 노트북,장승배기,신사
학생증,쌍용중학교 로고가 새겨진 카드,보문,숙대입구
스케치북,화려한 그림이 그려져있는 스케치북,길음,회현
파스텔 세트,다파스텔이 담긴 작은 상자,미아사거리,명동
전자담배,검은색 전자담배,천호,충무로
자전거 키,은색 자전거 잠금용 키,건대입구,군자
모자,블랙컬러의 볼캡 모자,성수,강동
플라스틱 우산,분홍색의 작은 고양이 모양 우산,잠실,천호
실내화,노란색 나이키 슬리퍼,석촌,선정릉
책,"아프니깐 청춘이다" 책,삼전,종합운동장
음악 플레이어,검정색 mp3플레이어,광나루,안암
머그컵,파스텔컬러의 머그컵,외대앞,불광
호신용 스프레이,손잡이에 손목줄이 달려 있음,돌곶이,동묘앞
지구본,작은 크기의 지구 모형,월곡,노원
곰 인형,갈색 곰 인형,쌍문,송파
액자,가족사진이 들어있는 액자,선릉,석촌
보조배터리,샤오미 보조 배터리,강남,여의도
플랫 슈즈,빨간색 플랫 슈즈,서초,잠실
