연번,호선,역명,운행시간,역간거리(km),호선별누계(km)
1,1,서울역,0:00,0,0
2,1,시청,2:00,1.1,1.1
3,1,종각,2:00,1,2.1
4,1,종로3가,1:30,0.8,2.9
5,1,종로5가,1:30,0.9,3.8
6,1,동대문,1:30,0.8,4.6
7,1,동묘앞,1:00,0.6,5.2
8,1,신설동,1:30,0.7,5.9
9,1,제기동,1:30,0.9,6.8
10,1,청량리,1:30,1,7.8
11,2,시청,0:00,0,0
12,2,을지로입구,1:30,0.7,0.7
13,2,을지로3가,1:00,0.8,1.5
14,2,을지로4가,1:00,0.6,2.1
15,2,동대문역사문화공원,1:30,1,3.1
16,2,신당,1:30,0.9,4
17,2,상왕십리,1:00,0.9,4.9
18,2,왕십리,1:00,0.8,5.7
19,2,한양대,1:30,1,6.7
20,2,뚝섬,1:30,1.1,7.8
21,2,성수,1:00,0.8,8.6
22,2,건대입구,1:30,1.2,9.8
23,2,구의,2:00,1.6,11.4
24,2,강변,1:00,0.9,12.3
25,2,잠실나루,2:00,1.8,14.1
26,2,잠실,1:30,1,15.1
27,2,잠실새내,1:30,1.2,16.3
28,2,종합운동장,1:30,1.2,17.5
29,2,삼성,1:30,1,18.5
30,2,선릉,1:30,1.3,19.8 String [] 
31,2,역삼,1:30,1.2,21
32,2,강남,1:00,0.8,21.8
33,2,교대,1:30,1.2,23
34,2,서초,1:00,0.7,23.7
35,2,방배,2:00,1.7,25.4
36,2,사당,2:30,1.6,27
37,2,낙성대,2:00,1.7,28.7
38,2,서울대입구,1:30,1,29.7
39,2,봉천,1:00,1,30.7
40,2,신림,1:30,1.1,31.8
41,2,신대방,2:00,1.8,33.6
42,2,구로디지털단지,1:30,1.1,34.7
43,2,대림,1:30,1.1,35.8
44,2,신도림,2:30,1.8,37.6
45,2,문래,2:00,1.2,38.8
46,2,영등포구청,1:00,0.9,39.7
47,2,당산,1:30,1.1,40.8
48,2,합정,2:30,2,42.8
49,2,홍대입구,1:30,1.1,43.9
50,2,신촌,2:00,1.3,45.2
51,2,이대,1:00,0.8,46
52,2,아현,1:00,0.9,46.9
53,2,충정로,1:30,0.8,47.7
54,2,시청,1:30,1.1,48.8
55,2,용답,3:00,2.3,51.1
56,2,신답,1:30,1,52.1
57,2,용두,1:30,0.9,53
58,2,신설동,1:30,1.2,54.2
59,2,도림천,1:30,1,55.2
60,2,양천구청,2:30,1.7,56.9
61,2,신정네거리,3:00,1.9,58.8
62,2,까치산,2:30,1.4,60.2
63,3,지축,0:00,0,0
64,3,구파발,3:00,1.5,1.5
65,3,연신내,2:00,2,3.5
66,3,불광,1:30,1.3,4.8
67,3,녹번,1:30,1.1,5.9
68,3,홍제,2:00,1.6,7.5
69,3,무악재,1:30,0.9,8.4
70,3,독립문,1:30,1.1,9.5
71,3,경복궁,2:00,1.6,11.1
72,3,안국,1:30,1.1,12.2
73,3,종로3가,1:30,1,13.2
74,3,을지로3가,1:00,0.6,13.8
75,3,충무로,1:00,0.7,14.5
76,3,동대입구,1:30,0.9,15.4
77,3,약수,1:00,0.7,16.1
78,3,금호,1:00,0.8,16.9
79,3,옥수,1:00,0.8,17.7
80,3,압구정,2:00,2.1,19.8
81,3,신사,2:00,1.5,21.3
82,3,잠원,1:30,0.9,22.2
83,3,고속터미널,1:30,1.2,23.4
84,3,교대,2:00,1.6,25
85,3,남부터미널,1:30,0.9,25.9
86,3,양재,2:00,1.8,27.7
87,3,매봉,2:00,1.2,28.9
88,3,도곡,1:30,0.8,29.7
89,3,대치,1:00,0.8,30.5
90,3,학여울,1:00,0.8,31.3
91,3,대청,1:30,0.9,32.2
92,3,일원,1:30,1.2,33.4
93,3,수서,2:00,1.8,35.2
94,3,가락시장,2:00,1.4,36.6
95,3,경찰병원,1:00,0.8,37.4
96,3,오금,1:00,0.8,38.2
97,4,당고개,0:00,0,0
98,4,상계,1:30,1.2,1.2
99,4,노원,1:30,1,2.2
100,4,창동,2:00,1.4,3.6
101,4,쌍문,1:30,1.3,4.9
102,4,수유,2:00,1.5,6.4
103,4,미아,1:30,1.4,7.8
104,4,미아사거리 ,2:00,1.5,9.3
105,4,길음,1:30,1.3,10.6
106,4,성신여대입구,2:00,1.4,12
107,4,한성대입구,1:30,1,13
108,4,혜화,1:30,0.9,13.9
109,4,동대문,2:00,1.5,15.4
110,4,동대문역사문화공원,1:00,0.7,16.1
111,4,충무로,2:00,1.3,17.4
112,4,명동,1:00,0.7,18.1
113,4,회현,1:00,0.7,18.8
114,4,서울역,1:30,0.9,19.7
115,4,숙대입구,1:30,1,20.7
116,4,삼각지,1:30,1.2,21.9
117,4,신용산,1:00,0.7,22.6
118,4,이촌,1:30,1.3,23.9
119,4,동작,3:00,2.7,26.6
120,4,총신대입구,2:30,1.8,28.4
121,4,사당,1:30,1.1,29.5
122,4,남태령,1:30,2.2,31.7
123,5,방화,0:00,0,0
124,5,개화산,1:30,0.9,0.9
125,5,김포공항,1:40,1.2,2.1
126,5,송정,2:10,1.2,3.3
127,5,마곡,1:30,1.1,4.4
128,5,발산,1:40,1.2,5.6
129,5,우장산,1:30,1.1,6.7
130,5,화곡,1:30,1,7.7
131,5,까치산,1:30,1.2,8.9
132,5,신정,1:50,1.3,10.2
133,5,목동,1:10,0.8,11
