"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20231101","8호선","단대오거리","13482","13072","20231104",""
"20231101","중앙선","원덕","372","362","20231104",""
"20231101","중앙선","용문","2194","2097","20231104",""
"20231101","중앙선","지평","72","71","20231104",""
"20231101","우이신설선","4.19민주묘지","4515","4447","20231104",""
"20231101","우이신설선","가오리","4770","4896","20231104",""
"20231101","우이신설선","화계","3829","3681","20231104",""
"20231101","우이신설선","삼양","2220","2390","20231104",""
"20231101","우이신설선","삼양사거리","2737","2708","20231104",""
"20231101","우이신설선","솔샘","6881","6454","20231104",""
"20231101","우이신설선","북한산보국문","7233","7088","20231104",""
"20231101","우이신설선","정릉","5498","4973","20231104",""
"20231101","우이신설선","성신여대입구(돈암)","3769","4214","20231104",""
"20231101","우이신설선","보문","1748","1698","20231104",""
"20231101","우이신설선","신설동","2775","2612","20231104",""
"20231101","일산선","원흥","12918","12339","20231104",""
"20231101","일산선","지축","2","0","20231104",""
"20231101","일산선","삼송","21076","20177","20231104",""
"20231101","일산선","원당","12506","11760","20231104",""
"20231101","일산선","화정","18534","19111","20231104",""
"20231101","일산선","대곡","3220","2380","20231104",""
"20231101","일산선","백석","10559","10662","20231104",""
"20231101","일산선","마두","8347","8674","20231104",""
"20231101","일산선","정발산","7592","7482","20231104",""
"20231101","일산선","주엽","10350","10543","20231104",""
"20231101","일산선","대화","14723","11171","20231104",""
"20231101","장항선","봉명","1595","1603","20231104",""
"20231101","장항선","쌍용(나사렛대)","3269","3110","20231104",""
"20231101","장항선","아산","4345","3991","20231104",""
"20231101","장항선","탕정","1687","1463","20231104",""
"20231101","장항선","배방","1282","1209","20231104",""
"20231101","장항선","온양온천","4569","4663","20231104",""
"20231101","장항선","신창(순천향대)","2841","2747","20231104",""
"20231101","중앙선","회기","30333","29319","20231104",""
"20231101","중앙선","중랑","5932","5836","20231104",""
"20231101","중앙선","상봉(시외버스터미널)","6311","6296","20231104",""
"20231101","중앙선","망우","8090","7807","20231104",""
"20231101","중앙선","양원","3534","3482","20231104",""
"20231101","중앙선","구리","14503","14646","20231104",""
"20231101","중앙선","도농","12694","11578","20231104",""
"20231101","중앙선","양정","659","552","20231104",""
"20231101","중앙선","덕소","5919","5696","20231104",""
"20231101","중앙선","도심","2807","2191","20231104",""
"20231101","중앙선","팔당","770","780","20231104",""
"20231101","중앙선","운길산","661","696","20231104",""
"20231101","3호선","금호","8841","8088","20231104",""
"20231101","3호선","옥수","9807","9948","20231104",""
"20231101","1호선","서울역","55292","52681","20231104",""
"20231101","1호선","시청","31078","31069","20231104",""
"20231101","1호선","종각","43422","43065","20231104",""
"20231101","1호선","종로3가","26578","23638","20231104",""
"20231101","1호선","종로5가","26110","25873","20231104",""
"20231101","1호선","동대문","11686","11212","20231104",""
"20231101","1호선","신설동","15455","14851","20231104",""
"20231101","1호선","제기동","17350","17321","20231104",""
"20231101","1호선","청량리(서울시립대입구)","21994","21494","20231104",""
"20231101","1호선","동묘앞","8445","8872","20231104",""
"20231101","2호선","시청","30681","29475","20231104",""
"20231101","2호선","을지로입구","52155","54792","20231104",""
"20231101","2호선","을지로3가","28397","28085","20231104",""
"20231101","2호선","을지로4가","15341","15738","20231104",""
"20231101","2호선","동대문역사문화공원(DDP)","15167","17648","20231104",""
"20231101","2호선","신당","15735","16232","20231104",""
"20231101","2호선","상왕십리","15932","15369","20231104",""
"20231101","2호선","왕십리(성동구청)","17125","14442","20231104",""
"20231101","2호선","한양대","15842","17888","20231104",""
"20231101","2호선","뚝섬","26034","27514","20231104",""
"20231101","2호선","성수","44720","49066","20231104",""
"20231101","2호선","건대입구","36908","38551","20231104",""
"20231101","2호선","구의(광진구청)","26929","26234","20231104",""
"20231101","2호선","강변(동서울터미널)","31550","29101","20231104",""
"20231101","2호선","잠실나루","17784","17254","20231104",""
"20231101","2호선","잠실(송파구청)","78504","78779","20231104",""
"20231101","2호선","잠실새내","24355","23869","20231104",""
"20231101","2호선","종합운동장","9499","10419","20231104",""
"20231101","2호선","삼성(무역센터)","59430","61082","20231104",""
"20231101","2호선","선릉","64545","56961","20231104",""
"20231101","2호선","역삼","58808","67398","20231104",""
