석수방면,안양방면,석수방면,안양방면
평일,평일,주말,주말
05:36첫,05:15첫,05:37첫,05:15첫
병점광운대,구로천안,병점광운대,구로천안
5:45,05:33첫,5:49,05:32첫
병점청량리,구로신창,병점청량리,구로신창
5:56,5:47,,5:47
병점광운대,구로천안,,구로천안
,05:55첫,,05:56첫
,서울역서동탄,,서울역서동탄
6:16,6:02,6:00,6:03
서동탄광운대,구로신창,병점청량리,구로신창
6:25,6:11,6:14,6:13
천안청량리,구로서동탄,서동탄광운대,동묘앞서동탄
6:35,6:18,6:25,6:22
서동탄광운대,광운대서동탄,천안청량리,구로서동탄
6:43,6:30,6:38,6:30
병점청량리,동묘앞서동탄,서동탄광운대,광운대서동탄
6:48,6:36,6:48,6:36
신창광운대,구로천안,신창광운대,구로신창
6:57,6:46,6:57,6:46
서동탄청량리,광운대서동탄,서동탄청량리,광운대서동탄
,6:58,,6:56
,구로신창,,구로천안
7:05,7:03,7:04,7:04
천안광운대,광운대서동탄,천안광운대,광운대병점
7:15,7:11,7:15,7:11
병점청량리,구로서동탄,병점청량리,동묘앞서동탄
7:24,7:24,7:24,7:19
서동탄광운대,구로천안,서동탄광운대,광운대병점
7:30,7:28,7:28,7:28
신창광운대,광운대병점,신창광운대,청량리신창
7:37,7:36,7:36,7:36
서동탄청량리,광운대신창,병점청량리,광운대서동탄
7:43,7:43,7:43,7:40
천안광운대,광운대서동탄,서동탄동묘앞,광운대천안
7:52,7:51,7:53,7:51
서동탄광운대,청량리천안,천안청량리,청량리천안
7:59,,7:58,
서동탄동묘앞,,서동탄광운대,
8:07,8:03,8:07,8:03
천안청량리,광운대병점,서동탄광운대,광운대병점
8:15,8:10,8:12,8:07
병점광운대,광운대신창,신창청량리,광운대신창
8:24,8:15,8:23,8:15
서동탄광운대,의정부서동탄,서동탄광운대,동묘앞서동탄
8:28,8:23,8:27,8:22
신창청량리,광운대신창,천안청량리,구로천안
8:36,8:36,8:40,8:36
서동탄구로,의정부서동탄,천안광운대,광운대서동탄
8:42,8:43,8:53,8:51
신창광운대,청량리서동탄,서동탄동묘앞,광운대신창
8:54,8:51,8:59,
서동탄광운대,광운대신창,천안청량리,
9:00,9:04,9:10,9:03
천안구로,광운대서동탄,서동탄광운대,광운대서동탄
9:10,9:14,9:18,9:13
서동탄청량리,광운대신창,신창광운대,광운대신창
9:18,9:27,9:32,9:27
천안광운대,광운대서동탄,천안광운대,광운대서동탄
9:32,9:39,9:44,9:38
천안광운대,청량리천안,서동탄광운대,청량리천안
9:43,9:47,9:53,9:47
천안구로,광운대서동탄,신창청량리,광운대서동탄
9:50,9:59,,9:56
서동탄청량리,광운대신창,,청량리천안
9:59,,10:00,10:04
신창광운대,,천안광운대,광운대병점
10:09,10:08,10:09,10:19
서동탄광운대,광운대병점,서동탄광운대,광운대서동탄
10:26,10:25,10:18,10:27
서동탄구로,광운대서동탄,천안광운대,청량리신창
10:35,10:36,10:31,10:38
신창광운대,청량리신창,병점광운대,광운대병점
10:51,10:41,10:35,10:50
서동탄광운대,광운대서동탄,신창청량리,청량리천안
10:55,10:51,10:41,
천안청량리,청량리천안,서동탄광운대,
,10:58,10:53,
,구로병점,천안광운대,
11:03,11:04,11:03,11:01
서동탄광운대,광운대신창,서동탄광운대,광운대신창
11:20,11:13,11:19,11:10
천안광운대,청량리서동탄,신창광운대,청량리서동탄
11:29,11:30,11:28,11:17
서동탄광운대,구로천안,서동탄광운대,광운대신창
11:37,11:36,11:36,11:35
신창광운대,광운대서동탄,천안광운대,광운대서동탄
11:55,11:45,11:56,11:56
천안광운대,광운대신창,천안광운대,광운대신창
,11:59,12:05,12:06
,청량리서동탄,서동탄광운대,광운대서동탄
12:06,12:06,12:12,12:14
서동탄광운대,구로천안,신창광운대,광운대신창
12:18,12:15,12:27,12:26
서동탄광운대,광운대병점,천안광운대,광운대천안
12:29,12:27,12:40,12:35
신창청량리,광운대신창,서동탄광운대,청량리서동탄
12:40,12:34,12:56,12:47
서동탄광운대,광운대서동탄,신창광운대,광운대신창
12:53,12:47,,12:56
신창광운대,구로신창,,광운대서동탄
,12:57,13:07,13:05
,청량리서동탄,서동탄광운대,광운대천안
13:06,13:06,13:24,13:23
서동탄광운대,광운대천안,신창광운대,광운대신창
13:22,13:25,13:35,13:34
신창청량리,광운대천안,서동탄광운대,광운대서동탄
13:32,13:33,13:49,13:44
서동탄광운대,광운대서동탄,신창청량리,광운대신창
13:48,13:44,13:58,13:57
신창청량리,광운대천안,천안광운대,광운대서동탄
13:58,13:57,14:10,14:06
천안광운대,광운대서동탄,서동탄광운대,광운대천안
14:15,14:07,14:22,14:21
서동탄광운대,광운대천안,신창광운대,광운대병점
14:21,14:20,14:32,14:28
신창광운대,광운대병점,서동탄동묘앞,광운대서동탄
14:33,14:28,14:41,14:37
