독산방면,석수/광명방면,독산방면,석수/광명방면
평일,평일,주말,주말
05:41첫,05:09첫,05:42첫,05:09첫
병점광운대,구로천안,병점광운대,구로천안
5:50,05:27첫,5:54,05:26첫
병점청량리,구로신창,병점청량리,구로신창
-,5:41,-,5:41
-,구로천안,-,구로천안
-,05:46첫,-,05:46첫
-,영등포광명,-,영등포광명
-,05:50첫,-,05:50첫
-,서울역서동탄,-,서울역서동탄
-,5:56,-,5:57
-,구로신창,-,구로신창
6:01,6:05,6:05,6:07
병점광운대,구로서동탄,병점청량리,동묘앞서동탄
6:21,6:13,6:19,6:16
서동탄광운대,광운대서동탄,서동탄광운대,구로서동탄
6:31,6:24,6:31,6:25
천안청량리,동묘앞서동탄,천안청량리,광운대서동탄
6:35,6:30,6:35,6:30
광명영등포,구로천안,광명영등포,구로신창
6:40,6:36,6:43,6:36
서동탄광운대,영등포광명,서동탄광운대,영등포광명
6:48,6:41,6:53,6:41
병점청량리,광운대서동탄,신창광운대,광운대서동탄
6:53,6:52,-,6:50
신창광운대,구로신창,-,구로천안
06:58급첫,6:58,-,6:59
천안서울역,광운대서동탄,-,광운대병점
7:02,7:05,7:02,7:05
서동탄청량리,구로서동탄,서동탄청량리,동묘앞서동탄
7:10,07:13급첫,7:10,7:14
천안광운대,청량리천안,천안광운대,광운대병점
7:20,7:18,7:20,7:22
병점청량리,구로천안,병점청량리,청량리신창
7:29,7:23,7:29,7:27
서동탄광운대,광운대병점,서동탄광운대,영등포광명
7:35,7:27,7:33,7:31
신창광운대,영등포광명,신창광운대,광운대서동탄
7:43,7:31,7:41,7:35
서동탄청량리,광운대신창,병점청량리,광운대천안
7:49,7:37,7:48,7:45
천안광운대,광운대서동탄,서동탄동묘앞,청량리천안
07:49급막,7:45,7:52,7:58
신창서울역,청량리천안,광명영등포,광운대병점
7:52,07:52급,7:59,-
광명영등포,청량리천안,천안청량리,-
7:57,7:58,8:03,8:02
서동탄광운대,광운대병점,서동탄광운대,광운대신창
8:05,8:05,8:12,8:09
서동탄동묘앞,광운대신창,서동탄광운대,동묘앞서동탄
8:13,8:10,8:17,8:16
천안청량리,의정부서동탄,신창청량리,구로천안
8:20,8:18,8:24,8:31
병점광운대,광운대신창,광명영등포,광운대서동탄
8:24,8:31,8:28,8:42
광명영등포,의정부서동탄,서동탄광운대,영등포광명
8:29,8:37,8:33,8:46
서동탄광운대,청량리서동탄,천안청량리,광운대신창
8:33,8:42,8:46,8:58
신창청량리,영등포광명,천안광운대,광운대서동탄
8:41,8:46,8:58,-
서동탄구로,광운대신창,서동탄동묘앞,-
8:47,8:59,9:04,9:08
신창광운대,광운대서동탄,천안청량리,광운대신창
08:53급첫,-,9:15,9:22
신창청량리,-,서동탄광운대,광운대서동탄
8:59,-,9:23,9:26
서동탄광운대,-,신창광운대,영등포광명
9:05,9:09,9:38,9:32
천안구로,광운대신창,천안광운대,청량리천안
9:16,9:21,9:44,9:42
서동탄청량리,광운대서동탄,광명영등포,광운대서동탄
9:24,9:26,9:49,9:50
천안광운대,영등포광명,서동탄광운대,청량리천안
09:30급,9:33,9:58,9:59
신창청량리,청량리천안,신창청량리,광운대병점
9:38,9:42,10:06,10:14
천안광운대,광운대서동탄,천안광운대,광운대서동탄
9:44,9:54,10:14,10:21
광명영등포,광운대신창,서동탄광운대,청량리신창
9:48,-,10:18,10:25
천안구로,-,광명영등포,영등포광명
9:55,-,10:24,10:33
서동탄청량리,-,천안광운대,광운대병점
10:04,10:03,10:36,10:44
신창광운대,광운대병점,병점광운대,청량리천안
10:14,10:20,10:40,10:56
서동탄광운대,광운대서동탄,신창청량리,광운대신창
10:18,10:25,10:46,-
광명영등포,영등포광명,서동탄광운대,-
10:31,10:30,10:59,-
서동탄구로,청량리신창,천안광운대,-
10:40,10:36,11:08,11:04
신창광운대,광운대서동탄,서동탄광운대,청량리서동탄
10:56,10:45,11:20,11:12
서동탄광운대,청량리천안,광명영등포,광운대신창
-,10:52,11:24,11:16
-,구로병점,신창광운대,영등포광명
-,10:59,11:33,11:30
-,광운대신창,서동탄광운대,광운대서동탄
11:01,11:08,11:42,11:51
천안청량리,청량리서동탄,천안광운대,광운대신창
11:08,11:16,11:55,-
서동탄광운대,영등포광명,광명영등포,-
11:20,11:24,12:02,12:00
광명영등포,구로천안,천안광운대,광운대서동탄
11:25,11:31,12:10,12:06
천안광운대,광운대서동탄,서동탄광운대,영등포광명
11:34,11:40,12:18,12:09
서동탄광운대,광운대신창,신창광운대,광운대신창
11:42,11:53,12:33,12:21
