서울역방면,용산방면,서울역방면,용산방면
평일,평일,주말,주말
05:17첫,05:23첫,05:17첫,05:23첫
구로동두천,서울역서동탄,구로동두천,서울역서동탄
5:27,05:33첫,05:37첫,05:33첫
구로청량리,광운대인천,구로연천,광운대인천
5:37,5:40,5:42,5:40
구로동두천,창동인천,구로청량리,동묘앞서동탄
5:45,5:45,5:51,5:45
부평동두천,광운대서동탄,부평소요산,광운대인천
5:52,5:52,,5:52
구로청량리,동묘앞인천,,동묘앞인천
,5:57,,5:57
,동묘앞서동탄,,광운대서동탄
6:05,6:02,6:05,6:03
인천양주,의정부인천,인천양주,의정부인천
6:09,6:08,6:10,6:13
병점광운대,양주인천,병점광운대,광운대서동탄
06:15급첫,6:13,6:16,6:17
인천동두천,광운대서동탄,인천동두천,양주인천
6:18,6:17,6:22,6:28
병점청량리,양주인천,병점청량리,동묘앞인천
6:25,06:22급첫,6:28,6:31
인천동두천,청량리신창,인천연천,광운대병점
6:29,6:26,6:33,6:38
병점광운대,동묘앞인천,병점청량리,동묘앞서동탄
6:32,6:30,6:41,6:41
구로청량리,광운대서동탄,인천양주,소요산인천
06:38첫,6:35,6:47,6:46
인천연천,동묘앞인천,서동탄광운대,광운대병점
6:45,6:41,6:54,6:50
인천동두천,소요산인천,인천소요산,동묘앞인천
6:49,06:47급첫,6:58,06:55첫
서동탄광운대,청량리천안,천안청량리,청량리신창
6:54,6:51,,6:59
인천소요산,동묘앞인천,,양주인천
6:58,6:55,7:05,7:03
천안청량리,광운대병점,인천양주,광운대서동탄
,6:59,7:11,7:07
,양주인천,서동탄광운대,광운대천안
7:04,07:03첫,7:16,7:13
인천동두천,광운대신창,인천동두천,연천인천
7:08,7:07,7:21,7:18
서동탄광운대,동묘앞인천,신창광운대,청량리천안
7:12,7:10,7:26,7:22
인천동두천,광운대서동탄,인천양주,의정부인천
7:16,7:14,7:30,07:27급첫
병점청량리,연천인천,서동탄청량리,청량리천안
7:21,7:18,7:34,7:30
신창광운대,청량리천안,인천연천,광운대병점
7:25,7:22,7:37,7:34
인천동두천,의정부인천,천안광운대,광운대신창
7:30,07:26급,7:43,7:38
서동탄청량리,청량리천안,인천의정부,동두천인천
7:35,7:30,7:48,7:42
인천연천,광운대병점,병점청량리,동묘앞서동탄
7:38,7:34,7:53,7:46
천안광운대,동두천인천,인천양주,양주인천
7:44,7:37,7:57,7:55
인천의정부,광운대신창,서동탄광운대,소요산인천
7:48,7:42,,07:59급
병점청량리,의정부서동탄,,청량리천안
7:53,7:46,8:01,8:03
인천소요산,양주인천,신창광운대,광운대서동탄
7:56,7:50,8:05,8:08
서동탄광운대,광운대신창,인천소요산,동두천인천
,7:54,8:09,8:14
,동두천인천,병점청량리,연천구로
,07:59급,8:12,8:18
,청량리천안,인천의정부,광운대신창
8:00,8:03,8:16,8:23
인천양주,의정부서동탄,서동탄동묘앞,동묘앞인천
8:03,08:07급첫,8:23,08:27급
신창광운대,동두천인천,인천동두천,청량리천안
8:06,8:10,8:26,8:30
인천동두천,청량리서동탄,천안청량리,광운대서동탄
8:10,8:13,8:31,8:36
서동탄청량리,연천인천,서동탄광운대,동묘앞인천
8:13,8:17,8:36,8:40
인천의정부,광운대신창,인천연천,광운대신창
8:16,8:21,8:40,8:45
천안광운대,양주부평,서동탄광운대,동두천인천
08:21급,08:25급,8:45,08:49급
인천동두천,청량리천안,신창청량리,청량리천안
8:25,8:28,8:50,8:54
서동탄광운대,동두천인천,인천양주,광운대서동탄
8:28,8:31,8:56,
인천양주,광운대서동탄,서동탄광운대,
8:32,8:35,9:00,9:01
