동대문방면,신설동방면,동대문방면,신설동방면
평일,평일,주말,주말
05:17첫,05:33첫,05:17첫,05:33첫
광운대인천,구로동두천,광운대인천,구로동두천
5:24,5:37,05:24첫,5:37
창동인천,서울역의정부,동묘앞서동탄,서울역의정부
05:29첫,5:43,5:29,5:45
광운대서동탄,구로청량리,광운대인천,서울역양주
5:36,5:48,5:36,05:53첫
동묘앞인천,서울역양주,동묘앞인천,구로연천
5:41,5:53,5:41,5:58
동묘앞서동탄,구로동두천,광운대서동탄,구로청량리
5:46,5:57,5:47,-
의정부인천,서울역의정부,의정부인천,-
5:52,-,5:57,-
양주인천,-,광운대서동탄,-
5:57,-,6:01,6:03
광운대서동탄,-,양주인천,서울역광운대
6:01,6:01,6:12,6:07
양주인천,부평동두천,동묘앞인천,부평소요산
06:06급첫,6:08,6:15,6:21
청량리신창,구로청량리,광운대병점,인천양주
6:10,6:12,6:22,6:26
동묘앞인천,서울역광운대,동묘앞서동탄,병점광운대
6:14,6:21,6:25,6:32
광운대서동탄,인천양주,소요산인천,인천동두천
6:19,6:25,6:30,6:38
동묘앞인천,병점광운대,광운대병점,병점청량리
6:25,06:31급첫,6:34,6:44
소요산인천,인천동두천,동묘앞인천,인천연천
06:31급첫,6:34,06:39첫,6:49
청량리천안,병점청량리,청량리신창,병점청량리
6:35,6:38,6:43,6:57
동묘앞인천,서울역양주,양주인천,인천양주
6:39,6:41,6:47,-
광운대병점,인천동두천,광운대서동탄,-
6:43,6:45,6:51,-
양주인천,병점광운대,광운대천안,-
06:47첫,6:48,6:57,-
광운대신창,구로청량리,연천인천,-
6:51,06:54첫,7:02,7:03
동묘앞인천,인천연천,청량리천안,서동탄광운대
6:54,6:58,7:06,7:10
광운대서동탄,서울역양주,의정부인천,인천소요산
6:58,-,07:11급첫,7:14
연천인천,-,청량리천안,천안청량리
7:02,7:01,7:14,7:21
청량리천안,인천동두천,광운대병점,인천양주
7:06,7:05,7:18,7:27
의정부인천,서동탄광운대,광운대신창,서동탄광운대
07:10급,7:10,7:22,7:32
청량리천안,인천소요산,동두천인천,인천동두천
7:14,7:14,7:26,7:37
광운대병점,천안청량리,동묘앞서동탄,신창광운대
7:18,7:20,7:30,7:42
동두천인천,인천동두천,양주인천,인천양주
7:21,7:24,7:39,7:46
광운대신창,서동탄광운대,소요산인천,서동탄청량리
7:26,7:28,07:43급,7:50
의정부서동탄,인천동두천,청량리천안,인천연천
7:30,7:32,7:47,7:53
양주인천,병점청량리,광운대서동탄,천안광운대
7:34,7:37,7:52,7:59
광운대신창,신창광운대,동두천인천,인천의정부
7:38,7:41,7:58,-
동두천인천,인천동두천,연천구로,-
