안양방면,금정방면,안양방면,금정방면
평일,평일,주말,주말
05:30첫,05:21첫,05:31첫,05:21첫
병점광운대,구로천안,병점광운대,구로천안
5:39,05:39첫,5:43,05:38첫
병점청량리,구로신창,병점청량리,구로신창
5:50,5:53,5:54,5:53
병점광운대,구로천안,병점청량리,구로천안
6:10,06:01첫,6:08,06:02첫
서동탄광운대,서울역서동탄,서동탄광운대,서울역서동탄
6:19,6:08,6:19,6:09
천안청량리,구로신창,천안청량리,구로신창
6:29,6:17,6:32,6:19
서동탄광운대,구로서동탄,서동탄광운대,동묘앞서동탄
6:37,6:24,6:42,6:28
병점청량리,광운대서동탄,신창광운대,구로서동탄
6:42,6:36,6:51,6:36
신창광운대,동묘앞서동탄,서동탄청량리,광운대서동탄
6:51,6:42,6:58,6:42
서동탄청량리,구로천안,천안광운대,구로신창
6:59,6:52,-,6:52
천안광운대,광운대서동탄,-,광운대서동탄
7:09,7:04,7:09,7:02
병점청량리,구로신창,병점청량리,구로천안
7:18,7:09,7:18,7:10
서동탄광운대,광운대서동탄,서동탄광운대,광운대병점
7:24,7:17,7:22,7:17
신창광운대,구로서동탄,신창광운대,동묘앞서동탄
7:31,7:30,7:30,7:25
서동탄청량리,구로천안,병점청량리,광운대병점
7:37,7:34,7:37,7:34
천안광운대,광운대병점,서동탄동묘앞,청량리신창
7:46,7:42,7:47,7:42
서동탄광운대,광운대신창,천안청량리,광운대서동탄
7:53,7:49,7:52,7:46
서동탄동묘앞,광운대서동탄,서동탄광운대,광운대천안
-,7:57,-,7:57
-,청량리천안,-,청량리천안
8:01,8:09,8:01,8:09
천안청량리,광운대병점,서동탄광운대,광운대병점
8:09,8:16,8:06,8:13
병점광운대,광운대신창,신창청량리,광운대신창
8:18,8:21,8:17,8:21
서동탄광운대,의정부서동탄,서동탄광운대,동묘앞서동탄
8:22,8:29,8:21,8:28
신창청량리,광운대신창,천안청량리,구로천안
8:30,8:42,8:34,8:42
서동탄구로,의정부서동탄,천안광운대,광운대서동탄
8:36,8:49,8:47,8:57
신창광운대,청량리서동탄,서동탄동묘앞,광운대신창
8:48,8:57,8:53,-
서동탄광운대,광운대신창,천안청량리,-
8:54,-,9:04,9:09
천안구로,-,서동탄광운대,광운대서동탄
9:04,9:10,9:12,9:19
서동탄청량리,광운대서동탄,신창광운대,광운대신창
9:12,9:20,9:26,9:33
천안광운대,광운대신창,천안광운대,광운대서동탄
9:26,9:33,9:38,9:44
천안광운대,광운대서동탄,서동탄광운대,청량리천안
9:37,9:45,9:47,9:53
천안구로,청량리천안,신창청량리,광운대서동탄
9:44,9:53,9:54,-
서동탄청량리,광운대서동탄,천안광운대,-
9:53,-,10:03,10:02
신창광운대,-,서동탄광운대,청량리천안
10:03,10:05,10:12,10:10
서동탄광운대,광운대신창,천안광운대,광운대병점
10:20,10:14,10:25,10:25
서동탄구로,광운대병점,병점광운대,광운대서동탄
10:29,10:31,10:29,10:33
신창광운대,광운대서동탄,신창청량리,청량리신창
10:45,10:42,10:35,10:44
서동탄광운대,청량리신창,서동탄광운대,광운대병점
10:49,10:47,10:47,10:56
천안청량리,광운대서동탄,천안광운대,청량리천안
10:57,10:57,10:57,-
서동탄광운대,청량리천안,서동탄광운대,-
11:13,11:04,11:13,11:07
천안광운대,구로병점,신창광운대,광운대신창
11:23,11:10,11:22,11:16
서동탄광운대,광운대신창,서동탄광운대,청량리서동탄
11:31,11:19,11:30,11:23
신창광운대,청량리서동탄,천안광운대,광운대신창
11:49,11:36,11:50,11:41
천안광운대,구로천안,천안광운대,광운대서동탄
-,11:42,11:59,-
-,광운대서동탄,서동탄광운대,-
-,11:51,12:06,12:02
-,광운대신창,신창광운대,광운대신창
12:00,12:05,12:21,12:12
서동탄광운대,청량리서동탄,천안광운대,광운대서동탄
12:12,12:12,12:34,12:20
서동탄광운대,구로천안,서동탄광운대,광운대신창
12:23,12:21,12:50,12:32
신창청량리,광운대병점,신창광운대,광운대천안
12:34,12:33,-,12:41
서동탄광운대,광운대신창,-,청량리서동탄
12:47,12:40,-,12:53
신창광운대,광운대서동탄,-,광운대신창
-,12:53,13:01,13:02
-,구로신창,서동탄광운대,광운대서동탄
13:00,13:03,13:18,13:11
서동탄광운대,청량리서동탄,신창광운대,광운대천안
13:16,13:12,13:29,13:29
신창청량리,광운대천안,서동탄광운대,광운대신창
13:26,13:31,13:43,13:40
서동탄광운대,광운대천안,신창청량리,광운대서동탄
13:42,13:39,13:52,13:50
신창청량리,광운대서동탄,천안광운대,광운대신창
13:52,13:50,14:04,14:03
천안광운대,광운대천안,서동탄광운대,광운대서동탄
14:09,14:03,14:16,14:12
서동탄광운대,광운대서동탄,신창광운대,광운대천안
14:15,14:13,14:26,14:27
신창광운대,광운대천안,서동탄동묘앞,광운대병점
14:27,14:26,14:35,14:34
서동탄청량리,광운대병점,천안광운대,광운대서동탄
14:35,14:34,14:49,14:44
신창광운대,광운대서동탄,신창광운대,광운대신창
14:49,14:43,15:00,15:03
천안광운대,청량리천안,서동탄광운대,광운대서동탄
14:57,14:56,15:13,15:16
서동탄구로,광운대서동탄,신창광운대,광운대서동탄
15:12,15:13,15:23,15:34
천안광운대,광운대서동탄,서동탄광운대,광운대천안
15:23,15:28,15:29,15:45
서동탄광운대,광운대신창,천안광운대,광운대서동탄
15:30,15:36,15:45,15:51
천안광운대,광운대서동탄,신창광운대,광운대천안
15:46,15:49,15:51,-
신창광운대,청량리천안,서동탄광운대,-
15:52,-,16:08,16:09
서동탄광운대,-,신창청량리,광운대서동탄
16:08,16:03,16:21,16:25
신창광운대,광운대서동탄,서동탄광운대,구로병점
16:16,16:11,16:29,16:29
천안청량리,구로신창,신창광운대,광운대신창
16:23,16:28,16:45,16:41
서동탄광운대,광운대신창,서동탄광운대,광운대서동탄
16:30,16:42,16:52,16:56
신창광운대,청량리서동탄,천안광운대,광운대신창
16:44,16:52,17:03,17:05
서동탄동묘앞,광운대천안,서동탄광운대,광운대병점
16:51,-,17:16,17:12
신창광운대,-,신창광운대,광운대서동탄
17:06,17:05,17:27,17:23
서동탄광운대,광운대서동탄,서동탄광운대,광운대천안
17:15,17:24,17:39,17:32
천안광운대,구로신창,신창광운대,광운대서동탄
17:29,17:33,17:52,17:41
서동탄광운대,광운대서동탄,병점광운대,광운대병점
17:37,17:42,-,17:49
신창광운대,동묘앞서동탄,-,광운대천안
17:47,17:49,18:01,18:04
병점광운대,광운대천안,서동탄광운대,광운대서동탄
18:02,18:02,18:22,18:12
천안광운대,광운대서동탄,신창광운대,청량리천안
18:10,18:10,18:35,18:20
서동탄청량리,광운대천안,서동탄광운대,광운대서동탄
18:21,18:22,18:48,18:30
신창광운대,광운대서동탄,신창광운대,광운대신창
18:29,18:31,18:56,18:36
서동탄광운대,광운대신창,서동탄광운대,청량리천안
18:37,18:39,-,18:54
신창광운대,청량리서동탄,-,광운대서동탄
18:44,18:50,19:04,19:03
천안청량리,광운대천안,천안청량리,청량리천안
18:52,18:58,19:15,19:08
서동탄광운대,청량리서동탄,신창광운대,광운대서동탄
18:59,-,19:23,19:22
천안광운대,-,서동탄동묘앞,광운대서동탄
