금천구청방면,관악방면,관악방면,관악방면
평일,평일,주말,주말
05:38첫,05:12첫,05:39첫,05:12첫
병점광운대,구로천안,병점광운대,구로천안
5:47,05:30첫,5:51,05:29첫
병점청량리,구로신창,병점청량리,구로신창
5:58,5:44,-,5:44
병점광운대,구로천안,-,구로천안
-,05:53첫,-,05:53첫
-,서울역서동탄,-,서울역서동탄
-,5:59,6:02,6:00
-,구로신창,병점청량리,구로신창
6:18,6:08,6:16,6:10
서동탄광운대,구로서동탄,서동탄광운대,동묘앞서동탄
6:28,6:16,6:28,6:19
천안청량리,광운대서동탄,천안청량리,구로서동탄
6:37,6:27,6:40,6:28
서동탄광운대,동묘앞서동탄,서동탄광운대,광운대서동탄
6:45,6:33,6:50,6:33
병점청량리,구로천안,신창광운대,구로신창
6:50,6:44,6:59,6:44
신창광운대,광운대서동탄,서동탄청량리,광운대서동탄
6:59,6:55,-,6:53
서동탄청량리,구로신창,-,구로천안
7:07,7:01,7:07,7:02
천안광운대,광운대서동탄,천안광운대,광운대병점
7:17,7:08,7:17,7:08
병점청량리,구로서동탄,병점청량리,동묘앞서동탄
7:26,7:21,7:26,7:17
서동탄광운대,구로천안,서동탄광운대,광운대병점
7:32,7:26,7:30,7:25
신창광운대,광운대병점,신창광운대,청량리신창
7:40,7:34,7:38,7:34
서동탄청량리,광운대신창,병점청량리,광운대서동탄
7:46,7:40,7:45,7:38
천안광운대,광운대서동탄,서동탄동묘앞,광운대천안
7:54,7:48,7:56,7:48
서동탄광운대,청량리천안,천안청량리,청량리천안
8:02,8:01,8:00,8:01
서동탄동묘앞,광운대병점,서동탄광운대,광운대병점
8:10,8:08,8:09,8:05
천안청량리,광운대신창,서동탄광운대,광운대신창
8:17,8:13,8:14,8:12
병점광운대,의정부서동탄,신창청량리,동묘앞서동탄
8:26,8:21,8:25,8:19
서동탄광운대,광운대신창,서동탄광운대,구로천안
8:30,8:34,8:30,8:34
신창청량리,의정부서동탄,천안청량리,광운대서동탄
8:38,8:40,8:43,8:49
서동탄구로,청량리서동탄,천안광운대,광운대신창
8:44,8:49,8:55,-
신창광운대,광운대신창,서동탄동묘앞,-
8:56,-,9:01,9:01
서동탄광운대,-,천안청량리,광운대서동탄
9:02,9:02,9:12,9:11
천안구로,광운대서동탄,서동탄광운대,광운대신창
9:13,9:12,9:20,9:25
서동탄청량리,광운대신창,신창광운대,광운대서동탄
9:21,9:24,9:35,9:35
천안광운대,광운대서동탄,천안광운대,청량리천안
9:35,9:36,9:46,9:45
천안광운대,청량리천안,서동탄광운대,광운대서동탄
9:45,9:45,9:55,9:53
천안구로,광운대서동탄,신창청량리,청량리천안
9:52,9:57,10:03,10:02
서동탄청량리,광운대신창,천안광운대,광운대병점
10:01,10:06,10:11,10:17
신창광운대,광운대병점,서동탄광운대,광운대서동탄
10:11,10:23,10:21,10:24
서동탄광운대,광운대서동탄,천안광운대,청량리신창
10:28,10:33,10:33,10:36
서동탄구로,청량리신창,병점광운대,광운대병점
10:37,10:39,10:37,10:47
신창광운대,광운대서동탄,신창청량리,청량리천안
10:53,10:48,10:43,10:59
서동탄광운대,청량리천안,서동탄광운대,광운대신창
10:58,10:55,10:56,-
천안청량리,구로병점,천안광운대,-
11:05,11:02,11:05,11:07
서동탄광운대,광운대신창,서동탄광운대,청량리서동탄
11:22,11:11,11:21,11:15
천안광운대,청량리서동탄,신창광운대,광운대신창
11:31,11:27,11:30,11:33
서동탄광운대,구로천안,서동탄광운대,광운대서동탄
11:39,11:34,11:39,11:54
신창광운대,광운대서동탄,천안광운대,광운대신창
11:57,11:43,11:59,-
천안광운대,광운대신창,천안광운대,-
-,11:56,12:07,12:03
-,청량리서동탄,서동탄광운대,광운대서동탄
12:08,12:03,12:15,12:12
서동탄광운대,구로천안,신창광운대,광운대신창
12:20,12:13,12:30,12:24
서동탄광운대,광운대병점,천안광운대,광운대천안
12:31,12:25,12:42,12:32
신창청량리,광운대신창,서동탄광운대,청량리서동탄
12:43,12:32,12:58,12:45
서동탄광운대,광운대서동탄,신창광운대,광운대신창
12:55,12:44,-,12:54
신창광운대,구로신창,-,광운대서동탄
-,12:54,13:09,13:03
-,청량리서동탄,서동탄광운대,광운대천안
13:08,13:04,13:27,13:21
서동탄광운대,광운대천안,신창광운대,광운대신창
13:24,13:23,13:37,13:32
신창청량리,광운대천안,서동탄광운대,광운대서동탄
13:34,13:31,13:51,13:42
서동탄광운대,광운대서동탄,신창청량리,광운대신창
13:50,13:42,-,13:55
신창청량리,광운대천안,-,광운대서동탄
-,13:55,14:01,14:04
-,광운대서동탄,천안광운대,광운대천안
14:01,14:04,14:12,14:19
천안광운대,광운대천안,서동탄광운대,광운대병점
14:18,14:18,14:24,14:26
서동탄광운대,광운대병점,신창광운대,광운대서동탄
14:24,14:26,14:34,14:35
신창광운대,광운대서동탄,서동탄동묘앞,광운대신창
14:35,14:34,14:44,14:55
서동탄청량리,청량리천안,천안광운대,광운대서동탄
14:43,14:48,14:58,-
신창광운대,광운대서동탄,신창광운대,-
14:57,-,15:08,15:08
천안광운대,-,서동탄광운대,광운대서동탄
15:05,15:05,15:21,15:26
서동탄구로,광운대서동탄,신창광운대,광운대천안
15:21,15:20,15:31,15:37
천안광운대,광운대신창,서동탄광운대,광운대서동탄
15:31,15:28,15:38,15:43
서동탄광운대,광운대서동탄,천안광운대,광운대천안
15:39,15:40,15:53,-
천안광운대,청량리천안,신창광운대,-
15:54,15:55,16:00,16:01
신창광운대,광운대서동탄,서동탄광운대,광운대서동탄
16:00,16:02,16:16,16:16
서동탄광운대,구로신창,신창청량리,구로병점
16:16,16:20,16:29,16:21
신창광운대,광운대신창,서동탄광운대,광운대신창
16:24,16:33,16:37,16:33
천안청량리,청량리서동탄,신창광운대,광운대서동탄
16:31,16:44,16:53,16:48
서동탄광운대,광운대천안,서동탄광운대,광운대신창
16:38,16:57,-,16:57
신창광운대,광운대서동탄,-,광운대병점
16:53,-,17:00,17:04
서동탄동묘앞,-,천안광운대,광운대서동탄
17:00,17:15,17:11,17:15
신창광운대,구로신창,서동탄광운대,광운대천안
17:15,17:25,17:25,17:24
서동탄광운대,광운대서동탄,신창광운대,광운대서동탄
17:23,17:33,17:35,17:33
천안광운대,동묘앞서동탄,서동탄광운대,광운대병점
17:38,17:41,17:48,17:41
서동탄광운대,광운대천안,신창광운대,광운대천안
17:46,17:54,-,17:56
신창광운대,광운대서동탄,-,광운대서동탄
17:55,-,18:00,18:03
병점광운대,-,병점광운대,청량리천안
18:11,18:02,18:09,18:12
천안광운대,광운대천안,서동탄광운대,광운대서동탄
18:18,18:14,18:30,18:22
서동탄청량리,광운대서동탄,신창광운대,광운대신창
18:29,18:23,18:43,18:27
신창광운대,광운대신창,서동탄광운대,청량리천안
18:37,18:30,18:56,18:46
서동탄광운대,청량리서동탄,신창광운대,광운대서동탄
18:45,18:42,-,18:54
신창광운대,광운대천안,-,청량리천안
18:53,18:49,19:04,19:00
