제기동방면,동묘앞방면,제기동방면,동묘앞방면
평일,평일,주말,주말
05:35첫,05:15첫,05:35첫,05:15첫
구로동두천,광운대인천,구로동두천,광운대인천
5:39,5:22,5:39,5:27
서울역의정부,창동인천,서울역의정부,광운대인천
5:45,05:27첫,5:47,05:39첫
구로청량리,광운대서동탄,서울역양주,광운대서동탄
5:50,5:44,05:55첫,5:45
서울역양주,의정부인천,구로연천,의정부인천
5:55,5:50,,5:55
구로동두천,양주인천,,광운대서동탄
5:59,5:55,,5:59
서울역의정부,광운대서동탄,,양주인천
,5:59,6:00,6:13
,양주인천,구로청량리,광운대병점
6:03,06:04급첫,6:05,6:23
부평동두천,청량리신창,서울역광운대,소요산인천
6:10,6:12,6:09,6:28
구로청량리,광운대서동탄,부평소요산,광운대병점
6:14,6:23,6:23,06:37첫
서울역광운대,소요산인천,인천양주,청량리신창
6:23,06:29급첫,6:28,6:41
인천양주,청량리천안,병점광운대,양주인천
6:27,6:37,6:34,6:45
병점광운대,광운대병점,인천동두천,광운대서동탄
06:33급첫,6:41,6:40,6:49
인천동두천,양주인천,병점청량리,광운대천안
6:36,06:45첫,6:46,6:55
병점청량리,광운대신창,인천연천,연천인천
6:40,6:52,6:51,
서울역양주,광운대서동탄,병점청량리,
6:43,6:56,6:59,
인천동두천,연천인천,인천양주,
6:47,,7:05,7:00
병점광운대,,서동탄광운대,청량리천안
6:50,,7:12,7:04
구로청량리,,인천소요산,의정부인천
06:56첫,,7:16,07:09급첫
인천연천,,천안청량리,청량리천안
7:00,7:00,7:23,7:12
서울역양주,청량리천안,인천양주,광운대병점
7:03,7:04,7:29,7:16
인천동두천,의정부인천,서동탄광운대,광운대신창
7:07,07:08급,7:34,7:20
서동탄광운대,청량리천안,인천동두천,동두천인천
7:12,7:12,7:39,7:28
인천소요산,광운대병점,신창광운대,양주인천
7:16,7:16,7:44,7:37
천안청량리,동두천인천,인천양주,소요산인천
7:22,7:19,7:48,07:41급
인천동두천,광운대신창,서동탄청량리,청량리천안
7:26,7:24,7:52,7:45
서동탄광운대,의정부서동탄,인천연천,광운대서동탄
7:30,7:28,7:55,7:50
인천동두천,양주인천,천안광운대,동두천인천
7:34,7:32,,7:56
병점청량리,광운대신창,,연천구로
7:39,7:36,8:01,8:00
신창광운대,동두천인천,인천의정부,광운대신창
7:43,07:41급,8:06,08:09급
인천동두천,청량리천안,병점청량리,청량리천안
7:48,7:45,8:11,8:12
서동탄청량리,의정부서동탄,인천양주,광운대서동탄
7:53,07:49급첫,8:15,8:22
인천연천,동두천인천,서동탄광운대,광운대신창
7:56,7:52,8:19,8:27
천안광운대,청량리서동탄,신창광운대,동두천인천
,7:55,8:23,08:31급
,연천인천,인천소요산,청량리천안
,7:59,8:27,8:36
,광운대신창,병점청량리,광운대서동탄
8:02,8:03,8:30,8:43
인천의정부,양주부평,인천의정부,양주구로
8:06,08:07급,8:41,8:47
병점청량리,청량리천안,인천동두천,청량리천안
8:11,8:10,8:44,8:50
인천소요산,동두천인천,천안청량리,소요산인천
8:14,8:13,8:49,8:56
서동탄광운대,광운대서동탄,서동탄광운대,광운대서동탄
8:18,8:17,8:54,
