석계방면,외대앞방면,석계방면,외대앞방면
평일,평일,주말,주말
05:46첫,05:05첫,05:46첫,05:05첫
구로동두천,광운대인천,구로동두천,광운대인천
5:49,5:12,5:49,5:17
서울역의정부,창동인천,서울역의정부,광운대인천
-,05:17첫,5:57,05:29첫
-,광운대서동탄,서울역양주,광운대서동탄
-,5:34,-,5:35
-,의정부인천,-,의정부인천
-,5:40,-,5:45
-,양주인천,-,광운대서동탄
-,5:45,-,5:49
-,광운대서동탄,-,양주인천
-,5:49,06:06첫,6:03
-,양주인천,구로연천,광운대병점
6:00,6:02,6:15,6:13
서울역양주,광운대서동탄,서울역광운대,소요산인천
6:06,6:13,6:20,6:18
구로동두천,소요산인천,부평소요산,광운대병점
6:09,6:27,6:33,6:31
서울역의정부,광운대병점,인천양주,양주인천
6:14,6:31,6:38,6:35
부평동두천,양주인천,병점광운대,광운대서동탄
6:24,06:35첫,6:44,06:39첫
서울역광운대,광운대신창,인천동두천,광운대천안
6:33,6:42,6:56,6:45
인천양주,광운대서동탄,인천연천,연천인천
6:37,6:46,-,6:54
병점광운대,연천인천,-,의정부인천
06:43급첫,6:54,7:09,7:02
인천동두천,의정부인천,인천양주,광운대병점
6:50,-,7:15,07:06첫
서울역양주,-,서동탄광운대,광운대신창
6:53,-,7:22,7:09
인천동두천,-,인천소요산,동두천인천
6:57,-,7:33,7:18
병점광운대,-,인천양주,양주인천
07:06첫,7:02,7:39,7:27
인천연천,광운대병점,서동탄광운대,소요산인천
7:10,7:06,7:44,7:35
서울역양주,동두천인천,인천동두천,광운대서동탄
7:13,7:09,7:49,7:39
인천동두천,광운대신창,신창광운대,동두천인천
7:17,7:14,7:54,7:46
서동탄광운대,의정부서동탄,인천양주,연천구로
7:22,7:18,-,7:50
인천소요산,양주인천,-,광운대신창
7:32,7:22,8:02,8:02
인천동두천,광운대신창,인천연천,광운대서동탄
7:36,7:25,8:06,8:12
서동탄광운대,동두천인천,천안광운대,광운대신창
7:40,7:35,8:11,8:16
인천동두천,의정부서동탄,인천의정부,동두천인천
7:49,07:38급첫,8:21,8:26
신창광운대,동두천인천,인천양주,광운대서동탄
7:53,7:45,8:25,8:33
인천동두천,연천인천,서동탄광운대,양주구로
-,7:49,8:29,8:40
-,광운대신창,신창광운대,소요산인천
-,7:53,8:33,8:46
-,양주부평,인천소요산,광운대서동탄
-,7:59,8:40,8:50
-,동두천인천,인천의정부,연천인천
8:03,8:03,8:51,8:58
인천연천,광운대서동탄,인천동두천,양주인천
8:06,8:06,8:59,-
천안광운대,동두천구로,서동탄광운대,-
8:12,8:10,9:04,9:03
인천의정부,양주인천,인천연천,광운대병점
8:21,8:13,9:08,9:07
인천소요산,광운대신창,서동탄광운대,동두천인천
8:25,8:16,9:18,9:18
서동탄광운대,연천부평,인천양주,광운대서동탄
8:28,8:22,9:24,9:22
인천양주,동두천인천,서동탄광운대,양주구로
8:31,8:25,9:32,9:31
신창광운대,광운대서동탄,인천소요산,소요산인천
8:34,8:30,9:38,9:37
인천동두천,양주인천,인천광운대,광운대병점
8:41,8:34,9:42,9:44
인천의정부,동두천부평,천안광운대,의정부인천
8:45,8:42,9:49,9:53
천안광운대,소요산인천,인천동두천,연천인천
08:49급,8:46,10:05,10:00
인천동두천,광운대서동탄,인천연천,광운대신창
8:53,08:50급,10:11,10:05
서동탄광운대,동두천인천,서동탄광운대,양주인천
8:56,8:58,10:15,10:16
인천양주,광운대신창,인천의정부,광운대신창
9:05,9:03,10:19,10:20
인천연천,동두천인천,신창광운대,동두천인천
9:13,9:07,10:28,10:29
인천의정부,광운대병점,인천소요산,광운대인천
9:16,9:11,10:34,10:34
병점광운대,동두천인천,천안광운대,광운대서동탄
9:21,9:19,10:39,10:39
인천양주,의정부인천,인천양주,소요산인천
9:25,9:24,10:45,10:43
서동탄광운대,광운대서동탄,서동탄광운대,광운대구로
9:32,9:30,10:49,10:48
인천소요산,소요산인천,인천동두천,양주인천
9:43,9:40,10:58,10:55
신창광운대,광운대서동탄,인천양주,광운대신창
9:51,9:45,-,10:59
인천양주,의정부인천,-,연천인천
9:55,9:53,11:02,11:05
서동탄광운대,연천인천,천안광운대,광운대서동탄
10:06,10:03,11:05,11:08
인천연천,광운대신창,인천연천,동두천인천
10:15,10:06,11:10,11:13
인천의정부,동두천인천,서동탄광운대,광운대신창
10:20,10:16,11:14,11:18
천안광운대,동두천인천,인천의정부,의정부인천
10:29,10:21,11:20,11:25
인천소요산,양주구로,천안광운대,광운대천안
10:34,10:29,11:28,11:30
천안광운대,의정부인천,인천광운대,양주인천
10:38,10:35,11:32,11:38
인천양주,광운대서동탄,병점광운대,소요산인천
10:47급,10:39,11:39,11:46
인천동두천,양주서울역,인천양주,광운대신창
10:55,10:44,11:42,11:51
인천양주,광운대신창,서동탄광운대,연천인천
-,10:49,11:51,11:55
-,연천인천,인천동두천,광운대서동탄
11:00,11:02,11:55,11:59
신창광운대,동두천인천,천안광운대,양주인천
11:05,11:08급,11:59,-
인천연천,동두천인천,인천양주,-
11:10,11:14,12:04,12:04
서동탄광운대,광운대병점,서동탄광운대,광운대천안
11:16,11:18,12:14,12:07
인천의정부,의정부인천,인천연천,동두천인천
11:25,11:26,12:20,12:18
부평소요산,광운대신창,신창광운대,의정부인천
11:30,11:29,12:24,12:22
인천양주,양주인천,인천소요산,광운대신창
11:36,11:33,12:29,12:28
신창광운대,광운대서동탄,서동탄광운대,양주인천
11:40,11:38,12:33,12:33
구로의정부,소요산인천,인천양주,광운대서동탄
11:48,11:47,12:38,12:37
인천양주,연천인천,천안광운대,소요산인천
11:52,11:59,12:41,12:43
서동탄광운대,양주인천,인천의정부,광운대신창
12:00급,12:05,12:53,12:48
인천동두천,광운대천안,인천동두천,연천인천
12:04,12:09급,12:58,12:56
서동탄광운대,동두천인천,천안광운대,광운대서동탄
12:08,12:20,13:02,13:00
인천연천,의정부인천,인천양주,양주인천
12:17,12:24,13:06,13:05
인천의정부,광운대천안,서동탄광운대,광운대천안
12:21,12:28,13:10,13:09
천안광운대,양주인천,인천연천,동두천인천
12:25,12:32,13:14,13:20
인천소요산,광운대서동탄,신창광운대,광운대병점
12:30,12:37,13:25,13:24
서동탄광운대,소요산인천,인천소요산,양주인천
12:34,12:43,13:30,13:27
인천양주,광운대천안,천안광운대,광운대서동탄
12:38,12:48,13:36,13:32
신창광운대,양주인천,인천양주,소요산인천
12:41,12:56,13:41,13:36
인천의정부,광운대서동탄,서동탄광운대,광운대신창
12:52급,-,13:45,13:44
인천동두천,-,인천의정부,의정부인천
12:56,-,13:55,13:52
천안광운대,-,인천동두천,연천인천
13:02,13:00,13:59,13:56
인천양주,의정부인천,신창광운대,광운대서동탄
13:07,13:04,14:04,14:02
서동탄광운대,광운대천안,인천양주,양주인천
13:14,13:07급,14:08,14:09
인천연천,동두천인천,서동탄광운대,광운대서동탄
13:19,13:13,14:19,14:13
서동탄광운대,양주인천,인천의정부,동두천인천
13:25,13:19,14:26,14:23
인천양주,광운대병점,신창광운대,양주인천
13:34,13:23,14:29,14:27
인천소요산,의정부인천,인천소요산,광운대천안
13:41,13:27,14:36,14:33
서동탄광운대,광운대서동탄,서동탄광운대,소요산인천
13:50,13:31,14:40,14:38
인천양주,소요산인천,인천양주,광운대서동탄
13:55,13:44,14:46,14:44
신창광운대,의정부인천,인천동두천,광운대천안
-,13:49,14:56,14:49
-,광운대서동탄,인천양주,의정부인천
-,13:53,-,14:58
-,연천인천,-,연천인천
14:02급막,14:02,15:00,15:02
인천동두천,양주인천,천안광운대,광운대서동탄
14:07,14:06,15:07,15:07
서동탄광운대,광운대서동탄,인천연천,양주인천
14:11,14:10급,15:11,15:17
인천연천,동두천인천,서동탄광운대,동두천인천
14:19,14:21,15:19,15:22
인천의정부,광운대신창,인천의정부,광운대신창
14:28,14:25,15:23,15:26
인천소요산,양주인천,신창광운대,의정부인천
14:33,14:29,15:27,15:30
서동탄광운대,광운대서동탄,인천소요산,소요산구로
14:39,14:35,15:38,15:34
인천양주,소요산인천,인천양주,광운대서동탄
14:45,14:47,15:43,15:39
인천의정부,양주인천,천안광운대,양주인천
14:55,14:56,15:53,15:49
인천광운대,광운대서동탄,인천의정부,광운대신창
15:00,15:00,15:57,15:54
천안광운대,연천인천,신창광운대,연천인천
15:04,15:08,-,15:58
인천연천,양주인천,-,광운대병점
15:13,15:21,16:04,16:01
인천양주,광운대신창,인천연천,양주인천
15:17,15:25,16:07,16:05
서동탄광운대,의정부인천,서동탄광운대,광운대서동탄
15:23,15:41,16:15,16:08
신창광운대,소요산인천,인천의정부,동두천인천
15:29,15:45,16:20,16:16
인천소요산,광운대천안,신창광운대,광운대천안
15:38,15:49,16:25,16:20
인천양주,의정부인천,인천소요산,양주인천
15:42,15:57,16:30,16:25
신창광운대,광운대서동탄,서동탄광운대,광운대서동탄
15:50,-,16:33,16:29
인천의정부,-,인천양주,의정부인천
15:56,-,16:37,16:34
천안광운대,-,천안광운대,광운대병점
16:01,16:01,16:40,16:38
인천연천,연천인천,인천의정부,소요산인천
16:16,16:06,16:48,16:42
인천의정부,양주인천,인천동두천,광운대천안
16:20,16:14급막,16:52,16:46
천안광운대,동두천인천,신창광운대,동두천구로
16:23,16:22,16:59,16:57
인천소요산,의정부인천,서동탄광운대,광운대서동탄
16:30,16:26,17:02,17:00
서동탄광운대,광운대서동탄,인천양주,의정부인천
16:34,16:31,17:11,17:09
인천의정부,양주인천,인천연천,양주서울역
16:38,16:38,17:19,17:13
천안광운대,소요산인천,인천의정부,광운대서동탄
16:41,16:42,17:28,17:19
인천동두천,광운대천안,서동탄광운대,의정부인천
16:49,16:55,17:33,17:23
인천양주,광운대서동탄,구로의정부,광운대신창
16:53,16:58,17:36,17:33
신창광운대,연천인천,신창광운대,소요산인천
16:59,-,17:48,17:43
서동탄광운대,-,구로동두천,의정부인천
17:03,17:03,17:52,17:47
인천연천,광운대천안,서동탄광운대,광운대서동탄
17:11,17:07,17:55,17:51
인천양주,양주인천,인천의정부,연천인천
17:15,17:15,17:59,-
신창광운대,광운대서동탄,천안광운대,-
17:18,17:21,18:05,18:01
인천의정부,의정부인천,인천양주,광운대서동탄
17:27,17:24,18:10,18:06
부평소요산,광운대신창,서동탄광운대,양주인천
17:30,17:28,18:19,18:15
서동탄광운대,양주인천,인천양주,광운대서동탄
17:33,17:37,18:24,18:19
인천양주,소요산인천,신창광운대,양주인천
17:37,17:43,18:28,18:22
신창광운대,광운대천안,인천소요산,광운대천안
17:48,17:46,18:34,18:26
부평동두천,의정부인천,서동탄광운대,의정부인천
17:55,17:53,18:43,18:31
인천양주,연천인천,인천동두천,소요산인천
17:59,17:59,18:47,18:34
신창광운대,광운대신창,신창광운대,광운대서동탄
18:03,18:03,18:51,18:39
인천연천,의정부인천,구로양주,의정부인천
18:10,18:12,18:55,18:48
인천동두천,양주인천,인천광운대,광운대신창
18:14,18:17,18:59,18:53
서동탄광운대,광운대신창,병점광운대,연천인천
18:17,18:22,19:08,19:00
인천의정부,의정부인천,서동탄광운대,광운대서동탄
18:22,18:25,19:12,19:05
천안광운대,광운대천안,인천의정부,동두천인천
18:26,18:30,19:26,19:10
인천양주,소요산인천,구로소요산,광운대신창
