관악방면,명학방면,관악방면,명학방면
평일,평일,주말,주말
05:33첫,05:18첫,05:34첫,05:18첫
병점광운대,구로천안,병점광운대,구로천안
5:42,05:36첫,5:46,05:35첫
병점청량리,구로신창,병점청량리,구로신창
5:53,5:50,5:57,5:50
병점광운대,구로천안,병점청량리,구로천안
-,05:58첫,-,05:59첫
-,서울역서동탄,-,서울역서동탄
6:13,6:05,6:11,6:06
서동탄광운대,구로신창,서동탄광운대,구로신창
6:22,6:14,6:22,6:16
천안청량리,구로서동탄,천안청량리,동묘앞서동탄
6:32,6:21,6:35,6:25
서동탄광운대,광운대서동탄,서동탄광운대,구로서동탄
6:40,6:33,6:45,6:33
병점청량리,동묘앞서동탄,신창광운대,광운대서동탄
6:45,6:39,6:54,6:39
신창광운대,구로천안,서동탄청량리,구로신창
06:52급첫,6:49,-,6:49
천안서울역,광운대서동탄,-,광운대서동탄
6:54,06:54급첫,-,6:59
서동탄청량리,청량리신창,-,구로천안
7:02,7:01,7:01,7:07
천안광운대,구로신창,천안광운대,광운대병점
7:12,7:06,7:12,7:14
병점청량리,광운대서동탄,병점청량리,동묘앞서동탄
7:21,7:14,7:21,7:22
서동탄광운대,구로서동탄,서동탄광운대,광운대병점
7:27,07:20급첫,7:25,7:31
신창광운대,청량리천안,신창광운대,청량리신창
7:34,7:27,7:33,7:39
서동탄청량리,구로천안,병점청량리,광운대서동탄
7:40,7:31,7:40,7:43
천안광운대,광운대병점,서동탄동묘앞,광운대천안
07:42급막,7:39,7:50,7:54
신창서울역,광운대신창,천안청량리,청량리천안
7:49,7:46,7:55,07:59급첫
서동탄광운대,광운대서동탄,서동탄광운대,청량리천안
7:56,7:54,8:04,8:06
서동탄동묘앞,청량리천안,서동탄광운대,광운대병점
-,07:59급,8:09,8:10
-,청량리천안,신창청량리,광운대신창
8:04,8:06,8:20,8:18
천안청량리,광운대병점,서동탄광운대,동묘앞서동탄
8:12,8:13,8:24,8:25
병점광운대,광운대신창,천안청량리,구로천안
8:21,8:18,8:37,08:31급
서동탄광운대,의정부서동탄,천안광운대,청량리천안
8:25,8:26,08:45급첫,8:39
신창청량리,광운대신창,신창청량리,광운대서동탄
8:33,08:31급,8:50,8:54
서동탄구로,청량리천안,서동탄동묘앞,광운대신창
8:39,8:39,8:56,08:59급
신창광운대,의정부서동탄,천안청량리,청량리천안
08:46급첫,8:46,9:07,9:06
신창청량리,청량리서동탄,서동탄광운대,광운대서동탄
8:51,8:54,9:15,9:16
서동탄광운대,광운대신창,신창광운대,광운대신창
8:57,08:59급,09:22급,09:21급
천안구로,청량리천안,천안청량리,청량리천안
9:07,9:07,9:29,9:30
서동탄청량리,광운대서동탄,천안광운대,광운대서동탄
9:15,9:17,9:41,9:41
천안광운대,광운대신창,서동탄광운대,청량리천안
09:24급,09:22급,9:50,9:50
신창청량리,청량리천안,신창청량리,광운대서동탄
9:29,9:30,9:57,9:59
천안광운대,광운대서동탄,천안광운대,청량리천안
9:40,9:42,10:06,10:07
천안구로,청량리천안,서동탄광운대,광운대병점
9:47,9:50,10:15,10:12급첫
서동탄청량리,광운대서동탄,천안광운대,청량리신창
9:56,-,10:23급,10:22
신창광운대,-,천안청량리,광운대서동탄
10:06,10:02,10:28,10:30
서동탄광운대,광운대신창,병점광운대,청량리신창
10:18급,10:11,10:32,10:41
천안청량리,광운대병점,신창청량리,광운대병점
10:23,10:16급,10:38,10:53
서동탄구로,청량리천안,서동탄광운대,청량리천안
10:32,10:28,10:45급,-
신창광운대,광운대서동탄,천안청량리,-
10:43급,10:39,10:50,-
신창청량리,청량리신창,천안광운대,-
10:48,10:44,11:00,11:04
서동탄광운대,광운대서동탄,서동탄광운대,광운대신창
10:52,10:54,11:08급,11:13
천안청량리,청량리천안,천안청량리,청량리서동탄
11:00,11:01,11:16,11:20
서동탄광운대,구로병점,신창광운대,광운대신창
11:11급,11:07,11:25,11:26급
천안청량리,광운대신창,서동탄광운대,청량리천안
11:17,11:16,11:33,11:38
