신길방면,신도림방면,신길방면,신도림방면
평일,평일,주말,주말
05:05첫,05:05첫,05:05첫,05:09첫
구로동두천,영등포인천,구로동두천,영등포인천
5:15,5:26,05:25첫,05:31첫
구로청량리,영등포인천,구로연천,영등포광명
5:25,05:31첫,5:30,05:35첫
구로동두천,영등포광명,구로청량리,서울역서동탄
5:33,05:35첫,5:39,5:46
부평동두천,서울역서동탄,부평소요산,광운대인천
5:40,05:45급첫,05:49급첫,5:52
구로청량리,용산동인천,부천용산,동묘앞서동탄
05:49급첫,5:46,5:52,5:58
부천용산,광운대인천,인천양주,광운대인천
5:52,5:53,5:57,
인천양주,창동인천,병점광운대,
5:56,5:58,6:03,06:02급첫
병점광운대,광운대서동탄,인천동두천,용산동인천
06:02급첫,6:04,06:08급,6:04
인천동두천,동묘앞인천,동인천용산,동묘앞인천
06:05급,6:09,6:09,6:10
동인천용산,동묘앞서동탄,병점청량리,광운대서동탄
6:05,6:15,6:15,6:16
병점청량리,의정부인천,인천연천,의정부인천
6:12,06:18급,6:20,06:18급
인천동두천,용산부평,병점청량리,용산동인천
06:16급,6:21,06:21급,6:21
동인천용산,양주인천,동인천용산,영등포광명
6:16,6:21,6:28,6:26
병점광운대,영등포광명,인천양주,광운대서동탄
6:20,6:26,6:34,6:30
구로청량리,광운대서동탄,서동탄광운대,양주인천
06:25첫,6:30,06:39급,06:37급
인천연천,양주인천,동인천용산,용산동인천
06:26급,06:33급,6:41,6:40
동인천용산,용산동인천,인천소요산,동묘앞인천
06:32급,06:34급첫,6:46,6:44
구로용산,청량리신창,천안청량리,광운대병점
6:32,6:38,6:52,6:50
인천동두천,동묘앞인천,인천양주,동묘앞서동탄
6:36,6:43,06:56급,06:53급
서동탄광운대,광운대서동탄,동인천용산,용산동인천
06:40급,06:45급,6:58,6:54
동인천용산,용산동인천,서동탄광운대,소요산인천
6:41,6:47,,6:59
인천소요산,동묘앞인천,,광운대병점
06:45급,6:54,7:03,7:02
구로용산,소요산인천,인천동두천,동묘앞인천
6:46,06:54급,7:08,07:07첫
천안청량리,용산동인천,신창광운대,청량리신창
6:51,06:59급첫,07:12급,07:08급
인천동두천,청량리천안,동인천용산,용산동인천
06:54급,,7:13,7:12
동인천용산,,인천양주,양주인천
6:55,,7:17,7:12
서동탄광운대,,서동탄청량리,영등포광명
6:59,,7:21,7:16
인천동두천,,인천연천,광운대서동탄
07:02급,07:00급,7:25,7:20
동인천용산,용산동인천,천안광운대,광운대천안
7:03,7:03,07:30급,7:26
병점청량리,동묘앞인천,동인천용산,연천인천
7:08,7:08,7:30,07:26급
신창광운대,광운대병점,인천의정부,용산동인천
07:11급,07:09급,7:35,7:30
동인천용산,용산부평,병점청량리,청량리천안
7:12,7:12,7:40,7:35
인천동두천,양주인천,인천양주,의정부인천
7:17,7:12,7:44,07:39급첫
서동탄청량리,영등포광명,서동탄광운대,청량리천안
07:20급,07:16첫,07:46급,7:43
부평용산,광운대신창,동인천용산,광운대병점
7:22,07:16급,7:48,07:44급
