신이문방면,회기방면,신이문방면,회기방면
평일,평일,주말,주말
05:44첫,05:06첫,05:44첫,05:06첫
구로동두천,광운대인천,구로동두천,광운대인천
5:48,5:13,5:48,5:18
서울역의정부,창동인천,서울역의정부,광운대인천
5:59,05:18첫,5:56,05:30첫
서울역양주,광운대서동탄,서울역양주,광운대서동탄
,5:35,,5:36
,의정부인천,,의정부인천
,5:41,,5:46
,양주인천,,광운대서동탄
,5:46,,5:50
,광운대서동탄,,양주인천
,5:50,06:04첫,6:04
,양주인천,구로연천,광운대병점
6:04,6:03,6:14,6:14
구로동두천,광운대서동탄,서울역광운대,소요산인천
6:08,6:14,6:18,6:19
서울역의정부,소요산인천,부평소요산,광운대병점
6:12,6:28,6:32,6:32
부평동두천,광운대병점,인천양주,양주인천
6:23,6:32,6:37,6:36
서울역광운대,양주인천,병점광운대,광운대서동탄
6:32,06:36첫,6:43,06:40첫
인천양주,광운대신창,인천동두천,광운대천안
6:36,6:43,6:55,6:46
병점광운대,광운대서동탄,인천연천,연천인천
06:42급첫,6:47,,6:55
인천동두천,연천인천,,의정부인천
6:49,6:55,7:08,7:03
서울역양주,의정부인천,인천양주,광운대병점
6:52,,7:14,07:07첫
인천동두천,,서동탄광운대,광운대신창
6:56,,7:21,7:11
병점광운대,,인천소요산,동두천인천
07:05첫,7:03,7:32,7:19
인천연천,광운대병점,인천양주,양주인천
7:09,7:07,7:38,7:28
서울역양주,동두천인천,서동탄광운대,소요산인천
7:12,7:10,7:43,7:36
인천동두천,광운대신창,인천동두천,광운대서동탄
7:16,7:15,7:48,7:41
서동탄광운대,의정부서동탄,신창광운대,동두천인천
7:21,7:19,7:53,7:47
인천소요산,양주인천,인천양주,연천구로
7:31,7:23,,7:51
인천동두천,광운대신창,,광운대신창
7:35,7:27,8:01,8:03
서동탄광운대,동두천인천,인천연천,광운대서동탄
7:39,7:36,8:04,8:13
인천동두천,의정부서동탄,천안광운대,광운대신창
7:48,07:40급첫,8:10,8:18
신창광운대,동두천인천,인천의정부,동두천인천
7:52,7:46,8:20,8:27
인천동두천,연천인천,인천양주,광운대서동탄
,7:50,8:24,8:34
,광운대신창,서동탄광운대,양주구로
,7:54,8:28,8:41
,양주부평,신창광운대,소요산인천
8:02,8:01,8:32,8:47
인천연천,동두천인천,인천소요산,광운대서동탄
8:05,8:04,8:39,8:51
천안광운대,광운대서동탄,인천의정부,연천인천
8:11,8:08,8:50,8:59
인천의정부,동두천구로,인천동두천,양주인천
8:20,8:11,8:58, 
인천소요산,양주인천,서동탄광운대, 
8:23,8:14,9:03,9:04
서동탄광운대,광운대신창,인천연천,광운대병점
8:27,8:17,9:07,9:09
인천양주,연천부평,서동탄광운대,동두천인천
8:30,8:24,9:17,9:19
