남영방면,노량진방면,남영방면,노량진방면
평일,평일,주말,주말
05:15첫,05:25첫,05:15첫,05:25첫
구로동두천,서울역서동탄,구로동두천,서울역서동탄
5:25,05:35급첫,05:35첫,05:36첫
구로청량리,용산동인천,구로연천,광운대인천
5:35,05:36첫,5:40,5:42
구로동두천,광운대인천,구로청량리,동묘앞서동탄
5:43,5:43,5:49,5:48
부평동두천,창동인천,부평소요산,광운대인천
5:50,5:48,,05:52급첫
구로청량리,광운대서동탄,,용산동인천
,5:54,,5:54
,동묘앞인천,,동묘앞인천
,5:59,6:02,6:00
,동묘앞서동탄,인천양주,광운대서동탄
6:02,6:05,6:07,6:06
인천양주,의정부인천,병점광운대,의정부인천
6:06,06:08급,6:13,06:08급
병점광운대,용산부평,인천동두천,용산동인천
06:12급첫,6:11,6:19,6:16
인천동두천,양주인천,병점청량리,광운대서동탄
6:15,6:16,6:25,6:20
병점청량리,광운대서동탄,인천연천,양주인천
6:22,6:20,6:30,06:27급
인천동두천,양주인천,병점청량리,용산동인천
6:26,06:23급,6:38,6:30
병점광운대,용산동인천,인천양주,동묘앞인천
6:30,06:24급첫,6:44,6:34
구로청량리,청량리신창,서동탄광운대,광운대병점
06:35첫,6:28,6:51,6:40
인천연천,동묘앞인천,인천소요산,동묘앞서동탄
6:42,6:33,6:56,06:43급
인천동두천,광운대서동탄,천안청량리,용산동인천
6:46,06:35급,,6:44
서동탄광운대,용산동인천,,소요산인천
6:51,6:37,,6:49
인천소요산,동묘앞인천,,광운대병점
6:56,6:44,,6:52
천안청량리,소요산인천,,동묘앞인천
,06:44급,,06:57첫
,용산동인천,,청량리신창
,06:49급첫,,06:58급
,청량리천안,,용산동인천
,06:50급,7:02,7:02
,용산동인천,인천양주,양주인천
,6:53,7:08,7:06
,동묘앞인천,서동탄광운대,광운대서동탄
,6:58,7:13,7:10
,광운대병점,인천동두천,광운대천안
,06:59급,7:18,7:16
,용산부평,신창광운대,연천인천
7:01,7:02,7:23,07:16급
인천동두천,양주인천,인천양주,용산동인천
7:05,07:06첫,7:27,7:20
서동탄광운대,광운대신창,서동탄청량리,청량리천안
7:09,07:06급,7:31,7:25
인천동두천,용산동인천,인천연천,의정부인천
7:13,7:09,7:35,07:29급첫
병점청량리,동묘앞인천,천안광운대,청량리천안
7:18,7:13,7:40,7:33
신창광운대,광운대서동탄,인천의정부,광운대병점
7:22,07:13급,7:45,07:34급
인천동두천,용산동인천,병점청량리,용산동인천
7:27,7:17,7:50,7:37
서동탄청량리,연천인천,인천양주,광운대신창
7:32,07:20급,7:54,7:40
인천연천,용산동인천,서동탄광운대,동두천인천
7:35,7:20,7:58,7:44
천안광운대,청량리천안,신창광운대,동묘앞서동탄
7:41,7:25,,7:49
인천의정부,의정부인천,,양주인천
7:45,07:28급,,07:51급
병점청량리,청량리천안,,용산동인천
7:50,07:31급,,7:58
인천소요산,용산부평,,소요산인천
7:54,7:33,8:02,08:01급
서동탄광운대,광운대병점,인천소요산,청량리천안
7:57,7:37,8:06,8:06
인천양주,동두천인천,병점청량리,광운대서동탄
,7:40,8:09,08:09급
,광운대신창,인천의정부,용산동인천
,07:40급,8:13,8:10
,용산동인천,서동탄동묘앞,동두천인천
,7:45,8:20,8:17
,의정부서동탄,인천동두천,연천구로
,07:47급,8:24,8:21
,용산동인천,천안청량리,광운대신창
,7:49,8:28,8:25
,양주인천,서동탄광운대,동묘앞인천
,07:52급,8:33,08:29급
,용산부평,인천연천,청량리천안
,7:53,8:37,08:30급
,광운대신창,서동탄광운대,용산동인천
,7:56,8:42,8:33
