청량리방면,신설동방면,청량리방면,신설동방면
평일,평일,주말,주말
05:37첫,05:13첫,05:37첫,05:13첫
구로동두천,광운대인천,구로동두천,광운대인천
5:41,5:20,5:41,5:25
서울역의정부,창동인천,서울역의정부,광운대인천
5:47,05:25첫,5:49,05:37첫
구로청량리,광운대서동탄,서울역양주,광운대서동탄
5:52,5:42,05:57첫,5:43
서울역양주,의정부인천,구로연천,의정부인천
5:57,5:48,-,5:53
구로동두천,양주인천,-,광운대서동탄
-,5:53,-,5:57
-,광운대서동탄,-,양주인천
-,5:57,6:02,6:11
-,양주인천,구로청량리,광운대병점
6:01,06:02급첫,6:07,6:21
서울역의정부,청량리신창,서울역광운대,소요산인천
6:05,6:10,6:11,6:26
부평동두천,광운대서동탄,부평소요산,광운대병점
6:12,6:21,6:25,06:35첫
구로청량리,소요산인천,인천양주,청량리신창
6:16,06:27급첫,6:30,6:39
서울역광운대,청량리천안,병점광운대,양주인천
6:25,6:35,6:36,6:43
인천양주,광운대병점,인천동두천,광운대서동탄
6:29,6:39,6:42,6:47
병점광운대,양주인천,병점청량리,광운대천안
06:35급첫,06:43첫,6:48,6:53
인천동두천,광운대신창,인천연천,연천인천
6:38,6:50,6:53,6:58
병점청량리,광운대서동탄,병점청량리,청량리천안
6:42,6:54,7:01,7:02
서울역양주,연천인천,인천양주,의정부인천
6:45,6:58,7:07,07:07급첫
인천동두천,청량리천안,서동탄광운대,청량리천안
6:49,-,7:14,7:10
병점광운대,-,인천소요산,광운대병점
6:52,-,7:18,7:14
구로청량리,-,천안청량리,광운대신창
06:58첫,-,7:25,7:18
인천연천,-,인천양주,동두천인천
7:02,7:02,7:31,7:26
서울역양주,의정부인천,서동탄광운대,양주인천
7:05,07:06급,7:36,7:35
인천동두천,청량리천안,인천동두천,소요산인천
7:09,7:10,7:41,07:39급
서동탄광운대,광운대병점,신창광운대,청량리천안
7:14,7:14,7:46,7:43
인천소요산,동두천인천,인천양주,광운대서동탄
7:18,7:17,7:50,7:48
천안청량리,광운대신창,서동탄청량리,동두천인천
7:24,7:22,7:54,7:54
인천동두천,의정부서동탄,인천연천,연천구로
7:28,7:26,7:57,7:58
서동탄광운대,양주인천,천안광운대,광운대신창
7:32,7:30,8:03,08:07급
인천동두천,광운대신창,인천의정부,청량리천안
7:36,7:34,8:08,8:10
병점청량리,동두천인천,병점청량리,광운대서동탄
7:41,07:39급,8:13,8:20
신창광운대,청량리천안,인천양주,광운대신창
7:45,7:43,8:17,8:25
인천동두천,의정부서동탄,서동탄광운대,동두천인천
7:50,07:47급첫,8:21,08:29급
서동탄청량리,동두천인천,신창광운대,청량리천안
7:55,7:50,8:25,8:34
인천연천,청량리서동탄,인천소요산,광운대서동탄
7:58,7:53,8:29,8:41
천안광운대,연천인천,병점청량리,양주구로
-,7:57,8:32,8:45
-,광운대신창,인천의정부,청량리천안
8:04,8:01,8:43,8:48
인천의정부,양주부평,인천동두천,소요산인천
8:08,08:05급,8:46,8:54
병점청량리,청량리천안,천안청량리,광운대서동탄
8:13,8:08,8:51,8:58
인천소요산,동두천인천,서동탄광운대,연천인천
8:16,8:11,8:56,-
서동탄광운대,광운대서동탄,인천연천,-
8:20,8:15,9:00,9:03
인천양주,동두천구로,서동탄광운대,청량리천안
8:23,8:18,9:05,9:06
신창광운대,양주인천,신창청량리,양주인천
8:26,8:21,9:10,9:11
인천동두천,광운대신창,인천양주,광운대병점
8:30,8:24,9:16,9:16
서동탄청량리,연천부평,서동탄광운대,동두천인천
8:33,08:28급,9:20,09:20급첫
인천의정부,청량리천안,천안청량리,청량리신창
8:36,8:31,9:24,9:26
천안광운대,동두천인천,인천소요산,광운대서동탄
08:41급,8:33,9:30,9:30
인천동두천,광운대서동탄,인천광운대,양주구로
8:45,8:38,9:33,9:34
서동탄광운대,양주인천,천안광운대,청량리신창
8:48,8:43,09:37급첫,9:39
인천양주,동두천부평,신창청량리,소요산인천
8:57,8:46,9:41,9:45
인천연천,청량리천안,인천동두천,광운대병점
-,8:50,9:52,9:52
-,소요산인천,천안청량리,의정부인천
-,8:54,9:57,9:57
-,광운대서동탄,인천연천,청량리천안
-,08:59급,10:03,10:01
-,동두천인천,서동탄광운대,연천인천
9:00,9:06,10:07,10:08
천안청량리,광운대신창,인천의정부,광운대신창
9:05,9:12,10:11,10:13
인천의정부,동두천인천,신창광운대,양주인천
9:08,9:15,10:15급,10:17
병점광운대,광운대병점,천안청량리,청량리서동탄
9:13,9:20,10:20,10:24
인천양주,동두천인천,인천소요산,광운대신창
9:17,09:24급,10:25,10:29
서동탄광운대,청량리천안,천안광운대,동두천인천
9:21,9:27,10:31,10:34급
신창청량리,의정부인천,인천양주,청량리천안
9:24,9:32,10:37,10:37
인천소요산,광운대서동탄,서동탄광운대,광운대인천
9:35,9:39,10:41,10:42
신창광운대,소요산인천,인천동두천,광운대서동탄
09:39급첫,9:43,10:46,10:47
신창청량리,청량리신창,신창청량리,소요산인천
9:43,9:48,10:50,10:51
인천양주,광운대서동탄,인천양주,광운대구로
9:47,9:53,10:53,10:56
서동탄광운대,의정부인천,천안광운대,양주인천
9:58,9:58,10:57,-
인천연천,청량리천안,인천연천,-
10:03,10:02,11:02,11:00급
서동탄청량리,연천인천,서동탄광운대,청량리천안
10:07,10:11,11:06,11:03
인천의정부,광운대신창,인천의정부,광운대신창
10:11,10:15,11:11,11:07
천안광운대,동두천인천,천안광운대,연천인천
10:17급,10:21,11:16급,11:13
신창청량리,청량리서동탄,천안청량리,광운대서동탄
10:21,10:25,11:20,11:17
인천소요산,동두천인천,인천광운대,동두천인천
10:25,10:29,11:24,11:21
천안광운대,양주구로,병점광운대,광운대신창
10:30,10:33급,11:28,11:26
인천양주,청량리천안,신창청량리,의정부인천
10:39급,10:37,11:31,11:30급
인천동두천,의정부인천,인천양주,청량리천안
10:43,10:43,11:34,11:33
서동탄청량리,광운대서동탄,서동탄광운대,광운대천안
10:47,10:47,11:38급,11:38
인천양주,양주서울역,천안청량리,양주인천
10:52,10:52,11:43,11:42
신창광운대,광운대신창,인천동두천,청량리서동탄
10:57,10:58,11:46,11:46
인천연천,연천인천,천안광운대,소요산인천
11:02,11:02급,11:51,11:51급
서동탄광운대,청량리신창,인천양주,청량리천안
11:08,11:06,11:56,11:54
인천의정부,청량리서동탄,서동탄광운대,광운대신창
11:11급,11:11,-,11:59
천안청량리,동두천인천,-,연천인천
11:16,11:17급,12:01급,12:03
