종로3가방면,시청방면,종로3가방면,시청방면
평일,평일,주말,주말
05:25첫,05:25첫,05:25첫,05:25첫
구로동두천,광운대인천,구로동두천,광운대인천
5:29,5:32,5:29,05:32첫
서울역의정부,창동인천,서울역의정부,동묘앞서동탄
5:35,05:37첫,5:37,5:37
구로청량리,광운대서동탄,서울역양주,광운대인천
5:40,5:44,05:45첫,5:44
서울역양주,동묘앞인천,구로연천,동묘앞인천
5:45,5:49,5:50,5:49
구로동두천,동묘앞서동탄,구로청량리,광운대서동탄
5:49,5:54,5:55,5:55
서울역의정부,의정부인천,서울역광운대,의정부인천
5:53,,5:59,
부평동두천,,부평소요산,
6:00,6:00,6:13,6:05
구로청량리,양주인천,인천양주,광운대서동탄
6:04,6:05,6:18,6:09
서울역광운대,광운대서동탄,병점광운대,양주인천
6:13,6:09,6:24,6:20
인천양주,양주인천,인천동두천,동묘앞인천
6:17,06:14급첫,6:30,6:23
병점광운대,청량리신창,병점청량리,광운대병점
06:23급첫,6:18,6:36,6:30
인천동두천,동묘앞인천,인천연천,동묘앞서동탄
6:26,6:22,6:41,6:33
병점청량리,광운대서동탄,병점청량리,소요산인천
6:30,6:27,6:49,6:38
서울역양주,동묘앞인천,인천양주,광운대병점
6:33,6:33,6:55,6:42
인천동두천,소요산인천,서동탄광운대,동묘앞인천
6:37,06:39급첫,,06:47첫
병점광운대,청량리천안,,청량리신창
6:40,6:43,,6:51
구로청량리,동묘앞인천,,양주인천
06:46첫,6:47,,6:55
인천연천,광운대병점,,광운대서동탄
6:50,6:51,,6:59
서울역양주,양주인천,,광운대천안
6:53,06:55첫,7:02,7:05
인천동두천,광운대신창,인천소요산,연천인천
6:57,6:59,7:06,7:10
서동탄광운대,동묘앞인천,천안청량리,청량리천안
7:02,7:02,7:13,7:14
인천소요산,광운대서동탄,인천양주,의정부인천
7:06,7:06,7:19,07:19급첫
천안청량리,연천인천,서동탄광운대,청량리천안
7:12,7:10,7:24,7:22
인천동두천,청량리천안,인천동두천,광운대병점
7:16,7:14,7:29,7:26
서동탄광운대,의정부인천,신창광운대,광운대신창
7:20,07:18급,7:34,7:30
인천동두천,청량리천안,인천양주,동두천인천
7:24,7:22,7:38,7:34
병점청량리,광운대병점,서동탄청량리,동묘앞서동탄
7:29,7:26,7:42,7:38
신창광운대,동두천인천,인천연천,양주인천
7:33,7:29,7:45,7:47
인천동두천,광운대신창,천안광운대,소요산인천
7:38,7:34,7:51,07:51급
서동탄청량리,의정부서동탄,인천의정부,청량리천안
7:43,7:38,7:56,7:55
인천연천,양주인천,병점청량리,광운대서동탄
7:46,7:42,8:01,8:00
천안광운대,광운대신창,인천양주,동두천인천
7:52,7:46,8:05,8:06
인천의정부,동두천인천,서동탄광운대,연천구로
7:56,07:51급,8:09,8:10
병점청량리,청량리천안,신창광운대,광운대신창
,7:55,8:13,8:15
,의정부서동탄,인천소요산,동묘앞인천
,07:59급첫,8:17,08:19급
,동두천인천,병점청량리,청량리천안
8:01,8:02,8:20,8:22
인천소요산,청량리서동탄,인천의정부,광운대서동탄
8:04,8:05,8:24,8:28
서동탄광운대,연천인천,서동탄동묘앞,동묘앞인천
8:08,8:09,8:31,8:32
인천양주,광운대신창,인천동두천,광운대신창
8:11,8:13,8:34,8:37
신창광운대,양주부평,천안청량리,동두천인천
8:14,08:17급,8:39,08:41급
인천동두천,청량리천안,서동탄광운대,청량리천안
8:18,8:20,8:44,8:46
서동탄청량리,동두천인천,인천연천,광운대서동탄
8:21,8:23,8:48,8:53
인천의정부,광운대서동탄,서동탄광운대,양주구로
8:24,8:27,8:53,8:57
천안광운대,동두천구로,신창청량리,청량리천안
08:29급,8:30,8:58,
인천동두천,양주인천,인천양주,
8:33,8:33,9:04,9:00
서동탄광운대,광운대신창,서동탄광운대,소요산인천
8:36,8:36,9:08,9:06
인천양주,연천부평,천안청량리,광운대서동탄
8:40,08:40급,9:12,9:10
서동탄동묘앞,청량리천안,인천소요산,연천인천
8:45,8:43,9:18,9:15
인천연천,동두천인천,인천광운대,청량리천안
8:48,8:45,9:21,9:18
천안청량리,광운대서동탄,천안광운대,양주인천
8:53,8:50,09:25급첫,9:23
인천의정부,양주인천,신창청량리,광운대병점
8:56,8:55,9:29,9:28
병점광운대,동두천부평,인천동두천,동두천인천
,8:58,9:34,09:32급첫
,청량리천안,서동탄동묘앞,청량리신창
9:01,9:02,9:40,9:38
인천양주,소요산인천,천안청량리,광운대서동탄
9:05,9:06,9:45,9:42
서동탄광운대,광운대서동탄,인천연천,양주구로
9:09,09:11급,9:51,9:46
신창청량리,동두천인천,서동탄광운대,청량리신창
9:12,9:18,9:55,9:51
인천소요산,광운대신창,인천의정부,소요산인천
9:19,9:24,9:59,9:57
인천동묘앞,동두천인천,신창광운대,광운대병점
9:23,9:27,10:03급,10:04
신창광운대,광운대병점,천안청량리,의정부인천
09:27급첫,9:32,10:08,10:09
신창청량리,동두천인천,인천소요산,청량리천안
9:31,09:36급,10:13,10:13
인천양주,청량리천안,천안광운대,연천인천
9:35,9:39,10:19,10:20
서동탄광운대,의정부인천,인천양주,광운대신창
9:39,9:44,10:25,10:25
인천동묘앞,광운대서동탄,서동탄광운대,양주인천
9:46,9:51,10:29,10:29
인천연천,소요산인천,인천동두천,청량리서동탄
9:51,9:55,10:34,10:36
서동탄청량리,청량리신창,신창청량리,광운대신창
9:55,,10:38,10:41
인천의정부,,인천양주,동두천인천
9:59,,10:41,10:46급
천안광운대,,천안광운대,청량리천안
10:05급,10:00,10:45,10:49
신창청량리,광운대서동탄,인천연천,광운대인천
10:09,10:05,10:50,10:54
인천소요산,의정부인천,서동탄광운대,광운대서동탄
10:13,10:10,10:54,10:59
천안광운대,청량리천안,인천의정부,소요산인천
10:18,10:14,10:59,
인천양주,연천인천,천안광운대,
10:27급,10:23,11:04급,11:03
인천동두천,광운대신창,천안청량리,광운대구로
10:31,10:27,11:08,11:08
서동탄청량리,동두천인천,인천광운대,양주인천
10:35,10:33,11:12,11:12급
인천양주,청량리서동탄,병점광운대,청량리천안
10:40,10:37,11:16,11:15
신창광운대,동두천인천,신창청량리,광운대신창
10:45,10:41,11:19,11:19
인천연천,양주구로,인천양주,연천인천
10:50,10:45급,11:22,11:25
서동탄광운대,청량리천안,서동탄광운대,광운대서동탄
10:56,10:49,11:26급,11:29
인천의정부,의정부인천,천안청량리,동두천인천
10:59급,10:55,11:31,11:33
천안청량리,광운대서동탄,인천동두천,광운대신창
,10:59,11:34,11:38
,양주서울역,천안광운대,의정부인천
11:04,11:04,11:39,11:42급
부평소요산,광운대신창,인천양주,청량리천안
11:10,11:10,11:44,11:45
인천양주,연천인천,서동탄광운대,광운대천안
11:16,11:14급,11:49급,11:50
신창광운대,청량리신창,천안청량리,양주인천
11:19,11:18,11:54,11:54
구로의정부,청량리서동탄,인천연천,청량리서동탄
11:24급,11:23,,11:58
신창청량리,동두천인천,,소요산인천
