종로5가방면,종각방면,종로5가방면,종각방면
평일,평일,주말,주말
05:27첫,05:23첫,05:27첫,05:23첫
구로동두천,광운대인천,구로동두천,광운대인천
5:31,5:30,5:31,05:30첫
서울역의정부,창동인천,서울역의정부,동묘앞서동탄
5:37,05:35첫,5:39,5:35
구로청량리,광운대서동탄,서울역양주,광운대인천
5:42,5:42,05:47첫,5:42
서울역양주,동묘앞인천,구로연천,동묘앞인천
5:47,5:47,5:52,5:47
구로동두천,동묘앞서동탄,구로청량리,광운대서동탄
5:51,5:52,5:57,5:53
서울역의정부,의정부인천,서울역광운대,의정부인천
5:55,5:58,6:01,6:03
부평동두천,양주인천,부평소요산,광운대서동탄
6:02,6:03,6:15,6:07
구로청량리,광운대서동탄,인천양주,양주인천
6:06,6:07,6:20,6:18
서울역광운대,양주인천,병점광운대,동묘앞인천
6:15,06:12급첫,6:26,6:21
인천양주,청량리신창,인천동두천,광운대병점
6:19,6:16,6:32,6:28
병점광운대,동묘앞인천,병점청량리,동묘앞서동탄
06:25급첫,6:20,6:38,6:31
인천동두천,광운대서동탄,인천연천,소요산인천
6:28,6:25,6:43,6:36
병점청량리,동묘앞인천,병점청량리,광운대병점
6:32,6:31,6:51,6:40
서울역양주,소요산인천,인천양주,동묘앞인천
6:35,06:37급첫,6:57,06:45첫
인천동두천,청량리천안,서동탄광운대,청량리신창
6:39,6:41,-,6:49
병점광운대,동묘앞인천,-,양주인천
6:42,6:45,-,6:53
구로청량리,광운대병점,-,광운대서동탄
06:48첫,6:49,-,6:57
인천연천,양주인천,-,광운대천안
6:52,06:53첫,7:04,7:03
서울역양주,광운대신창,인천소요산,연천인천
6:55,6:57,7:08,7:08
인천동두천,동묘앞인천,천안청량리,청량리천안
6:59,-,7:15,7:12
서동탄광운대,-,인천양주,의정부인천
7:04,7:00,7:21,07:17급첫
인천소요산,광운대서동탄,서동탄광운대,청량리천안
7:08,7:04,7:26,7:20
천안청량리,연천인천,인천동두천,광운대병점
7:14,7:08,7:31,7:24
인천동두천,청량리천안,신창광운대,광운대신창
7:18,7:12,7:36,7:28
서동탄광운대,의정부인천,인천양주,동두천인천
7:22,07:16급,7:40,7:32
인천동두천,청량리천안,서동탄청량리,동묘앞서동탄
7:26,7:20,7:44,7:36
병점청량리,광운대병점,인천연천,양주인천
7:31,7:24,7:47,7:45
신창광운대,동두천인천,천안광운대,소요산인천
7:35,7:27,7:53,07:49급
인천동두천,광운대신창,인천의정부,청량리천안
7:40,7:32,7:58,7:53
서동탄청량리,의정부서동탄,병점청량리,광운대서동탄
7:45,7:36,-,7:58
인천연천,양주인천,-,동두천인천
7:48,7:40,8:03,8:04
천안광운대,광운대신창,인천양주,연천구로
7:54,7:44,8:07,8:08
인천의정부,동두천인천,서동탄광운대,광운대신창
7:58,07:49급,8:11,8:13
병점청량리,청량리천안,신창광운대,동묘앞인천
-,7:53,8:15,08:17급
-,의정부서동탄,인천소요산,청량리천안
-,07:57급첫,8:19,8:20
-,동두천인천,병점청량리,광운대서동탄
8:03,8:00,8:22,8:26
인천소요산,청량리서동탄,인천의정부,동묘앞인천
8:06,8:03,8:26,8:30
서동탄광운대,연천인천,서동탄동묘앞,광운대신창
8:10,8:07,8:33,8:35
인천양주,광운대신창,인천동두천,동두천인천
8:13,8:11,8:36,08:39급
신창광운대,양주부평,천안청량리,청량리천안
8:16,08:15급,8:41,8:44
인천동두천,청량리천안,서동탄광운대,광운대서동탄
8:20,8:18,8:46,8:51
서동탄청량리,동두천인천,인천연천,양주구로
8:23,8:21,8:50,8:55
인천의정부,광운대서동탄,서동탄광운대,청량리천안
8:26,8:25,8:55,8:58
천안광운대,동두천구로,신창청량리,소요산인천
08:31급,8:28,9:00,9:04
