종로3가방면,동대문방면,종로3가방면,동대문방면,,
평일,평일,주말,주말,,
05:21첫,05:29첫,05:21첫,05:29첫,,
광운대인천,구로동두천,광운대인천,구로동두천,,
5:28,5:33,05:28첫,5:33,,
창동인천,서울역의정부,동묘앞서동탄,서울역의정부,,
05:33첫,5:39,5:33,5:41,,
광운대서동탄,구로청량리,광운대인천,서울역양주,,
5:40,5:44,5:40,05:49첫,,
동묘앞인천,서울역양주,동묘앞인천,구로연천,,
5:45,5:49,5:45,5:54,,
동묘앞서동탄,구로동두천,광운대서동탄,구로청량리,,
5:50,5:53,5:51,5:59,,
의정부인천,서울역의정부,의정부인천,서울역광운대,,
5:56,5:57,6:01,6:03,,
양주인천,부평동두천,광운대서동탄,부평소요산,,
6:01,6:04,6:05,6:17,,
광운대서동탄,구로청량리,양주인천,인천양주,,
6:05,6:08,6:16,6:22,,
양주인천,서울역광운대,동묘앞인천,병점광운대,,
06:10급첫,6:17,6:19,6:28,,
청량리신창,인천양주,광운대병점,인천동두천,,
6:14,6:21,6:26,6:34,,
동묘앞인천,병점광운대,동묘앞서동탄,병점청량리,,
6:18,06:27급첫,6:29,6:40,,
광운대서동탄,인천동두천,소요산인천,인천연천,,
6:23,6:30,6:34,6:45,,
동묘앞인천,병점청량리,광운대병점,병점청량리,,
6:29,6:34,6:38,6:53,,
소요산인천,서울역양주,동묘앞인천,인천양주,,
06:35급첫,6:37,06:43첫,6:59,,
청량리천안,인천동두천,청량리신창,서동탄광운대,,
6:39,6:41,6:47,-,,
동묘앞인천,병점광운대,양주인천,-,,
6:43,6:44,6:51,-,,
광운대병점,구로청량리,광운대서동탄,-,,
6:47,06:50첫,6:55,-,,
양주인천,인천연천,광운대천안,-,,
06:51첫,6:54,7:01,7:06,,
광운대신창,서울역양주,연천인천,인천소요산,,
6:55,6:57,7:06,7:10,,
동묘앞인천,인천동두천,청량리천안,천안청량리,,
6:58,-,7:10,7:17,,
광운대서동탄,-,의정부인천,인천양주,,
7:02,7:01,07:15급첫,7:23,,
연천인천,서동탄광운대,청량리천안,서동탄광운대,,
7:06,7:06,7:18,7:28,,
청량리천안,인천소요산,광운대병점,인천동두천,,
7:10,7:10,7:22,7:33,,
의정부인천,천안청량리,광운대신창,신창광운대,,
07:14급,7:16,7:26,7:38,,
청량리천안,인천동두천,동두천인천,인천양주,,
7:18,7:20,7:30,7:42,,
광운대병점,서동탄광운대,동묘앞서동탄,서동탄청량리,,
7:22,7:24,7:34,7:46,,
동두천인천,인천동두천,양주인천,인천연천,,
7:25,7:28,7:43,7:49,,
광운대신창,병점청량리,소요산인천,천안광운대,,
7:30,7:33,07:47급,7:55,,
의정부서동탄,신창광운대,청량리천안,인천의정부,,
7:34,7:37,7:51,-,,
양주인천,인천동두천,광운대서동탄,-,,
7:38,7:42,7:56,-,,
광운대신창,서동탄청량리,동두천인천,-,,
7:42,7:47,8:02,8:00,,
동두천인천,인천연천,연천구로,병점청량리,,
07:47급,7:50,8:06,8:05,,
청량리천안,천안광운대,광운대신창,인천양주,,
7:51,7:56,8:11,8:09,,
의정부서동탄,인천의정부,동묘앞인천,서동탄광운대,,
07:55급첫,-,08:15급,8:13,,
동두천인천,-,청량리천안,신창광운대,,
7:58,-,8:18,8:17,,
청량리서동탄,-,광운대서동탄,인천소요산,,
8:01,8:00,8:24,8:21,,
연천인천,병점청량리,동묘앞인천,병점청량리,,
8:05,8:05,8:28,8:24,,
광운대신창,인천소요산,광운대신창,인천의정부,,
8:09,8:08,8:33,8:28,,
양주부평,서동탄광운대,동두천인천,서동탄동묘앞,,
08:13급,8:12,08:37급,8:35,,
청량리천안,인천양주,청량리천안,인천동두천,,
8:16,8:15,8:42,8:38,,
동두천인천,신창광운대,광운대서동탄,천안청량리,,
8:19,8:18,8:49,8:43,,
광운대서동탄,인천동두천,양주구로,서동탄광운대,,
8:23,8:22,8:53,8:48,,
동두천구로,서동탄청량리,청량리천안,인천연천,,
8:26,8:25,8:56,8:52,,
양주인천,인천의정부,소요산인천,서동탄광운대,,
8:29,8:28,-,8:57,,
광운대신창,천안광운대,-,신창청량리,,
8:32,08:33급,9:02,9:02,,
연천부평,인천동두천,광운대서동탄,인천양주,,
08:36급,8:37,9:06,9:08,,
청량리천안,서동탄광운대,연천인천,서동탄광운대,,
8:39,8:40,9:11,9:12,,
동두천인천,인천양주,청량리천안,천안청량리,,
8:41,8:44,9:14,9:16,,
광운대서동탄,서동탄동묘앞,양주인천,인천소요산,,
8:46,8:49,9:19,9:22,,
양주인천,인천연천,광운대병점,인천광운대,,
8:51,8:52,9:24,9:25,,
동두천부평,천안청량리,동두천인천,천안광운대,,
8:54,8:57,09:28급첫,09:29급첫,,
청량리천안,인천의정부,청량리신창,신창청량리,,
8:58,-,9:34,9:33,,
소요산인천,-,광운대서동탄,인천동두천,,
9:02,9:00,9:38,9:38,,
광운대서동탄,병점광운대,양주구로,서동탄동묘앞,,
09:07급,9:05,9:42,9:44,,
동두천인천,인천양주,청량리신창,천안청량리,,
9:14,9:09,9:47,9:49,,
광운대신창,서동탄광운대,소요산인천,인천연천,,
9:20,9:13,9:53,9:55,,
동두천인천,신창청량리,광운대병점,서동탄광운대,,
9:23,9:16,-,9:59,,
광운대병점,인천소요산,-,인천의정부,,
9:28,9:23,10:00,10:03,,
동두천인천,인천동묘앞,의정부인천,신창광운대,,
09:32급,9:27,10:05,10:07급,,
청량리천안,신창광운대,청량리천안,천안청량리,,
9:35,09:31급첫,10:09,10:12,,
의정부인천,신창청량리,연천인천,인천소요산,,
9:40,9:35,10:16,10:17,,
광운대서동탄,인천양주,광운대신창,천안광운대,,
9:47,9:39,10:21,10:23,,
소요산인천,서동탄광운대,양주인천,인천양주,,
9:51,9:43,10:25,10:29,,
청량리신창,인천동묘앞,청량리서동탄,서동탄광운대,,
9:56,9:50,10:32,10:33,,
광운대서동탄,인천연천,광운대신창,인천동두천,,
-,9:55,10:37,10:38,,
-,서동탄청량리,동두천인천,신창청량리,,
-,9:59,10:42급,10:42,,
-,인천의정부,청량리천안,인천양주,,
10:01,10:03,10:45,10:45,,
의정부인천,천안광운대,광운대인천,천안광운대,,
10:06,10:09급,10:50,10:49,,
청량리천안,신창청량리,광운대서동탄,인천연천,,
10:10,10:13,10:55,10:54,,
연천인천,인천소요산,소요산인천,서동탄광운대,,
10:19,10:17,10:59,10:58,,
광운대신창,천안광운대,광운대구로,인천의정부,,
10:23,10:22,11:04,11:03,,
동두천인천,인천양주,양주인천,천안광운대,,
10:29,10:31급,11:08급,11:08급,,
