역삼방면,교대방면,역삼방면,교대방면
평일,평일,주말,주말
05:44첫,05:36첫,05:44첫,05:35첫
서울대입구성수(외선),삼성성수(내선),서울대입구성수(외선),삼성성수(내선)
5:57,5:52,5:56,5:52
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:03,6:02,6:02,6:02
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:09,6:09,6:08,6:10
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:15,6:16,6:14,6:19
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:21,6:20,6:20,6:25
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:27,6:26,6:26,6:31
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:36,6:32,6:31,6:37
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:40,6:39,6:37,6:43
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:46,6:45,6:43,6:49
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:50,6:49,6:49,6:55
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:56,6:52,6:55,-
성수성수(외선),성수성수(내선),성수성수(외선),-
-,6:59,7:01,7:01
-,성수성수(내선),성수성수(외선),성수성수(내선)
7:01,7:03,7:08,7:05
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:06,7:06,7:14,7:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:11,7:13,7:20,7:15
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:16,7:17,7:26,7:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:20,7:32,7:26
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:25,7:24,7:38,7:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:31,7:27,7:43,7:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:35,7:31,7:49,7:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:38,7:35,7:55,7:47
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:39,-,7:53
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:44,7:42,-,7:58
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:46,7:46,8:01,8:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:49,7:49,8:07,8:09
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:52,7:53,8:12,8:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:55,7:56,8:16,8:20
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:59,7:59,8:21,8:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:02,8:02,8:27,8:31
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:05,8:06,8:32,8:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:08,8:09,8:38,8:42
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:11,8:12,8:41,8:48
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:14,8:15,8:50,8:53
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:19,8:56,8:59
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:19,8:22,9:02,9:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:21,8:25,9:06,9:09
신도림성수(외선),성수성수,신도림성수(외선),성수성수(내선)
8:24,8:28,9:09,9:14
성수성수(외선),성수성수(내선),성수성수,성수성수
8:26,8:32,9:13,9:21
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:29,8:36,9:19,9:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:31,8:39,9:25,9:32
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:34,8:42,9:31,9:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
