구의방면,잠실나루방면,구의방면,잠실나루방면
평일,평일,주말,주말
05:41첫,05:36첫,05:40첫,05:36첫
삼성성수(외선),성수성수(내선),삼성성수(외선),성수성수(내선)
-,5:46,-,5:46
-,성수성수(내선),-,성수성수(내선)
-,5:53,-,5:54
-,성수성수(내선),-,성수성수(내선)
6:01,6:00,6:00,6:03
서울대입구성수(외선),성수성수(내선),서울대입구성수(외선),성수성수(내선)
6:14,6:04,6:12,6:09
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:20,6:10,6:19,6:15
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:26,6:16,6:25,6:21
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:32,6:23,6:30,6:27
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:37,6:29,6:36,6:33
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:44,6:33,6:42,6:39
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:52,6:36,6:48,6:45
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:57,6:42,6:54,6:49
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,6:46,-,6:53
-,성수성수(내선),-,성수성수(내선)
-,6:49,-,6:59
-,성수성수(내선),-,성수성수(내선)
-,6:55,7:00,7:05
-,성수성수(내선),신도림성수(외선),성수성수(내선)
-,6:59,7:06,7:10
-,성수성수(내선),성수성수(외선),성수성수(내선)
7:03,7:02,7:12,7:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:07,7:06,7:18,7:20
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:13,7:09,7:24,7:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:18,7:13,7:30,7:31
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:23,7:17,7:36,7:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:28,7:21,7:42,7:42
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:33,7:24,7:48,7:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:38,7:28,7:54,7:53
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:42,7:31,-,7:59
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:48,7:35,8:00,8:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:52,7:38,8:05,8:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:55,7:41,8:11,8:15
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:58,7:45,8:17,8:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,7:48,8:23,8:26
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:51,8:28,8:32
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:54,8:33,8:37
-,성수성수(내선),신도림성수(외선),성수성수(내선)
-,7:57,8:38,8:43
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:01,8:01,8:44,8:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:03,8:05,8:49,8:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:06,8:08,8:55,8:58
신도림성수(외선),성수성수,성수성수(외선),성수성수
8:09,8:11,8:57,-
성수성수(외선),성수성수(내선),성수성수,-
8:12,8:14,9:06,9:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:18,9:12,9:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:19,8:22,9:18,9:16
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:22,8:25,9:24,9:21
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:25,8:28,9:26,9:25
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:28,8:32,9:30,9:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:31,8:35,9:35,9:32
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:33,8:39,9:41,9:39
신도림성수(외선),성수성수,성수성수(외선),성수성수
8:36,8:42,9:47,9:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:38,8:46,9:52,9:49
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:41,8:50,9:54,9:54
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:43,8:54,9:57,-
신도림성수(외선),성수성수(내선),성수성수(외선),-
8:46,8:57,10:03,10:00
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:48,-,10:08,10:05
신도림성수(외선),-,성수성수(외선),성수성수(내선)
8:51,-,10:14,10:11
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:53,-,10:19,10:16
신도림성수(외선),-,성수성수(외선),성수성수
8:56,-,10:25,10:21
성수성수,-,성수성수(외선),성수성수(내선)
8:58,-,10:30,10:27
신도림성수(외선),-,성수성수(외선),성수성수(내선)
9:01,9:01,10:35,10:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:03,9:04,10:41,10:38
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
9:06,9:08,10:46,10:41
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:08,9:11,10:52,10:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:11,9:14,10:57,10:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:14,9:17,-,10:54
성수성수(외선),성수성수(내선),-,성수성수(내선)
9:17,09:21첫,-,10:59
성수성수(외선),성수신도림,-,성수성수(내선)
9:20,9:24,11:03,11:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:23,9:27,11:08,11:12
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
9:27,9:30,11:13,11:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:30,9:32,11:18,11:23
성수성수,성수신도림,성수성수(외선),성수성수(내선)
9:32,9:36,11:23,11:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:35,9:42,11:28,11:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:38,9:46,11:33,11:38
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:41,9:50,11:38,11:43
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:44,9:56,11:43,11:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:49,-,11:48,11:57
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:53,-,11:53,-
성수성수,-,성수성수(외선),-
9:56,-,11:58,-
성수성수(외선),-,성수성수(외선),-
10:02,10:00,12:03,12:02
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:04,10:03,12:09,12:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:07,10:07,12:17,12:11
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:09,10:13,12:23,12:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:11,10:17,12:28,12:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:14,10:21,12:33,12:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:16,10:26,12:38,12:29
성수성수,성수신도림,성수성수(외선),성수성수(내선)
10:19,10:31,12:43,12:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:21,10:35,12:48,12:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:24,10:41,12:53,12:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:28,10:45,12:58,12:54
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:32,10:48,-,12:59
성수성수(외선),성수성수(내선),-,성수성수(내선)
10:36,10:54,13:03,13:04
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:39,10:57,13:08,13:09
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:44,-,13:13,13:14
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:48,-,13:18,13:21
성수성수,-,성수성수(외선),성수성수(내선)
10:52,-,13:23,13:27
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:57,-,13:28,13:32
성수성수(외선),-,성수성수(외선),성수성수(내선)
11:02,11:00,13:33,13:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:08,11:06,13:39,13:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:14,11:13,13:46,13:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:19,11:19,13:53,13:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:26,11:26,13:58,13:55
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:32,11:32,-,13:59
성수성수(외선),성수성수(내선),-,성수성수(내선)
11:35,11:37,14:03,14:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:40,11:42,14:08,14:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:45,11:47,14:13,14:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:50,11:52,14:18,14:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:55,-,14:23,14:29
성수성수(외선),-,성수성수(외선),성수성수
12:00,12:01,14:28,14:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:04,12:07,14:33,14:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:10,12:12,14:38,14:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:15,12:18,14:43,14:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:21,12:24,14:48,14:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:27,12:30,14:53,14:58
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:32,12:36,14:58,-
성수성수(외선),성수성수(내선),성수성수(외선),-
12:38,12:42,15:03,15:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:44,12:48,15:09,15:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:49,12:55,15:16,15:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:55,-,15:23,15:17
성수성수(외선),-,성수성수(외선),성수성수(내선)
13:02,13:00,15:28,15:20첫
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
13:06,13:06,15:33,15:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:10,13:11,15:38,15:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:15,13:16,15:43,15:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
