성수방면,구의방면,성수방면,구의방면
평일,평일,주말,주말
05:45첫,05:32첫,05:44첫,05:32첫
삼성성수(외선),성수성수(내선),삼성성수(외선),성수성수(내선)
-,5:42,-,5:42
-,성수성수(내선),-,성수성수(내선)
-,5:49,-,5:50
-,성수성수(내선),-,성수성수(내선)
-,5:56,-,5:59
-,성수성수(내선),-,성수성수(내선)
6:05,6:00,6:04,6:05
서울대입구성수(외선),성수성수(내선),서울대입구성수(외선),성수성수(내선)
6:18,6:06,6:16,6:11
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:24,6:12,6:23,6:17
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:30,6:19,6:29,6:23
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:36,6:25,6:34,6:29
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:41,6:29,6:40,6:35
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:48,6:32,6:46,6:41
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:56,6:38,6:52,6:45
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
-,6:42,6:58,6:49
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,6:45,-,6:55
-,성수성수(내선),-,성수성수(내선)
-,6:51,7:04,7:01
-,성수성수(내선),신도림성수(외선),성수성수(내선)
-,6:55,7:10,7:06
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,6:58,7:16,7:11
-,성수성수(내선),성수성수(외선),성수성수(내선)
7:01,7:02,7:22,7:16
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:07,7:05,7:28,7:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:12,7:09,7:34,7:27
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:17,7:13,7:40,7:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:22,7:17,7:46,7:38
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:20,7:52,7:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:32,7:24,7:58,7:49
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:37,7:27,-,7:55
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:42,7:31,8:04,8:00
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:46,7:34,8:09,8:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:52,7:37,8:15,8:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:56,7:41,8:21,8:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:59,7:44,8:27,8:22
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,7:47,8:32,8:28
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:50,8:37,8:33
-,성수성수(내선),신도림성수(외선),성수성수(내선)
-,7:53,8:42,8:39
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:57,8:48,8:44
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:02,8:01,8:53,8:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:05,8:04,8:59,8:54
성수성수(외선),성수성수,성수성수(외선),성수성수
8:08,8:07,9:01,9:01
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:11,8:10,9:10,9:07
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:14,8:14,9:16,9:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:17,8:18,9:22,9:17
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:20,8:21,9:28,9:21
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:23,8:24,9:30,9:23
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:27,8:28,9:34,9:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:30,8:31,9:39,9:35
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수
8:33,8:35,9:45,9:39
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:35,8:38,9:51,9:45
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:38,8:42,9:56,9:50
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:40,8:46,9:58,9:56
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:43,8:50,10:01,10:01
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:45,8:53,10:07,10:07
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:48,8:57,10:12,10:12
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수
8:50,-,10:18,10:17
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:53,-,10:23,10:23
신도림성수(외선),-,성수성수(외선),성수성수(내선)
8:55,-,10:29,10:29
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:58,-,10:34,10:34
신도림성수(외선),-,성수성수(외선),성수성수(내선)
9:00,9:00,10:39,10:37
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:03,9:04,10:45,10:39
신도림성수(외선),성수성수,신도림성수(외선),성수성수(내선)
9:06,9:07,10:50,10:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:08,9:10,10:56,10:50
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:10,9:13,-,10:55
성수성수(외선),성수성수(내선),-,성수성수(내선)
9:13,09:17첫,11:01,11:01
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:15,9:20,11:07,11:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:18,9:23,11:12,11:13
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
9:21,9:26,11:17,11:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:24,9:28,11:22,11:24
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:27,9:32,11:27,11:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:31,9:38,11:32,11:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:34,9:42,11:37,11:39
성수성수,성수신도림,성수성수(외선),성수성수(내선)
9:36,9:46,11:42,11:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:39,9:52,11:47,11:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:42,9:56,11:52,11:58
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:45,9:59,11:57,-
성수성수,성수성수(내선),성수성수(외선),-
9:48,-,12:02,12:03
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:53,-,12:07,12:07
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:57,-,12:13,12:12
성수성수,-,성수성수(외선),성수성수(내선)
10:00,10:03,12:21,12:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:06,10:09,12:27,12:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:08,10:13,12:32,12:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:11,10:17,12:37,12:32
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
