강남방면,서초방면,강남방면,서초방면
평일,평일,주말,주말
05:42첫,05:38첫,05:42첫,05:37첫
서울대입구성수(외선),삼성성수(내선),서울대입구성수(외선),삼성성수(내선)
5:55,5:55,5:54,5:54
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:01,6:05,6:00,6:04
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:07,6:12,6:06,6:12
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:13,6:19,6:12,6:21
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:19,6:23,6:18,6:27
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:25,6:29,6:24,6:33
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:34,6:35,6:29,6:39
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:38,6:42,6:35,6:45
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:44,6:48,6:41,6:51
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:48,6:52,6:47,6:57
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:54,6:55,6:53,-
성수성수(외선),성수성수(내선),성수성수(외선),-
6:58,-,6:59,-
신도림성수(외선),-,성수성수(외선),-
7:03,7:01,7:06,7:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:08,7:05,7:12,7:07
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:13,7:09,7:18,7:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:18,7:15,7:24,7:17
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:22,7:19,7:30,7:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:28,7:22,7:36,7:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:32,7:26,7:41,7:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:35,7:29,7:47,7:38
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:38,7:33,7:53,7:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:37,7:59,7:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:44,7:41,-,7:55
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:47,7:44,8:05,8:00
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:50,7:48,8:10,8:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:53,7:51,8:14,8:11
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:56,7:55,8:19,8:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:59,7:58,8:25,8:22
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:03,8:01,8:30,8:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:06,8:05,8:36,8:33
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:09,8:08,8:39,8:39
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:11,8:11,8:48,8:44
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:14,8:14,8:54,8:50
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:17,-,8:55
성수성수(외선),성수성수(내선),-,성수성수(내선)
8:19,8:21,9:00,9:01
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:21,8:25,9:04,9:06
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:24,8:28,9:07,9:11
신도림성수(외선),성수성수,성수성수,성수성수(내선)
8:26,8:31,9:11,9:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
8:29,8:34,9:17,9:23
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:31,8:38,9:23,9:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:34,8:42,9:29,9:35
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:36,8:45,9:32,9:40
성수성수,성수성수(내선),신도림성수(외선),성수성수(내선)
8:39,8:48,9:35,9:43
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:42,8:52,9:39,9:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:44,8:55,9:44,9:52
