신대방방면,대림방면,신대방방면,대림방면
평일,평일,주말,주말
05:35첫,05:38첫,05:34첫,05:38첫
신도림성수(외선),서울대입구성수(내선),신도림성수(외선),서울대입구성수(내선)
5:41,5:58,5:40,5:56
신도림성수(외선),삼성성수(내선),신도림성수(외선),삼성성수(내선)
5:46,-,5:46,-
홍대입구성수(외선),-,홍대입구성수(외선),-
5:53,-,5:52,-
신도림성수(외선),-,신도림성수(외선),-
5:58,-,5:58,-
을지로입구성수(외선),-,을지로입구성수(외선),-
6:05,6:15,6:03,6:14
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:13,6:25,6:09,6:24
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:18,6:32,6:15,6:30
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:23,6:39,6:20,6:41
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:28,6:43,6:26,6:47
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:33,6:49,6:33,6:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:38,6:55,6:39,6:57
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:42,-,6:45,-
성수성수(외선),-,성수성수(외선),-
6:48,-,6:51,-
신도림성수(외선),-,성수성수(외선),-
6:52,-,6:57,-
성수성수(외선),-,성수성수(외선),-
6:57,-,7:03,7:04
신도림성수(외선),-,성수성수(외선),성수성수(내선)
7:01,7:02,7:09,7:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:07,7:08,7:15,7:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:11,7:12,7:21,7:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:14,7:15,7:27,7:27
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:17,7:22,7:33,7:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:20,7:26,7:39,7:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:23,7:29,7:44,7:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:26,7:36,7:50,7:47
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:29,7:40,7:54,7:53
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:32,7:43,7:58,7:58
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:35,7:47,8:04,8:04
