건대입구방면,강변방면,건대입구방면,강변방면
평일,평일,주말,주말
05:42첫,05:34첫,05:42첫,05:34첫
삼성성수(외선),성수성수(내선),삼성성수(외선),성수성수(내선)
,5:44,,5:44
,성수성수(내선),,성수성수(내선)
,5:51,,5:52
,성수성수(내선),,성수성수(내선)
,5:58,6:01,6:02
,성수성수(내선),서울대입구성수(외선),성수성수(내선)
6:02,6:02,6:14,6:07
서울대입구성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:15,6:08,6:20,6:13
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:21,6:14,6:26,6:19
신도림성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:28,6:21,6:32,6:25
홍대입구성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:33,6:27,6:38,6:31
신도림성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:39,6:31,6:44,6:37
을지로입구성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:45,6:34,6:50,6:43
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:54,6:41,6:56,6:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:58,6:44,,6:51
신도림성수(외선),성수성수(내선),,성수성수(내선)
,6:48,,6:57
,성수성수(내선),,성수성수(내선)
,6:54,7:02,7:03
,성수성수(내선),신도림성수(외선),성수성수(내선)
,6:58,7:08,7:08
,성수성수(내선),성수성수(외선),성수성수(내선)
7:04,7:01,7:14,7:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:09,7:05,7:20,7:19
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:14,7:08,7:26,7:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:19,7:12,7:32,7:30
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:24,7:16,7:38,7:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:29,7:20,7:44,7:41
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:34,7:23,7:50,7:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:39,7:27,7:56,7:52
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:43,7:30,,7:57
성수성수(외선),성수성수(내선),,성수성수(내선)
7:49,7:34,8:01,8:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:53,7:37,8:07,8:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:56,7:40,8:13,8:14
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:59,7:43,8:19,8:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,7:47,8:24,8:25
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:50,8:30,8:30
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:53,8:35,8:36
,성수성수(내선),신도림성수(외선),성수성수(내선)
,7:56,8:40,8:41
,성수성수(내선),성수성수(외선),성수성수(내선)
8:02,8:00,8:45,8:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:05,8:03,8:51,8:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:08,8:06,8:56,8:57
신도림성수(외선),성수성수,성수성수(외선),성수성수
8:11,8:09,8:59,
성수성수(외선),성수성수(내선),성수성수,
8:14,8:13,9:08,9:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:17,8:17,9:14,9:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:20,8:20,9:20,9:15
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:24,8:23,9:25,9:20
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:27,8:27,9:28,9:23
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:30,8:31,9:31,9:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:32,8:34,9:37,9:31
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:35,8:38,9:43,9:37
신도림성수(외선),성수성수,성수성수(외선),성수성수
8:37,8:41,9:49,9:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:40,8:45,9:53,9:47
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:42,8:49,9:56,9:53
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:45,8:53,9:59,9:58
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:47,8:56,10:04,10:04
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:50,8:59,10:10,10:09
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:52,,10:15,10:15
성수성수(외선),,성수성수(외선),성수성수
8:55,,10:20,10:19
신도림성수(외선),,성수성수(외선),성수성수(내선)
8:57,,10:26,10:26
성수성수,,성수성수(외선),성수성수(내선)
9:00,9:03,10:32,10:31
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:03,9:06,10:37,10:36
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:05,9:09,10:42,10:39
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
9:07,9:12,10:48,10:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:10,9:16,10:53,10:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:12,09:19첫,10:59,10:52
