사당방면,서울대입구방면,사당방면,서울대입구방면
평일,평일,주말,주말
05:32첫,05:48첫,05:32첫,05:46첫
서울대입구성수(외선),삼성성수(내선),서울대입구성수(외선),삼성성수(내선)
5:45,-,5:44,-
신도림성수(외선),-,신도림성수(외선),-
5:51,-,5:50,-
신도림성수(외선),-,신도림성수(외선),-
5:57,-,5:56,-
홍대입구성수(외선),-,홍대입구성수(외선),-
6:03,6:05,6:02,6:03
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:08,6:15,6:08,6:13
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:15,6:22,6:13,6:21
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:23,6:29,6:19,6:31
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:28,6:33,6:25,6:36
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:33,6:39,6:30,6:42
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:38,6:45,6:36,6:48
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:43,6:52,6:43,6:54
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:48,6:58,6:49,-
신도림성수(외선),성수성수(내선),성수성수(외선),-
6:53,-,6:55,-
성수성수(외선),-,성수성수(외선),-
6:58,-,7:01,7:00
신도림성수(외선),-,성수성수(외선),성수성수(내선)
7:03,7:02,7:07,7:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:08,7:05,7:13,7:12
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:12,7:11,7:19,7:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:18,7:15,7:25,7:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:22,7:19,7:31,7:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:25,7:25,7:37,7:32
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:28,7:29,7:43,7:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:31,7:32,7:49,7:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:33,7:36,7:54,7:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:36,7:39,-,7:53
신도림성수(외선),성수성수(내선),-,성수성수(내선)
7:39,7:43,-,7:59
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:42,7:47,8:00,8:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:46,7:51,8:04,8:10
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
