영등포구청방면,합정방면,영등포구청방면,합정방면
평일,평일,주말,주말
05:35첫,05:36첫,05:35첫,05:36첫
홍대입구성수(외선),신도림성수(내선),홍대입구성수(외선),신도림성수(내선)
5:47,5:43,5:46,5:43
을지로입구성수(외선),신도림성수(내선),을지로입구성수(외선),신도림성수(내선)
-,5:49,-,5:49
-,서울대입구성수(내선),-,서울대입구성수(내선)
-,5:56,-,5:55
-,신도림성수(내선),-,신도림성수(내선)
6:02,6:03,6:03,6:01
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:12,6:10,6:14,6:07
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:22,6:15,6:21,6:13
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:31,6:22,6:27,6:19
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:41,6:26,6:33,6:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:50,6:32,6:39,6:30
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:56,6:36,6:46,6:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,6:43,6:52,6:41
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,6:50,6:58,6:47
-,성수성수(내선),성수성수(외선),신도림성수(내선)
-,6:54,-,6:52
-,성수성수(내선),-,성수성수(내선)
-,6:57,-,6:58
-,신도림성수(내선),-,성수성수(내선)
7:00,7:00,7:04,7:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:06,7:06,7:09,7:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:09,7:10,7:15,7:15
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:11,7:13,7:22,7:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:17,7:20,7:27,7:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:20,7:24,7:33,7:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:24,7:27,7:39,7:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:30,7:30,7:46,7:43
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:36,7:33,7:52,7:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:44,7:37,7:58,7:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:49,7:41,-,7:58
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:54,7:44,8:04,8:04
