구로디지털단지방면,신도림방면,구로디지털단지방면,신도림방면
평일,평일,주말,주말
05:33첫,05:40첫,05:32첫,05:40첫
신도림성수(외선),서울대입구성수(내선),신도림성수(외선),서울대입구성수(내선)
5:39,-,5:38,5:58
신도림성수(외선),-,신도림성수(외선),삼성성수(내선)
5:44,-,5:44,-
홍대입구성수(외선),-,홍대입구성수(외선),-
5:51,-,5:50,-
신도림성수(외선),-,신도림성수(외선),-
5:56,-,5:56,-
을지로입구성수(외선),-,을지로입구성수(외선),-
6:03,6:00,6:01,6:16
신도림성수(외선),삼성성수(내선),신도림성수(외선),성수성수(내선)
6:11,6:17,6:07,6:26
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:16,6:27,6:13,6:32
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:21,6:34,6:18,6:43
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:26,6:41,6:24,6:49
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:31,6:45,6:31,6:55
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:36,6:51,6:37,6:59
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:40,6:57,6:43,-
성수성수(외선),성수성수(내선),성수성수(외선),-
6:46,-,6:49,-
신도림성수(외선),-,성수성수(외선),-
6:50,-,6:55,-
성수성수(외선),-,성수성수(외선),-
6:55,-,7:01,7:06
신도림성수(외선),-,성수성수(외선),성수성수(내선)
6:59,-,7:07,7:12
성수성수(외선),-,성수성수(외선),성수성수(내선)
7:05,7:04,7:13,7:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:09,7:10,7:19,7:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:12,7:14,7:25,7:29
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:15,7:17,7:31,7:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:18,7:24,7:37,7:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:28,7:42,7:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:24,7:31,7:48,7:49
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:38,7:52,7:55
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:30,7:42,7:56,-
성수성수(외선),성수성수(내선),성수성수(외선),-
7:33,7:45,8:02,8:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:36,7:49,8:08,8:06
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:40,7:52,8:14,8:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:43,7:56,8:18,8:17
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
7:46,-,8:25,8:22
성수성수(외선),-,성수성수(외선),성수성수(내선)
7:48,-,8:31,8:28
신도림성수(외선),-,성수성수(외선),성수성수(내선)
7:51,-,8:37,8:33
신도림성수(외선),-,성수성수(외선),성수성수(내선)
7:53,-,8:41,8:39
성수성수(외선),-,신도림성수(외선),성수성수(내선)
7:56,-,8:44,8:44
신도림성수(외선),-,성수성수,성수성수(내선)
7:58,-,8:49,8:50
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:01,8:00,8:54,8:55
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:03,8:04,9:00,9:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:06,8:07,9:06,9:06
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:08,8:11,9:09,9:12
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:11,8:14,9:12,9:17
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:13,8:18,9:17,9:23
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:21,9:22,9:28
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:19,8:24,9:27,9:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:21,8:27,9:33,9:38
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수
8:23,8:31,9:38,9:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:26,8:34,9:44,9:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:28,8:37,9:49,9:56
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:32,8:40,9:55,-
성수성수(외선),성수성수(내선),성수성수(외선),-
8:35,8:44,10:01,10:01
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:38,8:47,10:06,10:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:42,8:50,10:11,10:09
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:45,8:53,10:17,10:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:48,8:57,10:23,10:19
성수성수,성수성수(내선),성수성수(외선),성수성수
8:51,-,10:27,10:24
성수성수(외선),-,신도림성수(외선),성수성수(내선)
8:54,-,10:31,10:28
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:57,-,10:37,10:35
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:00,9:01,10:42,10:40
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:03,9:04,10:47,10:46
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:08,9:07,10:52,10:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:12,9:11,10:57,10:57
성수성수,성수성수(내선),성수성수(외선),성수성수
9:15,9:14,11:02,11:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:21,9:17,11:07,11:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:24,9:21,11:13,11:13
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:26,9:24,11:18,11:18
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:28,9:28,11:23,11:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:30,9:32,11:29,11:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:33,9:36,11:36,11:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:35,9:39,11:42,11:36
성수성수,성수성수,성수성수(외선),성수성수(내선)
9:38,9:42,11:47,11:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:40,9:45,11:52,11:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:43,9:49,11:57,11:54
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:47,9:52,-,11:59
성수성수(외선),성수성수(내선),-,성수성수(내선)
9:50,9:55,12:02,12:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:55,9:58,12:07,12:10
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:58,-,12:12,12:15
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:03,10:02첫,12:17,12:19
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:06,10:05,12:22,12:25
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:12,10:08,12:27,12:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:16,10:11,12:32,12:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:21,10:13,12:37,12:43
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:27,10:17,12:42,12:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:33,10:23,12:47,12:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:38,10:27,12:52,12:57
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:45,10:30,12:58,-
성수성수(외선),성수성수(내선),성수성수(외선),-
10:51,10:37,13:05,13:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:54,10:41,13:12,13:06
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:58,10:43,13:17,13:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,10:48,13:22,13:17
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,10:53,13:27,13:24
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,10:58,13:32,13:30
-,성수성수(내선),성수성수(외선),성수성수(내선)
11:03,11:02,13:37,13:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:08,11:07,13:42,13:40
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
11:13,11:12,13:47,13:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:18,11:16,13:52,13:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:23,11:22,13:57,13:55
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:28,11:26,14:02,14:03
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
11:34,11:29,14:07,14:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:41,11:35,14:12,14:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:46,11:38,14:17,14:19
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
11:51,11:41,14:22,14:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:57,11:47,14:28,14:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,11:53,14:35,14:31
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,11:59,14:42,14:36
-,성수성수(내선),성수성수(외선),성수성수(내선)
12:03,12:05,14:47,14:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:08,12:11,14:52,14:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:14,12:17,14:57,14:54
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:21,12:22,15:02,15:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:25,12:27,15:07,15:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:29,12:33,15:13,15:09
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수
12:34,12:42,15:17,15:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:39,12:48,15:22,15:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:44,12:53,15:27,15:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:49,12:59,15:32,15:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:54,-,15:37,15:34
성수성수(외선),-,성수성수(외선),성수성수(내선)
12:59,-,15:42,15:39
성수성수(외선),-,성수성수(외선),성수성수(내선)
13:04,13:05,15:47,15:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:10,13:11,15:52,15:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:16,13:17,15:58,15:54
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:21,13:23,-,15:59
성수성수(외선),성수성수(내선),-,성수성수(내선)
13:27,13:29,16:06,16:01첫
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
13:33,13:35,16:13,16:05
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
13:39,13:41,16:17,16:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:44,13:47,16:22,16:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:50,13:52,16:28,16:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:55,13:57,16:33,16:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:59,-,16:41,16:35
성수성수(외선),-,성수성수(외선),성수성수(내선)
14:04,14:04,16:46,16:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:09,14:12,16:52,16:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:14,14:18,16:57,16:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:19,14:23,-,16:55
성수성수(외선),성수성수(내선),-,성수성수(내선)
14:24,14:29,17:02,17:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:29,14:35,17:08,17:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:34,14:41,17:14,17:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:40,14:47,17:17,17:16
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
14:46,14:53,17:21,17:20
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
14:51,14:59,17:27,17:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:57,-,17:32,17:29
성수성수(외선),-,성수성수(외선),성수성수(내선)
15:03,15:05,17:37,17:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:09,15:11,17:42,17:38
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
15:14,15:17,17:47,17:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:20,15:22,17:53,17:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:24,15:27,17:58,17:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:29,15:33,-,17:54
성수성수(외선),성수성수(내선),-,성수성수
15:34,15:42,18:03,18:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:39,15:48,18:11,18:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:44,15:53,18:17,18:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:49,15:59,18:22,18:15
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
15:54,-,18:27,18:19
성수성수(외선),-,성수성수(외선),성수성수(내선)
15:59,-,18:33,18:24
성수성수(외선),-,성수성수(외선),성수성수(내선)
16:05,16:05,18:38,18:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:10,16:11,18:44,18:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:16,16:17,18:50,18:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:21,16:23,18:56,18:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:27,16:29,-,18:51
성수성수(외선),성수성수(내선),-,성수성수(내선)
16:33,16:35,-,18:57
