한양대방면,성수방면,한양대방면,성수방면
평일,평일,주말,주말
05:31첫,05:44첫,05:31첫,05:45첫
성수성수(외선),을지로입구성수(내선),성수성수(외선),을지로입구성수(내선)
5:40,5:56,5:41,5:55
성수성수(외선),홍대입구성수(내선),성수성수(외선),홍대입구성수(내선)
5:50,-,5:48,-
성수성수(외선),-,성수성수(외선),-
5:59,-,5:55,-
성수성수(외선),-,성수성수(외선),-
6:09,6:07,6:01,6:07
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:18,6:14,6:08,6:13
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:23,6:21,6:14,6:19
성수성수(외선),서울대입구성수(내선),성수성수(외선),서울대입구성수(내선)
6:28,6:27,6:20,6:25
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:34,6:34,6:27,6:31
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:37,6:41,6:33,6:37
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:40,6:47,6:38,6:45
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:45,6:54,6:44,6:51
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:48,6:58,6:50,6:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:53,-,6:56,-
성수성수(외선),-,성수성수(외선),-
7:00,7:04,7:02,7:01
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
7:05,7:09,7:08,7:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:11,7:16,7:14,7:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:16,7:23,7:20,7:18
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
7:21,7:27,7:26,7:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:26,7:30,7:32,7:29
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:31,7:33,7:38,7:34
성수성수,성수성수(내선),성수성수,성수성수(내선)
7:37,7:39,7:44,7:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:42,7:50,7:45
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:44,7:46,7:56,7:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:46,7:52,-,7:56
성수성수(외선),성수성수(내선),-,성수성수(내선)
