신도림방면,영등포구청방면,신도림방면,영등포구청방면
평일,평일,주말,주말
05:38첫,05:32첫,05:38첫,05:32첫
홍대입구성수(외선),신도림성수(내선),홍대입구성수(외선),신도림성수(내선)
5:50,5:39,5:50,5:39
을지로입구성수(외선),신도림성수(내선),을지로입구성수(외선),신도림성수(내선)
-,5:46,-,5:45
-,서울대입구성수(내선),-,서울대입구성수(내선)
-,5:52,-,5:51
-,신도림성수(내선),-,신도림성수(내선)
-,5:59,-,5:57
-,신도림성수(내선),-,신도림성수(내선)
6:05,6:06,6:07,6:04
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:15,6:11,6:17,6:09
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:25,6:18,6:24,6:15
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:34,6:23,6:30,6:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:44,6:28,6:37,6:26
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:53,6:33,6:43,6:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:59,6:40,6:49,6:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,6:47,6:55,6:43
-,성수성수(내선),성수성수(외선),신도림성수(내선)
-,6:51,-,6:49
-,성수성수(내선),-,성수성수(내선)
-,6:54,-,6:54
-,신도림성수(내선),-,성수성수(내선)
-,6:57,7:01,7:00
-,성수성수(내선),성수성수(외선),성수성수(내선)
7:03,7:03,7:07,7:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:09,7:06,7:13,7:12
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:12,7:10,7:19,7:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:15,7:16,7:25,7:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:20,7:31,7:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:24,7:23,7:36,7:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:26,7:42,7:40
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:34,7:30,7:50,7:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:40,7:34,7:56,7:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:47,7:37,-,7:55
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:52,7:40,8:02,8:00
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:57,7:44,8:07,8:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,7:48,8:12,8:11
-,성수성수(내선),성수성수,성수성수(내선)
-,7:51,8:19,8:17
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:55,8:25,8:22
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:58,8:31,8:28
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:02,8:02,8:38,8:34
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:07,8:06,8:43,8:39
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:13,8:10,8:48,8:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:17,8:13,8:54,8:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:20,8:17,-,8:55
성수성수(외선),성수성수(내선),-,성수성수(내선)
8:22,8:20,9:00,9:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:26,8:24,9:06,9:06
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:29,8:27,9:11,9:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:32,8:30,9:16,9:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:36,8:33,9:21,9:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:39,8:37,9:27,9:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:42,8:40,9:32,9:34
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:45,8:43,9:38,9:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:48,8:46,9:43,9:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
8:51,8:50,9:49,9:45
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
8:54,8:53,9:55,9:49
성수성수,성수성수(내선),성수신도림,성수성수(내선)
8:57,8:56,-,9:56
성수성수(외선),성수성수,-,성수성수(내선)
-,8:59,10:00,10:01
-,성수성수(내선),성수성수(외선),성수성수(내선)
9:00,9:03,10:06,10:06
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:02,9:07,10:12,10:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:06,9:10,10:18,10:15
성수성수,성수성수,성수성수(외선),성수성수(내선)
9:09,9:13,10:25,10:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:13,9:17,10:31,10:25
성수신도림,성수성수(내선),성수성수(외선),성수성수
9:15,9:20,10:35,10:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:18,9:23,10:41,10:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:20,9:27,10:46,10:41
성수성수,성수성수,성수성수(외선),성수성수(내선)
9:22,9:30,10:51,10:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:24,9:34,10:56,10:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:27,9:38,-,10:54
성수성수(외선),성수성수(내선),-,신도림성수(내선)
9:29,9:42,-,10:58
성수성수,성수성수(내선),-,성수성수(내선)
9:32,9:45,11:01,11:03
성수성수(외선),성수성수,성수성수(외선),성수성수
9:34,9:48,11:07,11:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:37,9:51,11:12,11:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:41,9:55,11:17,11:19
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:44,9:58,11:24,11:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:47,-,11:29,11:28
성수신도림,-,성수성수(외선),성수성수(내선)
9:49,-,11:35,11:31
성수성수,-,성수성수(외선),성수성수(내선)
9:52,-,11:41,11:36
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:54,-,11:46,11:42
성수신도림,-,성수성수(외선),성수성수(내선)
9:57,-,11:51,11:46
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:00,10:01,11:56,11:52
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:03,10:04,12:01,12:00
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
10:06,10:11,12:06,12:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:10,10:14,12:11,12:10
