서울대입구방면,신림방면,서울대입구방면,신림방면
평일,평일,주말,주말
05:41첫,05:31첫,05:41첫,05:31첫
신도림성수(외선),서울대입구성수(내선),신도림성수(외선),서울대입구성수(내선)
5:47,5:52,5:47,5:50
신도림성수(외선),삼성성수(내선),신도림성수(외선),삼성성수(내선)
5:53,-,5:53,-
홍대입구성수(외선),-,홍대입구성수(외선),-
5:59,-,5:58,-
신도림성수(외선),-,신도림성수(외선),-
6:05,6:08,6:04,6:07
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:11,6:18,6:09,6:17
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:20,6:25,6:15,6:25
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:24,6:32,6:21,6:34
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:30,6:36,6:27,6:40
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:34,6:42,6:33,6:46
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:40,6:48,6:39,6:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:44,6:55,6:45,6:58
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:49,-,6:52,-
성수성수(외선),-,성수성수(외선),-
6:54,-,6:58,-
신도림성수(외선),-,성수성수(외선),-
6:59,-,7:04,7:04
성수성수(외선),-,성수성수(외선),성수성수(내선)
7:04,7:01,7:10,7:10
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:08,7:05,7:16,7:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:14,7:08,7:22,7:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:18,7:15,7:27,7:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:19,7:33,7:30
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:24,7:22,7:39,7:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:29,7:45,7:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:30,7:33,7:51,7:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:33,7:36,7:56,7:51
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:36,7:40,-,7:57
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:39,7:43,8:00,8:02
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:42,7:47,8:05,8:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:45,7:51,8:11,8:13
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:49,7:55,8:16,8:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:52,7:58,8:22,8:24
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:55,-,8:26,8:30
성수성수(외선),-,성수성수,성수성수(내선)
7:57,-,8:34,8:35
신도림성수(외선),-,성수성수(외선),성수성수(내선)
8:00,8:02,8:40,8:41
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:02,8:05,8:46,8:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:05,8:09,8:50,8:52
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:07,8:12,8:53,8:57
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:10,8:15,8:57,-
신도림성수(외선),성수성수(내선),성수성수(외선),-
8:12,8:18,9:03,9:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:15,8:22,9:09,9:08
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:17,8:25,9:15,9:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:20,8:28,9:18,9:19
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:22,8:31,9:21,9:24
성수성수,성수성수(내선),성수성수,성수성수(내선)
8:25,8:35,9:25,9:29
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수
8:28,8:38,9:30,9:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:30,8:41,9:36,9:42
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:32,8:44,9:41,9:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:35,8:48,9:46,9:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:37,8:52,9:52,9:57
