종합운동장방면,선릉방면,종합운동장방면,선릉방면
평일,평일,주말,주말
05:30첫,05:30첫,05:30첫,05:30첫
삼성성수(외선),삼성성수(내선),삼성성수(외선),삼성성수(내선)
5:50,5:46,5:49,5:46
서울대입구성수(외선),성수성수(내선),서울대입구성수(외선),성수성수(내선)
-,5:56,-,5:56
-,성수성수(내선),-,성수성수(내선)
6:03,6:03,6:02,6:04
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:09,6:10,6:08,6:14
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:15,6:14,6:14,6:19
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:21,6:20,6:20,6:25
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:27,6:26,6:26,6:31
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:33,6:33,6:32,6:37
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:42,6:39,6:37,6:43
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:46,6:43,6:43,6:49
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:52,6:46,6:49,6:55
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:56,6:53,6:55,6:59
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,6:56,7:01,7:03
-,성수성수(내선),성수성수(외선),성수성수(내선)
7:02,7:00,7:07,7:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:07,7:06,7:14,7:15
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:12,7:10,7:20,7:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:17,7:13,7:26,7:25
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:22,7:17,7:32,7:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:20,7:38,7:36
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:31,7:24,7:44,7:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:37,7:28,7:49,7:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:32,7:55,7:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:44,7:35,-,7:58
신도림성수(외선),성수성수(내선),-,성수성수(내선)
7:47,7:39,8:01,8:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:50,7:42,8:07,8:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:52,7:46,8:12,8:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:55,7:49,8:18,8:20
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:58,7:52,8:22,8:26
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
-,7:56,8:27,8:31
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:59,8:33,8:37
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:01,8:02,8:38,8:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:05,8:05,8:44,8:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:08,8:08,8:47,8:53
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:11,8:12,8:56,8:59
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:14,8:16,9:02,9:04
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:17,8:19,9:08,9:09
성수성수(외선),성수성수,성수성수(외선),성수성수
8:20,8:22,9:12,9:15
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
