신당방면,왕십리방면,신당방면,왕십리방면
평일,평일,주말,주말
05:37첫,05:39첫,05:37첫,05:38첫
성수성수(외선),을지로입구성수(내선),성수성수(외선),을지로입구성수(내선)
5:46,5:50,5:47,5:50
성수성수(외선),홍대입구성수(내선),성수성수(외선),홍대입구성수(내선)
5:56,,5:54,
성수성수(외선),,성수성수(외선),
6:05,6:02,6:00,6:01
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:15,6:09,6:07,6:08
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:24,6:15,6:13,6:14
성수성수(외선),서울대입구성수(내선),성수성수(외선),서울대입구성수(내선)
6:29,6:22,6:20,6:20
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:34,6:29,6:26,6:26
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:40,6:36,6:32,6:31
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:43,6:41,6:38,6:39
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:45,6:48,6:44,6:45
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:51,6:52,6:50,6:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:54,6:58,6:56,6:55
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:59,,7:02,7:01
성수성수(외선),,성수성수(외선),성수성수(내선)
7:05,7:03,7:08,7:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:10,7:10,7:14,7:12
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
7:17,7:17,7:20,7:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:22,7:21,7:26,7:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:24,7:32,7:29
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:32,7:27,7:38,7:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:37,7:33,7:44,7:40
성수성수,성수성수(내선),성수성수,성수성수(내선)
7:43,7:36,7:50,7:46
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:47,7:40,7:56,7:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:50,7:46,,7:56
성수성수(외선),성수성수(내선),,성수성수(내선)
7:52,7:50,8:02,8:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
