낙성대방면,봉천방면,낙성대방면,봉천방면
평일,평일,주말,주말
05:30첫,05:30첫,05:30첫,05:30첫
서울대입구성수(외선),서울대입구성수(내선),서울대입구성수(외선),서울대입구성수(내선)
5:43,5:50,5:42,5:48
신도림성수(외선),삼성성수(내선),신도림성수(외선),삼성성수(내선)
5:49,,5:48,
신도림성수(외선),,신도림성수(외선),
5:55,,5:54,
홍대입구성수(외선),,홍대입구성수(외선),
6:01,6:07,6:00,6:05
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:06,6:17,6:06,6:15
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:13,6:24,6:11,6:23
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:21,6:31,6:17,6:33
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:26,6:35,6:23,6:38
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:31,6:41,6:28,6:44
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:36,6:47,6:34,6:50
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:41,6:54,6:41,6:56
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:46,,6:47,
신도림성수(외선),,성수성수(외선),
6:51,,6:53,
성수성수(외선),,성수성수(외선),
6:56,,6:59,
신도림성수(외선),,성수성수(외선),
7:01,7:00,7:05,7:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:06,7:04,7:11,7:08
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:10,7:07,7:17,7:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:16,7:13,7:23,7:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:20,7:17,7:29,7:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:23,7:21,7:35,7:28
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:26,7:27,7:41,7:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:29,7:31,7:47,7:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:31,7:34,7:52,7:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:34,7:38,7:58,7:50
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:37,7:41,,7:55
성수성수(외선),성수성수(내선),,성수성수(내선)
7:40,7:45,8:02,8:01
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:44,7:49,8:06,8:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:47,7:53,8:12,8:12
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:50,7:56,8:18,8:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:53,,8:24,8:23
신도림성수(외선),,성수성수(외선),성수성수(내선)
7:56,,8:28,8:28
성수성수(외선),,성수성수,성수성수(내선)
7:59,,8:35,8:34
신도림성수(외선),,성수성수(외선),성수성수(내선)
8:01,8:00,8:41,8:39
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:04,8:03,8:47,8:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:06,8:07,8:51,8:50
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
