삼성방면,역삼방면,삼성방면,역삼방면
평일,평일,주말,주말
05:48첫,05:32첫,05:47첫,05:32첫
서울대입구성수(외선),삼성성수(내선),서울대입구성수(외선),삼성성수(내선)
,5:49,,5:48
,성수성수(내선),,성수성수(내선)
,5:59,,5:58
,성수성수(내선),,성수성수(내선)
6:01,6:06,6:00,6:06
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:07,6:13,6:06,6:16
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:13,6:17,6:12,6:21
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:19,6:23,6:18,6:27
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:25,6:29,6:24,6:33
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:31,6:36,6:30,6:39
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:40,6:42,6:35,6:45
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:44,6:46,6:41,6:51
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:50,6:49,6:47,6:57
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:54,6:55,6:53,
신도림성수(외선),성수성수(내선),성수성수(외선),
,6:59,6:59,
,성수성수(내선),성수성수(외선),
7:00,7:02,7:05,7:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:05,7:09,7:12,7:05
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:10,7:13,7:18,7:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:15,7:16,7:24,7:17
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:20,7:20,7:30,7:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:25,7:23,7:36,7:27
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:29,7:27,7:42,7:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:35,7:31,7:47,7:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:39,7:35,7:53,7:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:42,7:38,7:59,7:49
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:45,7:42,,7:55
성수성수(외선),성수성수(내선),,성수성수(내선)
7:48,7:45,8:05,8:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:50,7:49,8:10,8:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:53,7:52,8:16,8:11
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:56,7:55,8:20,8:17
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:59,7:58,8:25,8:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:03,8:02,8:31,8:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:06,8:05,8:36,8:33
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:09,8:08,8:42,8:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:12,8:11,8:45,8:44
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:15,8:15,8:54,8:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:18,8:18,,8:55
신도림성수(외선),성수성수(내선),,성수성수(내선)
8:20,8:21,9:00,9:01
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:23,8:24,9:06,9:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:25,8:28,9:10,9:11
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수
8:28,8:32,9:13,9:17
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:30,8:35,9:17,9:23
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:33,8:38,9:23,9:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:35,8:42,9:29,9:34
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:38,8:46,9:35,9:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:40,8:49,9:38,9:40
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:43,8:53,9:41,9:46
성수성수,성수성수,성수성수,성수성수(내선)
8:45,8:56,9:45,9:51
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수
8:48,,9:50,9:56
성수성수(외선),,성수성수(외선),성수성수(내선)
8:50,,9:56,
신도림성수(외선),,성수성수(외선),
8:53,,10:01,10:02
성수성수(외선),,성수성수(외선),성수성수(내선)
8:55,,10:06,10:07
성수성수(외선),,성수성수(외선),성수성수(내선)
8:58,,10:12,10:12
성수성수(외선),,성수성수(외선),성수성수(내선)
9:02,9:00,10:18,10:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:04,9:04,10:23,10:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:07,9:08,10:28,10:29
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수
9:11,9:11,10:34,10:34
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:14,9:14,10:39,10:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:17,9:17,10:45,10:46
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:20,9:21,10:50,10:51
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:22,9:24,10:55,10:54
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
9:25,9:27,,10:56
성수성수(외선),성수성수(내선),,성수성수(내선)
9:28,9:30,11:00,11:02
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:31,09:34첫,11:05,11:07
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:37,9:37,11:10,11:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:41,9:40,11:15,11:18
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:44,9:43,11:21,11:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:50,9:45,11:26,11:31
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:52,9:49,11:31,11:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:54,9:55,11:36,11:41
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:56,9:59,11:41,11:47
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:59,,11:46,11:51
성수성수(외선),,성수성수(외선),성수성수(내선)
10:01,10:03,11:51,11:56
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:04,10:09,11:57,
성수성수,성수성수(내선),성수성수(외선),
10:06,10:13,12:04,12:04
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:09,10:16,12:10,12:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:11,10:20,12:15,12:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:16,10:26,12:21,12:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:20,10:30,12:26,12:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:24,10:34,12:31,12:29
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:26,10:39,12:36,12:33
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:32,10:44,12:41,12:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:35,10:48,12:46,12:42
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:40,10:54,12:51,12:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:45,10:58,12:56,12:56
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:50,,13:01,13:02
성수성수(외선),,성수성수(외선),성수성수(내선)
10:55,,13:06,13:07
성수성수(외선),,성수성수(외선),성수성수(내선)
11:01,11:01,13:11,13:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:07,11:07,13:16,13:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:13,11:10,13:21,13:22
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
11:19,11:13,13:27,13:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:22,11:19,13:34,13:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:27,11:26,13:41,13:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:32,11:32,13:46,13:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:37,11:38,13:51,13:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:42,11:44,13:56,13:55
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:47,11:50,,13:59
성수성수(외선),성수성수(내선),,성수성수(내선)
11:51,11:55,14:01,14:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:57,,14:06,14:08
성수성수(외선),,성수성수(외선),성수성수(내선)
12:02,12:00,14:11,14:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:09,12:05,14:16,14:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:15,12:14,14:21,14:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:20,12:20,14:26,14:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:26,12:25,14:31,14:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:32,12:31,14:36,14:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
12:37,12:37,14:41,14:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:43,12:43,14:46,14:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:49,12:49,14:51,14:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:54,12:55,14:57,
성수성수(외선),성수성수(내선),성수성수(외선),
12:58,,15:04,15:01
성수성수(외선),,성수성수(외선),성수성수(내선)
13:03,13:01,15:11,15:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:08,13:08,15:16,15:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:12,13:13,15:21,15:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:18,13:19,15:26,15:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:23,13:24,15:31,15:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:28,13:29,15:36,15:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:33,13:36,15:41,15:33첫
성수성수(외선),성수성수(내선),신도림성수(외선),성수신도림
13:39,13:44,15:46,15:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:45,13:50,15:51,15:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:50,13:55,15:56,15:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:56,,,15:56
성수성수(외선),,,성수성수(내선)
14:02,14:01,16:01,16:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:08,14:07,16:06,16:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:13,14:13,16:11,16:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:19,14:19,16:16,16:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:23,14:25,16:21,16:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:28,14:31,16:27,16:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:33,14:37,16:35,16:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:38,14:43,16:41,16:37
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
14:43,14:49,16:46,16:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:48,14:54,16:51,16:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:53,14:59,16:56,16:52
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
14:58,,,16:56
성수성수(외선),,,성수성수(내선)
15:03,15:05,17:01,17:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:09,15:14,17:08,17:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:15,15:20,17:14,17:10
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
15:20,15:25,17:21,17:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:26,15:31,17:26,17:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:32,15:37,17:31,17:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:38,15:43,17:36,17:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
15:43,15:49,17:42,17:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:48,15:55,17:46,17:37
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
15:52,,17:49,17:42
성수성수(외선),,성수성수(외선),성수성수(내선)
15:58,,17:55,17:47
성수성수(외선),,성수성수(외선),성수신도림
16:03,16:01,,17:51
성수성수(외선),성수성수(내선),,성수성수(내선)
16:08,16:07,,17:56
성수성수(외선),성수성수(내선),,성수성수(내선)
16:12,16:13,18:00,18:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:18,16:19,18:05,18:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:23,16:24,18:11,18:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:27,16:30,18:16,18:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:33,16:35,18:21,18:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:38,16:40,18:26,18:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:45,16:44,18:32,18:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:50,16:50,18:39,18:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
16:56,16:55,18:45,18:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:02,17:01,18:50,18:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:05,17:04,18:56,18:57
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:08,17:07,19:01,19:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:13,17:13,19:07,19:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:18,17:19,19:13,19:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:22,17:25,19:19,19:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:25,17:30,19:25,19:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:29,17:33,19:30,19:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:33,17:38,19:36,19:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:38,17:43,19:42,19:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:42,17:46,19:48,19:46
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
17:45,17:49,19:51,19:52
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
17:49,17:54,19:55,19:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:53,17:56,20:01,20:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:57,,20:07,20:09
성수성수(외선),,성수성수(외선),성수성수(내선)
18:01,18:00,20:13,20:14
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:04,18:03,20:19,20:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:08,18:06,20:25,20:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:12,18:10,20:31,20:31
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
18:16,18:14,20:37,20:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:20,18:17,20:43,20:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:23,18:20,20:49,20:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:26,18:24,20:55,20:54
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:32,18:28,21:01,21:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:35,18:31,21:07,21:05
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
18:38,18:33,21:13,21:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:41,18:35,21:19,21:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:44,18:37,21:25,21:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:48,18:40,21:31,21:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:52,18:44,21:37,21:33
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
18:55,18:49,21:43,21:38
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
18:59,18:52,21:49,21:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,18:55,21:55,21:51
,성수성수(내선),성수성수(외선),성수성수(내선)
,18:58,,21:58
,성수성수(내선),,성수성수(내선)
19:03,19:01,22:01,22:04
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
19:08,19:04,22:08,22:10
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
19:12,19:08,22:14,22:17
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
19:15,19:13,22:19,22:24
성수성수(외선),성수성수(내선),성수성수,성수성수
19:19,19:16,22:22,22:31막
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
19:23,19:19,22:29,22:39
성수성수(외선),성수신도림,성수성수(외선),성수신도림
19:27,19:21,22:36,22:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
19:31,19:24,22:41,22:51막
성수성수(외선),성수성수,성수성수,성수성수
19:34,19:26,22:50,22:59
성수성수,성수성수(내선),성수성수(외선),성수신도림
19:37,19:30,22:57,
성수성수(외선),성수성수(내선),성수성수(외선),
19:42,19:33,23:05,23:07막
성수성수(외선),성수성수(내선),성수성수(외선),성수을지로입구
19:46,19:37,23:14,23:14
성수성수(외선),성수성수,성수성수(외선),성수신도림
19:50,19:40,23:23막,23:21막
성수성수,성수성수(내선),성수성수(외선),성수홍대입구
19:53,19:44,23:29,23:29막
성수성수(외선),성수성수(내선),성수성수,성수신도림
,19:47,23:35,23:41막
,성수성수(내선),성수성수,성수서울대입구
,19:50,23:42막,
,성수성수,성수성수,
,19:54,23:58막,
,성수성수(내선),성수삼성,
,19:58,,
,성수성수(내선),,
20:01,20:01,,
성수성수,성수성수,,
20:05,20:04,,
성수성수(외선),성수성수(내선),,
20:11,20:07,,
성수성수(외선),성수신도림,,
20:14,20:11,,
성수성수(외선),성수성수(내선),,
20:22,20:16,,
성수성수(외선),성수성수,,
20:25,20:21,,
성수성수(외선),성수성수(내선),,
20:33,20:25,,
성수성수(외선),성수신도림,,
20:38,20:28,,
성수성수(외선),성수성수(내선),,
20:42,20:32,,
성수성수(외선),성수성수(내선),,
20:45,20:38,,
성수성수(외선),성수성수(내선),,
20:49,20:43,,
성수성수(외선),성수성수(내선),,
20:56,20:48,,
성수성수(외선),성수성수(내선),,
,20:52,,
,성수신도림,,
,20:56,,
,성수성수(내선),,
21:02,21:00,,
성수성수(외선),성수성수(내선),,
21:07,21:05,,
성수성수(외선),성수성수(내선),,
21:12,21:10,,
성수성수(외선),성수성수(내선),,
21:17,21:14,,
성수성수(외선),성수성수,,
21:24,21:18,,
성수성수(외선),성수성수(내선),,
21:34,21:23,,
성수성수(외선),성수성수(내선),,
21:41,21:29,,
성수성수(외선),성수성수(내선),,
21:48,21:35,,
성수성수(외선),성수성수(내선),,
21:56,21:42,,
성수성수(외선),성수성수(내선),,
,21:51,,
,성수성수(내선),,
,21:58,,
,성수성수(내선),,
22:03,22:03,,
성수성수(외선),성수성수(내선),,
22:08,22:09,,
성수성수(외선),성수성수(내선),,
22:16,22:14,,
성수성수(외선),성수성수(내선),,
22:26,22:19,,
성수성수(외선),성수성수(내선),,
22:32,22:25,,
성수성수(외선),성수성수(내선),,
22:37,22:30,,
성수성수(외선),성수신도림,,
