뚝섬/용답방면,건대입구방면,뚝섬/용답방면,건대입구방면
평일,평일,주말,주말
05:30첫,05:30첫,05:28첫,05:30첫
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
05:30첫,5:40,5:30,5:40
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
5:39,5:47,5:40,5:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
5:43,5:54,5:42,5:57
성수신설동,성수성수(내선),성수신설동,성수성수(내선)
5:49,5:58,5:47,
성수성수(외선),성수성수(내선),성수성수(외선),
5:58,,5:53,
성수성수(외선),,성수성수(외선),
5:59,,5:57,
성수신설동,,성수신설동,
6:08,6:04,6:00,6:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:14,6:10,6:06,6:09
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
6:17,6:17,6:12,6:15
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
6:22,6:23,6:13,6:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:27,6:27,6:19,6:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:30,6:30,6:25,6:33
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
6:33,6:36,6:27,6:39
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
6:36,6:40,6:31,6:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:38,6:43,6:37,6:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:44,6:49,6:42,6:53
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
6:46,6:53,6:43,6:59
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
6:47,6:56,6:49,
성수성수(외선),성수성수(내선),성수성수(외선),
6:52,,6:55,
성수성수(외선),,성수성수(외선),
6:58,,6:57,
성수신설동,,성수신설동,
6:58,,7:01,7:04
성수성수(외선),,성수성수(외선),성수성수(내선)
7:03,7:00,7:07,7:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:10,7:03,7:13,7:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:10,7:07,7:13,7:20
성수신설동,성수성수(내선),성수신설동,성수성수(내선)
7:15,7:11,7:19,7:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:18,7:15,7:25,7:31
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
7:20,7:18,7:27,7:36
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
7:25,7:22,7:31,7:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:28,7:25,7:37,7:47
성수신설동,성수성수(내선),성수성수,성수성수(내선)
7:30,7:29,7:39,7:53
성수성수,성수성수(내선),성수신설동,성수성수(내선)
7:35,7:32,7:43,7:58
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
7:35,7:35,7:48,
성수성수(외선),성수성수(내선),성수신설동,
7:40,7:38,7:49,
성수성수(외선),성수성수(내선),성수성수(외선),
7:42,7:42,7:55,
성수신설동,성수성수(내선),성수성수(외선),
7:42,7:45,7:59,
성수성수(외선),성수성수(내선),성수신설동,
7:45,7:48,8:01,8:04
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
7:49,7:51,8:06,8:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:49,7:55,8:09,8:15
성수신설동,성수성수(내선),성수신설동,성수성수(내선)
7:52,7:58,8:12,8:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:55,,8:18,8:26
성수성수(외선),,성수성수(외선),성수성수(내선)
7:58,,8:20,8:31
성수신설동,,성수신설동,성수성수(내선)
7:59,,8:24,8:37
성수성수(외선),,성수성수(외선),성수성수(내선)
8:02,8:01,8:29,8:42
성수성수(외선),성수성수,성수신설동,성수성수(내선)
8:05,8:04,8:29,8:47
성수성수,성수성수(내선),성수성수,성수성수(내선)
8:05,8:08,8:35,8:52
성수신설동,성수성수(내선),성수성수(외선),성수성수
8:08,8:12,8:40,8:59
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:10,8:15,8:40,
성수성수(외선),성수성수,성수신설동,
8:12,8:18,8:45,
성수신설동,성수성수(내선),성수성수(외선),
8:13,8:22,8:50,
성수성수(외선),성수성수(내선),성수신설동,
8:16,8:26,8:50,
성수성수,성수성수(내선),성수성수(외선),
8:19,8:29,8:56,
성수신설동,성수성수(내선),성수성수(외선),
8:19,8:33,9:00,9:05
성수성수(외선),성수성수,성수신설동,성수성수(내선)
8:22,8:36,9:01,9:10
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
8:25,8:40,9:07,9:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:28,8:44,9:09,9:19
성수신설동,성수성수(내선),성수신설동,성수성수(내선)
8:29,8:48,9:13,9:21
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:32,8:51,9:19,9:26
성수성수(외선),성수성수,성수신도림,성수성수(내선)
8:35,8:55,9:20,9:33
성수신도림,성수성수(내선),성수신설동,성수성수
8:36,8:58,9:25,9:37
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
8:38,,9:29,9:43
성수성수(외선),,성수신설동,성수성수(내선)
8:40,,9:30,9:48
성수성수(외선),,성수성수(외선),성수성수(내선)
8:43,,9:36,9:54
성수성수,,성수성수(외선),성수성수(내선)
8:44,,9:38,9:59
성수신설동,,성수신설동,성수성수(내선)
8:45,,9:43,
성수성수(외선),,성수성수(외선),
8:48,,9:48,
성수성수(외선),,성수성수(외선),
8:50,,9:48,
성수성수(외선),,성수신설동,
8:53,,9:54,
성수성수,,성수성수(외선),
8:54,,9:58,
성수신설동,,성수성수(외선),
8:55,,9:59,
성수성수(외선),,성수신설동,
8:58,,10:04,10:05
성수성수(외선),,성수성수(외선),성수성수(내선)
9:00,9:02,10:09,10:10
성수성수(외선),성수성수,성수신설동,성수성수
9:05,9:05,10:09,10:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:06,9:08,10:15,10:21
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
9:08,9:11,10:20,10:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:10,09:15첫,10:21,10:32
성수신도림,성수신도림,성수신설동,성수성수(내선)
9:13,9:18,10:25,10:35
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:15,9:21,10:31,10:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:16,9:24,10:32,10:42
성수신설동,성수성수(내선),성수신설동,성수성수(내선)
9:18,9:26,10:37,10:48
성수신도림,성수신도림,성수성수(외선),성수성수(내선)
9:21,9:30,10:42,10:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:23,9:36,10:43,10:59
성수성수,성수성수(내선),성수신설동,성수성수(내선)
9:26,9:40,10:48,
성수신설동,성수신도림,성수성수(외선),
9:26,9:44,10:52,
성수신도림,성수성수(내선),성수신설동,
9:30,9:50,10:53,
성수성수(외선),성수성수(내선),성수성수(외선),
9:34,9:54,10:58,
성수성수(외선),성수신도림,성수성수(외선),
9:35,9:57,11:04,11:05
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
9:39,,11:04,11:11
성수성수(외선),,성수신설동,성수성수(내선)
9:41,,11:09,11:17
성수신도림,,성수성수(외선),성수성수(내선)
9:44,,11:13,11:22
성수성수(외선),,성수신설동,성수성수(내선)
9:46,,11:15,11:28
성수신설동,,성수성수(외선),성수성수(내선)
9:50,,11:20,11:32
성수성수(외선),,성수성수(외선),성수성수(내선)
9:56,,11:24,11:37
성수성수(외선),,성수신설동,성수성수(내선)
9:58,,11:25,11:45
성수신설동,,성수성수(외선),성수성수(내선)
10:02,10:01,11:30,11:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:08,10:07,11:34,11:56
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
10:09,10:11,11:35,
성수신설동,성수성수(내선),성수성수(외선),
10:11,10:15,11:40,
성수성수(외선),성수성수(내선),성수성수(외선),
10:15,10:20,11:45,
성수성수(외선),성수신도림,성수성수(외선),
10:18,10:25,11:45,
성수신도림,성수성수(내선),성수신설동,
10:18,10:29,11:50,
성수신설동,성수성수(내선),성수성수(외선),
10:20,10:35,11:54,
성수성수(외선),성수성수(내선),성수신설동,
10:25,10:39,11:55,
성수성수(외선),성수신도림,성수성수(외선),
10:27,10:42,12:00,12:01
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
10:28,10:48,12:05,12:05
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
10:30,10:51,12:05,12:10
성수성수(외선),성수신도림,성수신설동,성수성수(내선)
10:35,10:54,12:10,12:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:39,,12:15,12:19
성수신설동,,성수신설동,성수성수(내선)
10:40,,12:16,12:23
성수성수(외선),,성수성수(외선),성수성수(내선)
10:45,,12:23,12:30
성수성수(외선),,성수성수(외선),성수성수(내선)
10:50,,12:26,12:37
성수신설동,,성수신설동,성수성수(내선)
10:51,,12:30,12:43
성수성수(외선),,성수성수(외선),성수성수(내선)
10:59,,12:35,12:48
성수성수(외선),,성수성수(외선),성수성수(내선)
10:59,,12:35,12:53
성수신설동,,성수신설동,성수성수(내선)
11:04,11:00,12:40,12:58
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:09,11:07,12:45,
성수성수(외선),성수성수(내선),성수성수(외선),
11:10,11:13,12:46,
성수신설동,성수성수(내선),성수신설동,
11:15,11:20,12:50,
성수성수(외선),성수성수(내선),성수성수(외선),
11:20,11:26,12:55,
성수신설동,성수성수(내선),성수성수(외선),
11:21,11:31,12:56,
성수성수(외선),성수성수(내선),성수신설동,
11:26,11:36,13:00,13:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:31,11:41,13:05,13:08
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
11:32,11:46,13:07,13:15
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
11:38,11:55,13:10,13:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:40,,13:15,13:26
성수신설동,,성수성수(외선),성수성수(내선)
11:43,,13:16,13:31
성수성수(외선),,성수신설동,성수성수(내선)
11:47,,13:20,13:35
성수성수(외선),,성수성수(외선),성수성수(내선)
11:51,,13:25,13:40
성수신설동,,성수성수(외선),성수성수(내선)
11:52,,13:27,13:44
성수성수(외선),,성수신설동,성수성수(내선)
11:57,,13:30,13:49
성수성수(외선),,성수성수(외선),성수성수(내선)
12:01,12:01,13:35,13:53
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
12:02,12:06,13:37,
성수성수(외선),성수성수(내선),성수신설동,
12:07,12:12,13:40,
성수성수(외선),성수성수(내선),성수성수(외선),
12:12,12:18,13:46,
성수성수(외선),성수성수(내선),성수성수(외선),
12:12,12:24,13:48,
성수신설동,성수성수(내선),성수신설동,
12:17,12:30,13:53,
성수성수(외선),성수성수(내선),성수성수(외선),
12:21,12:36,13:57,
성수신설동,성수성수(내선),성수신설동,
12:22,12:42,14:00,14:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:28,12:49,14:05,14:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:32,12:54,14:08,14:13
성수신설동,성수성수(내선),성수신설동,성수성수(내선)
12:34,,14:10,14:18
성수성수(외선),,성수성수(외선),성수성수(내선)
12:39,,14:15,14:23
성수성수(외선),,성수성수(외선),성수성수
12:42,,14:18,14:28
성수신설동,,성수신설동,성수성수(내선)
12:45,,14:20,14:33
성수성수(외선),,성수성수(외선),성수성수(내선)
12:51,,14:25,14:38
