동대문역사문화공원방면,상왕십리방면,동대문역사문화공원방면,상왕십리방면
평일,평일,주말,주말
05:38첫,05:37첫,05:38첫,05:37첫
성수성수(외선),을지로입구성수(내선),성수성수(외선),을지로입구성수(내선)
5:47,5:49,5:49,5:48
성수성수(외선),홍대입구성수(내선),성수성수(외선),홍대입구성수(내선)
5:57,-,5:56,-
성수성수(외선),-,성수성수(외선),-
6:06,6:00,6:02,6:00
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:16,6:07,6:08,6:06
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:25,6:14,6:15,6:12
성수성수(외선),서울대입구성수(내선),성수성수(외선),서울대입구성수(내선)
6:31,6:20,6:21,6:18
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:35,6:27,6:27,6:24
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:41,6:34,6:34,6:30
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:44,6:39,6:40,6:38
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:47,6:46,6:45,6:44
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:52,6:51,6:51,6:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:55,6:56,6:57,6:54
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
7:00,7:01,-,6:59
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:07,7:08,7:03,7:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:12,7:15,7:09,7:11
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
7:19,7:19,7:15,7:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:24,7:22,7:21,7:22
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:29,7:25,7:27,7:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:34,7:31,7:33,7:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:39,7:35,7:39,7:39
성수성수,신도림성수(내선),성수성수(외선),성수성수(내선)
