대림방면,문래/도림천방면,대림방면,문래/도림천방면
평일,평일,주말,주말
05:30첫,05:30첫,05:30첫,05:30첫
신도림성수(외선),신도림성수(내선),신도림성수(외선),신도림성수(내선)
5:36,05:30첫,5:36,05:30첫
신도림성수(외선),신도림까치산,신도림성수(외선),신도림까치산
5:41,5:37,5:41,5:37
홍대입구성수(외선),신도림성수(내선),홍대입구성수(외선),신도림성수(내선)
5:48,5:43,5:47,5:43
신도림성수(외선),서울대입구성수(내선),신도림성수(외선),서울대입구성수(내선)
5:53,5:46,5:53,5:46
을지로입구성수(외선),신도림까치산,을지로입구성수(외선),신도림까치산
-,5:50,5:58,5:49
-,신도림성수(내선),신도림성수(외선),신도림성수(내선)
-,5:57,-,5:55
-,신도림성수(내선),-,신도림성수(내선)
6:00,6:00,-,5:59
신도림성수(외선),신도림까치산,-,신도림까치산
6:08,6:04,6:04,6:01
성수성수(외선),삼성성수(내선),신도림성수(외선),삼성성수(내선)
6:13,6:09,6:10,6:07
신도림성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:18,6:15,6:15,6:13
성수성수(외선),신도림까치산,신도림성수(외선),신도림성수(내선)
6:23,6:16,6:20,6:15
신도림성수(외선),신도림성수(내선),성수성수(외선),신도림까치산
6:28,6:20,6:27,6:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:33,6:26,6:33,6:24
신도림성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:37,6:30,6:40,6:29
성수성수(외선),신도림까치산,성수성수(외선),성수성수(내선)
6:43,6:30,6:46,6:30
신도림성수(외선),성수성수(내선),성수성수(외선),신도림까치산
6:47,6:37,6:52,6:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:52,6:44,6:58,6:41
신도림성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
6:56,6:45,-,6:45
성수성수(외선),신도림까치산,-,신도림까치산
-,6:48,-,6:46
-,성수성수(내선),-,성수성수(내선)
-,6:51,-,6:52
-,신도림성수(내선),-,성수성수(내선)
-,6:54,-,6:54
-,신도림까치산,-,신도림까치산
-,6:54,-,6:58
-,성수성수(내선),-,성수성수(내선)
7:02,7:00,7:04,7:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:06,7:04,7:10,7:04
성수성수(외선),신도림성수(내선),성수성수(외선),신도림까치산
7:09,7:04,7:16,7:09
신도림성수(외선),신도림까치산,성수성수(외선),성수성수(내선)
7:12,7:07,7:22,7:13
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
7:15,7:13,7:28,7:15
성수성수(외선),신도림까치산,성수성수(외선),성수성수(내선)
7:18,7:14,7:34,7:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:18,7:39,7:23
신도림성수(외선),성수성수(내선),성수성수(외선),신도림까치산
7:24,7:21,7:45,7:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:23,7:49,7:32
성수성수(외선),신도림까치산,신도림성수(외선),신도림까치산
7:30,7:24,7:53,7:32
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:33,7:27,7:59,7:38
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:37,7:31,-,7:42
성수성수(외선),성수성수(내선),-,신도림까치산
7:40,7:32,-,7:42
신도림성수(외선),신도림까치산,-,성수성수(내선)
7:43,7:35,-,7:47
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:45,7:38,-,7:52
신도림성수(외선),신도림성수(내선),-,성수성수(내선)
7:48,7:41,-,7:53
신도림성수(외선),성수성수(내선),-,신도림까치산
7:50,7:42,-,7:58
성수성수(외선),신도림까치산,-,성수성수(내선)
7:53,7:45,8:05,8:02
신도림성수(외선),성수성수(내선),성수성수(외선),신도림까치산
7:55,7:48,8:10,8:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:58,7:52,8:15,8:09
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
-,7:53,8:22,8:12
-,신도림까치산,성수성수(외선),신도림까치산
-,7:55,8:28,8:14
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:59,8:34,8:20
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:00,8:02,8:38,8:21
성수성수(외선),신도림까치산,신도림성수(외선),신도림까치산
8:03,8:03,8:41,8:25
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:05,8:07,8:46,8:31
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
8:08,8:10,8:51,8:31
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:10,8:12,8:57,8:36
성수성수,신도림까치산,성수성수(외선),성수성수(내선)
8:13,8:14,-,8:41
신도림성수(외선),성수성수(내선),-,신도림까치산
8:16,8:17,-,8:42
성수성수(외선),성수성수(내선),-,성수성수(내선)
8:18,8:21,-,8:47
신도림성수(외선),신도림까치산,-,성수성수(내선)
8:20,8:21,-,8:50
성수성수(외선),성수성수(내선),-,신도림까치산
8:23,8:24,-,8:53
성수성수(외선),성수성수(내선),-,성수성수(내선)
8:25,8:27,-,8:58
성수성수(외선),성수성수(내선),-,성수성수(내선)
8:29,8:31,9:03,9:00
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
8:32,8:31,9:06,9:04
성수성수(외선),신도림까치산,신도림성수(외선),성수성수(내선)
8:35,8:34,9:09,9:09
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:39,8:37,9:14,9:10
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
8:42,8:40,9:19,9:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:45,8:41,9:24,9:19
성수성수,신도림까치산,성수성수(외선),신도림까치산
8:48,8:43,9:30,9:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:51,8:47,9:35,9:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:54,8:50,9:41,9:29
성수성수(외선),신도림까치산,성수성수(외선),신도림까치산
8:57,8:51,9:46,9:31
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
-,8:54,9:52,9:36
-,성수성수,성수성수(외선),성수성수(내선)
-,8:57,9:59,9:39
-,성수성수(내선),신도림성수(외선),신도림까치산
9:00,9:00,-,9:41
성수성수(외선),신도림까치산,-,성수성수
9:05,9:00,-,9:43
성수성수(외선),성수성수(내선),-,신도림성수(내선)
9:09,9:04,-,9:47
성수성수,성수성수(내선),-,성수성수(내선)
9:12,9:08,-,9:49
성수성수(외선),성수성수,-,신도림까치산
9:18,9:10,-,9:53
성수성수(외선),신도림까치산,-,성수성수(내선)
9:21,9:11,-,9:58
성수성수(외선),성수성수(내선),-,신도림까치산
9:23,9:14,-,9:59
성수성수,성수성수(내선),-,성수성수(내선)
9:25,9:18,10:03,10:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:27,9:19,10:08,10:09
성수성수(외선),신도림까치산,성수성수(외선),성수성수(내선)
9:30,9:21,10:14,10:10
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
9:32,9:24,10:20,10:13
성수성수,성수성수,성수성수(외선),성수성수(내선)
9:35,9:27,10:24,10:18
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
9:37,9:29,10:28,10:20
성수성수(외선),신도림까치산,성수성수(외선),신도림까치산
9:40,9:31,10:34,10:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:44,9:35,10:38,10:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:47,9:39,10:44,10:30
성수성수(외선),신도림까치산,성수성수(외선),신도림까치산
9:52,9:39,10:49,10:32
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:55,9:42,10:54,10:38
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
-,9:45,10:59,10:39
-,성수성수(내선),성수성수(외선),신도림까치산
-,9:49,-,10:43
-,성수성수(내선),-,성수성수(내선)
-,9:49,-,10:49
-,신도림까치산,-,성수성수(내선)
-,9:52,-,10:50
-,성수성수,-,신도림까치산
-,9:55,-,10:52
-,성수성수(내선),-,신도림성수(내선)
-,9:58,-,10:56
-,신도림까치산,-,성수성수(내선)
-,9:58,11:04,11:00
-,성수성수(내선),성수성수(외선),신도림까치산
10:00,10:02,11:10,11:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
10:03,10:08,11:15,11:06
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:09,10:10,11:20,11:10
성수성수(외선),신도림까치산,성수성수(외선),신도림까치산
10:13,10:11,11:27,11:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:18,10:14,11:32,11:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:24,10:20,11:38,11:19
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
10:30,10:21,11:44,11:22
성수성수(외선),신도림까치산,성수성수(외선),성수성수(내선)
10:35,10:27,11:49,11:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:42,10:30,11:54,11:29
성수성수(외선),신도림까치산,성수성수(외선),성수성수(내선)
10:48,10:34,11:59,11:29
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
10:51,10:39,-,11:34
성수성수(외선),신도림까치산,-,성수성수(내선)
10:55,10:40,-,11:39
성수성수(외선),성수성수(내선),-,신도림까치산
-,10:47,-,11:39
-,성수성수(내선),-,성수성수(내선)
-,10:50,-,11:44
-,신도림까치산,-,성수성수(내선)
-,10:51,-,11:49
-,성수성수(내선),-,성수성수(내선)
-,10:57,-,11:50
-,성수성수(내선),-,신도림까치산
11:00,11:00,-,11:57
성수성수(외선),신도림까치산,-,성수성수(내선)
11:05,11:01,12:04,12:00
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
11:10,11:06,12:09,12:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:15,11:10,12:14,12:08
