홍대입구방면,이대방면,홍대입구방면,이대방면
평일,평일,주말,주말
05:39첫,05:32첫,05:39첫,05:32첫
을지로입구성수(외선),홍대입구성수(내선),을지로입구성수(외선),홍대입구성수(내선)
5:54,5:44,5:55,5:44
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
,5:51,,5:50
,신도림성수(내선),,신도림성수(내선)
,5:57,,5:56
,서울대입구성수(내선),,서울대입구성수(내선)
6:04,6:04,6:06,6:02
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:14,6:11,6:13,6:08
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:23,6:18,6:19,6:14
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:33,6:23,6:25,6:21
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:42,6:30,6:31,6:27
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:48,6:34,6:38,6:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:52,6:40,6:44,6:38
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:58,6:44,6:50,6:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,6:51,6:56,6:49
,성수성수(내선),성수성수(외선),성수성수(내선)
,6:58,,6:55
,성수성수(내선),,신도림성수(내선)
7:01,7:02,7:02,7:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:03,7:05,7:08,7:06
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:09,7:08,7:14,7:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:12,7:14,7:20,7:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:16,7:18,7:25,7:23
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:23,7:21,7:31,7:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:29,7:28,7:38,7:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:36,7:32,7:44,7:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:35,7:50,7:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:46,7:38,7:56,7:50
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:51,7:41,,7:56
성수성수(외선),성수성수(내선),,성수성수(내선)
7:56,7:45,8:01,8:01
성수성수,성수성수(내선),성수성수,성수성수(내선)
,7:49,8:08,8:06
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:52,8:14,8:12
,신도림성수(내선),성수성수(외선),성수성수(내선)
,7:55,8:20,8:17
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:59,8:26,8:23
,성수성수(내선),성수성수,성수성수(내선)
8:01,8:02,8:31,8:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:06,8:06,8:37,8:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:08,8:09,8:43,8:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:11,8:13,8:49,8:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:15,8:17,8:55,8:50
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:18,8:21,8:59,8:56
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:21,8:24,9:04,9:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:25,8:28,9:10,9:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:28,8:31,9:15,9:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:31,8:35,9:20,9:18
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:34,8:38,9:26,9:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:36,8:41,9:32,9:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:39,8:45,9:37,9:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:42,8:48,9:43,9:40
성수성수,성수성수(내선),성수신도림,성수성수(내선)
8:45,8:51,9:49,9:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:48,8:54,9:55,9:50
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
8:51,8:57,,9:54
성수성수(외선),성수성수(내선),,성수성수
8:55,,,9:56
성수성수,,,신도림성수(내선)
8:58,,10:01,10:01
성수성수(외선),,성수성수(외선),성수성수(내선)
9:01,9:01,10:07,10:06
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:04,9:05,10:13,10:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:06,9:08,10:19,10:17
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:08,9:11,10:24,10:22
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:10,9:14,10:29,10:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:13,9:18,10:34,10:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:15,9:22,10:40,10:36
성수성수(외선),성수성수,성수성수(외선),성수성수
9:18,9:25,10:45,10:41
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:20,9:28,10:50,10:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:23,9:31,10:56,10:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:25,9:35,,10:57
성수성수(외선),성수성수(내선),,성수성수(내선)
9:30,9:38,11:01,11:02
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:33,9:41,11:06,11:05
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
9:35,9:45,11:13,11:10
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:38,9:49,11:18,11:14
성수성수,성수성수(내선),성수성수(외선),성수성수
9:40,9:53,11:24,11:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:43,9:56,11:29,11:25
성수신도림,성수성수,성수성수(외선),성수성수(내선)
9:46,9:59,11:34,11:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:48,,11:40,11:35
성수성수,,성수성수(외선),성수성수(내선)
9:51,,11:45,11:40
성수신도림,,성수성수(외선),성수성수(내선)
9:55,,11:50,11:43
성수성수(외선),,성수성수(외선),성수성수(내선)
9:59,,11:55,11:48
성수성수(외선),,성수성수(외선),성수성수(내선)
10:04,10:03,,11:53
성수성수(외선),성수성수(내선),,성수성수(내선)
10:06,10:06,,11:58
성수신도림,성수성수,,성수성수(내선)
10:09,10:09,12:00,12:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:15,10:12,12:05,12:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:21,10:15,12:10,12:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:27,10:22,12:15,12:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:33,10:25,12:20,12:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:36,10:28,12:25,12:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:40,10:34,12:30,12:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:43,10:41,12:35,12:42
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
10:46,10:47,12:41,12:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:51,10:54,12:48,12:55
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:53,,12:55,
성수신도림,,성수성수(외선),
10:56,,13:00,13:00
성수성수(외선),,성수성수(외선),성수성수(내선)
11:01,11:00,13:05,13:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:05,11:05,13:10,13:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:11,11:10,13:15,13:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:16,11:15,13:20,13:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:24,11:20,13:25,13:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:29,11:30,13:30,13:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:34,11:34,13:35,13:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:40,11:40,13:40,13:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:46,11:46,13:45,13:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:51,11:52,13:50,13:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:57,11:58,13:55,13:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:03,12:04,14:00,14:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:08,12:10,14:05,14:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:12,12:16,14:11,14:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:17,12:22,14:18,14:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:22,12:28,14:25,14:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:27,12:34,14:30,14:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:32,12:39,14:35,14:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:37,12:44,14:40,14:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:42,12:51,14:45,14:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:47,,14:50,14:49
성수성수(외선),,성수성수(외선),성수성수(내선)
12:53,,14:54,14:53
성수성수(외선),,성수신도림,성수성수(내선)
