선릉방면,강남방면,선릉방면,강남방면
평일,평일,주말,주말
05:46첫,05:34첫,05:45첫,05:34첫
서울대입구성수(외선),삼성성수(내선),서울대입구성수(외선),삼성성수(내선)
5:59,5:51,5:58,5:50
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:05,6:01,6:04,6:00
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:11,6:08,6:10,6:08
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:17,6:15,6:15,6:18
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:22,6:19,6:21,6:23
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:29,6:25,6:27,6:29
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:37,6:31,6:33,6:35
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:42,6:38,6:39,6:41
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:47,6:44,6:44,6:47
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:52,6:48,6:50,6:53
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:57,6:51,6:57,6:59
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,6:57,7:03,7:03
,성수성수(내선),성수성수(외선),성수성수(내선)
7:02,7:01,7:09,7:07
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:07,7:04,7:15,7:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:12,7:11,7:21,7:19
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:17,7:15,7:27,7:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:22,7:18,7:33,7:29
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:26,7:22,7:39,7:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:32,7:25,7:45,7:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:36,7:29,7:51,7:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:39,7:33,7:57,7:51
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:42,7:37,,7:57
성수성수(외선),성수성수(내선),,성수성수(내선)
7:45,7:40,8:02,8:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:48,7:44,8:08,8:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:51,7:47,8:14,8:13
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:54,7:51,8:18,8:19
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:57,7:54,8:22,8:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,7:57,8:28,8:30
,성수성수(내선),성수성수(외선),성수성수(내선)
8:00,8:00,8:34,8:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:03,8:04,8:40,8:41
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:07,8:07,8:43,8:46
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:10,8:10,8:51,8:52
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:13,8:13,8:57,8:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:15,8:17,9:03,9:03
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:18,8:20,9:08,9:08
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:20,8:23,9:10,9:13
성수성수(외선),성수성수,성수성수,성수성수
8:23,8:26,9:15,9:19
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:25,8:30,9:20,9:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:28,8:34,9:26,9:31
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:30,8:37,9:32,9:36
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:33,8:40,9:36,9:40
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:35,8:44,9:38,9:42
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:38,8:48,9:43,9:48
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:40,8:51,9:48,9:53
성수성수,성수성수(내선),성수성수(외선),성수성수
8:43,8:55,9:53,9:58
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:46,8:58,9:59,
성수성수(외선),성수성수(내선),성수성수(외선),
8:48,,10:04,10:04
신도림성수(외선),,성수성수(외선),성수성수(내선)
8:50,,10:10,10:09
성수성수(외선),,성수성수(외선),성수성수(내선)
8:53,,10:15,10:14
성수성수(외선),,성수성수(외선),성수성수(내선)
8:55,,10:21,10:20
성수성수(외선),,성수성수(외선),성수성수(내선)
8:59,,10:26,10:26
성수성수(외선),,신도림성수(외선),성수성수(내선)
9:02,9:02,10:32,10:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:05,9:06,10:37,10:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:09,9:10,10:43,10:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:12,9:13,10:48,10:48
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:15,9:16,10:53,10:53
성수성수,성수성수(내선),신도림성수(외선),성수성수(내선)
9:17,9:19,10:57,10:56
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:20,9:23,,10:58
성수성수(외선),성수성수,,성수성수(내선)
9:23,9:26,11:03,11:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:26,9:29,11:08,11:09
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
