신답방면,성수방면,신답방면,성수방면
평일,평일,주말,주말
05:33첫,05:36첫,05:31첫,05:36첫
성수신설동,신설동성수,성수신설동,신설동성수
5:46,5:53,5:45,5:51
성수신설동,신설동성수,성수신설동,신설동성수
6:02,6:08,6:00,6:06
성수신설동,신설동성수,성수신설동,신설동성수
6:17,6:23,6:15,6:21
성수신설동,신설동성수,성수신설동,신설동성수
6:33,6:39,6:30,6:36
성수신설동,신설동성수,성수신설동,신설동성수
6:49,6:51,6:45,6:51
성수신설동,신설동성수,성수신설동,신설동성수
7:01,7:01,7:00,7:06
성수신설동,신설동성수,성수신설동,신설동성수
7:13,7:12,7:16,7:21
성수신설동,신설동성수,성수신설동,신설동성수
7:21,7:22,7:30,7:32
성수신설동,신설동성수,성수신설동,신설동성수
7:31,7:29,7:42,7:42
성수신설동,신설동성수,성수신설동,신설동성수
7:38,7:36,7:51,7:52
성수신설동,신설동성수,성수신설동,신설동성수
7:45,7:43,8:02,8:03
성수신설동,신설동성수,성수신설동,신설동성수
7:52,7:52,8:12,8:13
성수신설동,신설동성수,성수신설동,신설동성수
-,7:59,8:23,8:23
-,신설동성수,성수신설동,신설동성수
8:01,8:06,8:32,8:33
성수신설동,신설동성수,성수신설동,신설동성수
8:08,8:13,8:43,8:44
성수신설동,신설동성수,성수신설동,신설동성수
8:15,8:22,8:53,8:54
성수신설동,신설동성수,성수신설동,신설동성수
8:22,8:29,9:03,9:03
성수신설동,신설동성수,성수신설동,신설동성수
8:31,8:38,9:12,9:13
성수신설동,신설동성수,성수신설동,신설동성수
8:39,8:47,9:23,9:23
성수신설동,신설동성수,성수신설동,신설동성수
8:47,-,9:32,9:32
성수신설동,-,성수신설동,신설동성수
8:57,-,9:41,9:42
성수신설동,-,성수신설동,신설동성수
9:09,9:00,9:51,9:52
성수신설동,신설동성수,성수신설동,신설동성수
9:19,9:09,10:02,10:03
성수신설동,신설동성수,성수신설동,신설동성수
9:29,9:19,10:12,10:14
성수신설동,신설동성수,성수신설동,신설동성수
9:38,9:29,10:24,10:25
성수신설동,신설동성수,성수신설동,신설동성수
9:49,9:39,10:35,10:36
성수신설동,신설동성수,성수신설동,신설동성수
-,9:52,10:46,10:46
-,신설동성수,성수신설동,신설동성수
10:01,10:02,10:55,10:57
성수신설동,신설동성수,성수신설동,신설동성수
10:12,10:12,11:07,11:07
성수신설동,신설동성수,성수신설동,신설동성수
10:21,10:21,11:16,11:17
성수신설동,신설동성수,성수신설동,신설동성수
10:30,10:33,11:27,11:28
성수신설동,신설동성수,성수신설동,신설동성수
10:42,10:43,11:37,11:38
성수신설동,신설동성수,성수신설동,신설동성수
10:53,10:53,11:48,11:48
성수신설동,신설동성수,성수신설동,신설동성수
11:02,11:03,11:57,11:58
성수신설동,신설동성수,성수신설동,신설동성수
11:13,11:14,12:08,12:09
성수신설동,신설동성수,성수신설동,신설동성수
11:23,11:24,12:18,12:19
성수신설동,신설동성수,성수신설동,신설동성수
11:34,11:34,12:29,12:29
성수신설동,신설동성수,성수신설동,신설동성수
11:43,11:44,12:38,12:39
성수신설동,신설동성수,성수신설동,신설동성수
11:54,11:55,12:49,12:50
성수신설동,신설동성수,성수신설동,신설동성수
12:04,12:05,12:59,-
성수신설동,신설동성수,성수신설동,-
12:15,12:15,13:10,13:00
성수신설동,신설동성수,성수신설동,신설동성수
12:24,12:25,13:19,13:10
성수신설동,신설동성수,성수신설동,신설동성수
12:35,12:36,13:30,13:20
성수신설동,신설동성수,성수신설동,신설동성수
12:45,12:46,13:40,13:31
성수신설동,신설동성수,성수신설동,신설동성수
12:56,12:56,13:51,13:41
성수신설동,신설동성수,성수신설동,신설동성수
13:05,13:06,-,13:51
성수신설동,신설동성수,-,신설동성수
13:16,13:17,14:00,14:01
성수신설동,신설동성수,성수신설동,신설동성수
13:26,13:27,14:11,14:12
성수신설동,신설동성수,성수신설동,신설동성수
13:37,13:37,14:21,14:22
성수신설동,신설동성수,성수신설동,신설동성수
13:46,13:47,14:32,14:32
성수신설동,신설동성수,성수신설동,신설동성수
13:57,13:58,14:41,14:42
성수신설동,신설동성수,성수신설동,신설동성수
14:07,14:08,14:52,14:53
성수신설동,신설동성수,성수신설동,신설동성수
14:18,14:18,15:02,15:03
성수신설동,신설동성수,성수신설동,신설동성수
14:27,14:28,15:13,15:13
성수신설동,신설동성수,성수신설동,신설동성수
14:38,14:39,15:22,15:23
성수신설동,신설동성수,성수신설동,신설동성수
14:48,14:49,15:33,15:33
성수신설동,신설동성수,성수신설동,신설동성수
14:59,14:59,15:42,15:43
성수신설동,신설동성수,성수신설동,신설동성수
15:08,15:09,15:52,15:52
성수신설동,신설동성수,성수신설동,신설동성수
15:19,15:20,16:01,16:02
성수신설동,신설동성수,성수신설동,신설동성수
15:29,15:30,16:11,16:13
성수신설동,신설동성수,성수신설동,신설동성수
15:40,15:40,16:22,16:23
성수신설동,신설동성수,성수신설동,신설동성수
15:49,15:50,16:33,16:34
성수신설동,신설동성수,성수신설동,신설동성수
16:00,16:01,16:43,16:44
성수신설동,신설동성수,성수신설동,신설동성수
16:10,16:11,16:55,16:55
성수신설동,신설동성수,성수신설동,신설동성수
16:21,16:21,17:05,17:06
성수신설동,신설동성수,성수신설동,신설동성수
16:30,16:32,17:16,17:16
성수신설동,신설동성수,성수신설동,신설동성수
16:41,16:44,17:25,17:26
성수신설동,신설동성수,성수신설동,신설동성수
16:53,16:55,17:36,17:37
성수신설동,신설동성수,성수신설동,신설동성수
17:06,17:06,17:46,17:47
성수신설동,신설동성수,성수신설동,신설동성수
17:15,17:17,17:57,17:57
성수신설동,신설동성수,성수신설동,신설동성수
17:27,17:29,18:06,18:07
성수신설동,신설동성수,성수신설동,신설동성수
17:38,17:40,18:17,18:18
성수신설동,신설동성수,성수신설동,신설동성수
17:49,17:50,18:27,18:28
성수신설동,신설동성수,성수신설동,신설동성수
17:59,-,18:38,18:38
성수신설동,-,성수신설동,신설동성수
18:11,18:00,18:47,18:48
성수신설동,신설동성수,성수신설동,신설동성수
18:19,18:10,18:58,18:59
성수신설동,신설동성수,성수신설동,신설동성수
18:29,18:20,19:08,19:09
성수신설동,신설동성수,성수신설동,신설동성수
18:36,18:27,19:19,19:19
성수신설동,신설동성수,성수신설동,신설동성수
18:43,18:34,19:28,19:29
성수신설동,신설동성수,성수신설동,신설동성수
18:50,18:41,19:39,19:40
성수신설동,신설동성수,성수신설동,신설동성수
18:59,18:50,19:49,19:50
성수신설동,신설동성수,성수신설동,신설동성수
-,18:57,20:00,20:00
-,신설동성수,성수신설동,신설동성수
19:06,19:04,20:09,20:10
성수신설동,신설동성수,성수신설동,신설동성수
19:13,19:11,20:20,20:21
성수신설동,신설동성수,성수신설동,신설동성수
19:20,19:20,20:30,20:31
성수신설동,신설동성수,성수신설동,신설동성수
19:29,19:27,20:41,20:41
성수신설동,신설동성수,성수신설동,신설동성수
19:36,19:37,20:50,20:51
성수신설동,신설동성수,성수신설동,신설동성수
19:46,19:45,21:01,21:02
성수신설동,신설동성수,성수신설동,신설동성수
19:55,19:57,21:11,21:12
성수신설동,신설동성수,성수신설동,신설동성수
20:07,20:08,21:22,21:22
성수신설동,신설동성수,성수신설동,신설동성수
20:18,20:19,21:31,21:32
성수신설동,신설동성수,성수신설동,신설동성수
20:29,20:28,21:42,21:43
성수신설동,신설동성수,성수신설동,신설동성수
20:38,20:38,21:52,21:53
성수신설동,신설동성수,성수신설동,신설동성수
20:47,20:49,22:03,22:03
성수신설동,신설동성수,성수신설동,신설동성수
-,20:59,22:13,22:15
-,신설동성수,성수신설동,신설동성수
21:00,21:11,22:25,22:27
성수신설동,신설동성수,성수신설동,신설동성수
21:11,21:23,22:37,22:39
성수신설동,신설동성수,성수신설동,신설동성수
21:21,21:33,22:49,22:51
성수신설동,신설동성수,성수신설동,신설동성수
21:33,21:44,23:01,23:01
성수신설동,신설동성수,성수신설동,신설동성수
21:44,21:55,23:12,23:13
성수신설동,신설동성수,성수신설동,신설동성수
21:54,-,23:23,23:25
성수신설동,-,성수신설동,신설동성수
22:05,22:05,23:34,23:35
성수신설동,신설동성수,성수신설동,신설동성수
22:15,22:16,23:44,23:45
성수신설동,신설동성수,성수신설동,신설동성수
22:26,22:29,23:54막,23:57막
성수신설동,신설동성수,성수신설동,신설동성수
22:38,22:37,-,-
성수신설동,신설동성수,-,-
22:47,22:48,-,-
성수신설동,신설동성수,-,-
22:58,22:59,-,-
성수신설동,신설동성수,-,-
23:09,23:09,-,-
성수신설동,신설동성수,-,-
23:19,23:19,-,-
성수신설동,신설동성수,-,-
23:30,23:30,-,-
성수신설동,신설동성수,-,-
23:41,23:44,-,-
성수신설동,신설동성수,-,-
23:53,23:56,-,-
성수신설동,신설동성수,-,-
0:07,0:13,-,-
성수신설동,신설동성수,-,-
0:23,0:28,-,-
성수신설동,신설동성수,-,-
0:38,0:42,-,-
성수신설동,신설동성수,-,-
00:54막,00:57막,-,-
성수신설동,신설동성수,-,-
