신설동방면,신답방면,신설동방면,신답방면
평일,평일,주말,주말
05:37첫,05:32첫,05:35첫,05:32첫
성수신설동,신설동성수,성수신설동,신설동성수
5:50,5:49,5:49,5:47
성수신설동,신설동성수,성수신설동,신설동성수
6:06,6:04,6:04,6:02
성수신설동,신설동성수,성수신설동,신설동성수
6:21,6:19,6:19,6:17
성수신설동,신설동성수,성수신설동,신설동성수
6:37,6:35,6:34,6:32
성수신설동,신설동성수,성수신설동,신설동성수
6:53,6:47,6:49,6:47
성수신설동,신설동성수,성수신설동,신설동성수
-,6:57,7:04,7:02
-,신설동성수,성수신설동,신설동성수
7:05,7:08,7:20,7:17
성수신설동,신설동성수,성수신설동,신설동성수
7:17,7:18,7:34,7:28
성수신설동,신설동성수,성수신설동,신설동성수
7:25,7:25,7:46,7:38
성수신설동,신설동성수,성수신설동,신설동성수
7:35,7:32,7:55,7:48
성수신설동,신설동성수,성수신설동,신설동성수
7:42,7:39,-,7:59
성수신설동,신설동성수,-,신설동성수
7:49,7:48,8:06,8:09
성수신설동,신설동성수,성수신설동,신설동성수
7:56,7:55,8:16,8:19
성수신설동,신설동성수,성수신설동,신설동성수
8:05,8:02,8:27,8:29
성수신설동,신설동성수,성수신설동,신설동성수
8:12,8:09,8:36,8:40
성수신설동,신설동성수,성수신설동,신설동성수
8:19,8:18,8:47,8:50
성수신설동,신설동성수,성수신설동,신설동성수
8:26,8:25,8:57,8:59
성수신설동,신설동성수,성수신설동,신설동성수
8:35,8:34,9:07,9:09
성수신설동,신설동성수,성수신설동,신설동성수
8:43,8:43,9:16,9:19
성수신설동,신설동성수,성수신설동,신설동성수
8:51,8:56,9:27,9:28
성수신설동,신설동성수,성수신설동,신설동성수
9:01,9:05,9:36,9:38
성수신설동,신설동성수,성수신설동,신설동성수
9:13,9:15,9:45,9:48
성수신설동,신설동성수,성수신설동,신설동성수
9:23,9:25,9:55,9:59
성수신설동,신설동성수,성수신설동,신설동성수
9:33,9:35,10:06,10:10
성수신설동,신설동성수,성수신설동,신설동성수
9:42,9:48,10:16,10:21
성수신설동,신설동성수,성수신설동,신설동성수
9:53,9:58,10:28,10:32
성수신설동,신설동성수,성수신설동,신설동성수
10:05,10:08,10:39,10:42
성수신설동,신설동성수,성수신설동,신설동성수
10:16,10:17,10:50,10:53
성수신설동,신설동성수,성수신설동,신설동성수
10:25,10:29,10:59,-
성수신설동,신설동성수,성수신설동,-
10:34,10:39,11:11,11:03
성수신설동,신설동성수,성수신설동,신설동성수
10:46,10:49,11:20,11:13
성수신설동,신설동성수,성수신설동,신설동성수
10:57,10:59,11:31,11:24
성수신설동,신설동성수,성수신설동,신설동성수
