시청방면,을지로3가방면,시청방면,을지로3가방면
평일,평일,주말,주말
05:30첫,05:30첫,05:30첫,05:30첫
을지로입구성수(외선),을지로입구성수(내선),을지로입구성수(외선),을지로입구성수(내선)
5:45,5:41,5:46,5:41
성수성수(외선),홍대입구성수(내선),성수성수(외선),홍대입구성수(내선)
5:55,5:53,5:56,5:53
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:05,6:00,,5:59
성수성수(외선),신도림성수(내선),,신도림성수(내선)
6:14,6:06,6:03,6:05
성수성수(외선),서울대입구성수(내선),성수성수(외선),서울대입구성수(내선)
6:24,6:13,6:09,6:11
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:33,6:20,6:16,6:17
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:38,6:27,6:22,6:23
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:43,6:32,6:29,6:30
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:49,6:39,6:35,6:36
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:52,6:43,6:41,6:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:54,6:49,6:47,6:47
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
,6:54,6:53,6:52
,성수성수(내선),성수성수(외선),성수성수(내선)
7:00,7:01,6:59,6:58
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:03,7:08,7:05,7:04
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
7:07,7:12,7:11,7:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:14,7:15,7:16,7:15
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:19,7:18,7:22,7:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:26,7:24,7:29,7:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:31,7:27,7:35,7:32
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:36,7:31,7:41,7:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:37,7:47,7:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:46,7:41,7:52,7:48
성수성수,성수성수(내선),성수성수,성수성수(내선)
7:52,7:44,7:59,7:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:56,7:47,,7:59
성수성수(외선),신도림성수(내선),,성수성수(내선)
7:59,7:51,8:05,8:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,7:55,8:11,8:10
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:58,8:17,8:15
,성수성수(내선),성수성수,성수성수(내선)
8:01,8:01,8:22,8:21
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
8:05,8:05,8:28,8:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:08,8:09,8:34,8:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:11,8:12,8:40,8:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:15,8:16,8:45,8:43
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:18,8:19,8:50,8:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:21,8:23,8:55,8:54
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:24,8:27,,8:59
성수성수(외선),성수성수(내선),,성수성수(내선)
8:27,8:31,9:01,9:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:30,8:34,9:06,9:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:33,8:38,9:11,9:16
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:36,8:41,9:17,9:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:39,8:45,9:23,9:27
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
8:41,8:48,9:28,9:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:45,8:51,9:34,9:38
성수성수,성수성수(내선),성수신도림,성수성수(내선)
8:48,8:54,9:40,9:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:52,8:58,9:46,9:49
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
8:54,,9:52,9:54
성수성수(외선),,성수성수(외선),성수성수(내선)
8:57,,9:58,9:59
성수성수(외선),,성수성수(외선),성수성수(내선)
8:59,,10:04,10:03
성수성수,,성수성수(외선),성수성수
9:01,9:01,10:10,10:05
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
9:04,9:04,10:14,10:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:06,9:07,10:20,10:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:09,9:10,10:25,10:21
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:11,9:14,10:31,10:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:14,9:17,10:36,10:31
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:16,9:20,10:41,10:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:21,9:23,10:47,10:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:24,9:27,10:52,10:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:26,9:31,10:57,10:50
성수신도림,성수성수,성수성수(외선),성수성수(내선)
9:29,9:34,,10:55
성수성수,성수성수(내선),,성수성수(내선)
9:31,9:37,11:04,11:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:34,9:40,11:09,11:06
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:37,9:44,11:14,11:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:39,9:47,11:20,11:15
성수성수,성수성수,성수성수(외선),신도림성수(내선)
9:42,9:50,11:25,11:19
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:46,9:54,11:31,11:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:50,9:58,11:36,11:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:55,,11:41,11:34
성수성수(외선),,성수성수(외선),성수성수(내선)
9:57,,11:46,11:39
성수신도림,,성수성수(외선),성수성수(내선)
10:00,10:02,11:51,11:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:06,10:05,11:56,11:49
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
10:12,10:08,,11:53
성수성수(외선),성수성수(내선),,성수성수(내선)
10:18,10:12,,11:58
성수성수(외선),성수성수(내선),,성수성수(내선)
10:24,10:15,12:01,12:02
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
10:27,10:18,12:06,12:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:31,10:21,12:11,12:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:34,10:24,12:16,12:21
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
10:36,10:31,12:21,12:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:41,10:34,12:26,12:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:44,10:37,12:32,12:36
