신촌방면,아현방면,신촌방면,아현방면
평일,평일,주말,주말
05:37첫,05:34첫,05:37첫,05:34첫
을지로입구성수(외선),홍대입구성수(내선),을지로입구성수(외선),홍대입구성수(내선)
5:53,5:45,5:54,5:45
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
-,5:52,-,5:52
-,신도림성수(내선),-,신도림성수(내선)
-,5:59,-,5:58
-,서울대입구성수(내선),-,서울대입구성수(내선)
6:02,6:05,6:04,6:04
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:12,6:12,6:11,6:10
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:21,6:19,6:17,6:16
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:31,6:24,6:24,6:22
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:40,6:31,6:30,6:28
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:46,6:36,6:36,6:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:50,6:41,6:42,6:39
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:56,6:46,6:49,6:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:59,6:53,6:55,6:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:02,7:00,-,6:56
성수성수(외선),성수성수(내선),-,신도림성수(내선)
7:08,7:04,7:00,7:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:11,7:07,7:06,7:07
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:15,7:10,7:12,7:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:16,7:18,7:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:19,7:24,7:24
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:34,7:23,7:30,7:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:39,7:29,7:37,7:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:44,7:33,7:43,7:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:49,7:36,7:49,7:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:54,7:39,7:54,7:51
성수성수,신도림성수(내선),성수성수(외선),성수성수(내선)
-,7:43,-,7:58
-,성수성수(내선),-,성수성수(내선)
-,7:47,8:00,8:02
-,성수성수(내선),성수성수,성수성수(내선)
-,7:50,8:06,8:08
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:53,8:12,8:13
-,신도림성수(내선),성수성수(외선),성수성수(내선)
-,7:57,8:18,8:19
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:00,8:01,8:25,8:24
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:04,8:04,8:30,8:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:07,8:08,8:35,8:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:09,8:11,8:41,8:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:13,8:15,8:47,8:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:19,8:53,8:52
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:19,8:23,8:58,8:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:23,8:26,9:03,9:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:26,8:30,9:08,9:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:29,8:33,9:14,9:14
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:32,8:37,9:19,9:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:35,8:40,9:25,9:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:38,8:43,9:30,9:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:41,8:46,9:36,9:36
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:44,8:50,9:42,9:41
성수성수(외선),성수성수(내선),성수신도림,성수성수(내선)
8:47,8:53,9:48,9:47
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
8:49,8:56,9:53,9:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:53,8:59,9:59,9:56
성수성수,성수성수(내선),성수성수(외선),성수성수
8:56,-,-,9:58
성수성수(외선),-,-,신도림성수(내선)
9:00,9:02,10:06,10:02
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:02,9:06,10:12,10:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:05,9:09,10:18,10:14
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:07,9:12,10:22,10:19
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:09,9:16,10:28,10:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:11,9:20,10:33,10:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:14,9:23,10:38,10:33
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:16,9:26,10:43,10:38
성수성수,성수성수(내선),성수성수(외선),성수성수
9:19,9:30,10:48,10:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:21,9:33,10:54,10:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:24,9:36,-,10:53
성수성수(외선),성수성수(내선),-,성수성수(내선)
9:28,9:40,-,10:58
성수성수(외선),성수성수,-,성수성수(내선)
9:31,9:43,11:00,11:04
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:34,9:47,11:05,11:07
성수신도림,성수성수(내선),성수성수(외선),신도림성수(내선)
9:36,9:51,11:11,11:11
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:39,9:55,11:16,11:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:41,9:58,11:22,11:21
성수신도림,성수성수,성수성수(외선),성수성수(내선)
9:44,-,11:28,11:27
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:47,-,11:33,11:32
성수성수,-,성수성수(외선),성수성수(내선)
9:50,-,11:38,11:37
성수신도림,-,성수성수(외선),성수성수(내선)
9:53,-,11:43,11:41
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:57,-,11:48,11:45
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:02,10:01,11:53,11:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:05,10:04,11:58,11:55
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
10:08,10:08,-,11:59
