강변방면,잠실방면,강변방면,잠실방면
평일,평일,주말,주말
05:38첫,05:38첫,05:38첫,05:38첫
삼성성수(외선),성수성수(내선),삼성성수(외선),성수성수(내선)
5:58,5:48,5:57,5:48
서울대입구성수(외선),성수성수(내선),서울대입구성수(외선),성수성수(내선)
-,5:55,-,5:56
-,성수성수(내선),-,성수성수(내선)
6:11,6:02,6:10,6:06
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:17,6:06,6:16,6:11
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:24,6:12,6:22,6:17
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:29,6:18,6:28,6:23
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:35,6:25,6:34,6:29
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:41,6:31,6:40,6:35
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:50,6:35,6:46,6:41
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:54,6:38,6:52,6:47
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,6:45,6:57,6:51
-,성수성수(내선),신도림성수(외선),성수성수(내선)
-,6:48,-,6:55
-,성수성수(내선),-,성수성수(내선)
-,6:52,7:03,7:01
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,6:58,7:10,7:07
-,성수성수(내선),성수성수(외선),성수성수(내선)
7:00,7:02,7:16,7:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:05,7:05,7:22,7:17
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:10,7:09,7:28,7:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:15,7:12,7:34,7:28
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:20,7:16,7:40,7:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:25,7:20,7:46,7:39
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:30,7:24,7:52,7:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:35,7:27,7:57,7:50
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:39,7:31,-,7:56
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:45,7:34,8:03,8:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:49,7:38,8:09,8:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:52,7:41,8:15,8:12
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:55,7:44,8:20,8:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:58,7:47,8:26,8:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,7:51,8:31,8:29
-,성수성수(내선),신도림성수(외선),성수성수(내선)
-,7:54,8:35,8:34
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:57,8:41,8:40
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:01,8:00,8:47,8:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:04,8:04,8:52,8:51
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:07,8:07,8:55,8:56
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:10,8:10,9:04,9:01
성수성수(외선),성수성수,성수성수(외선),성수성수
8:13,8:13,9:10,9:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:17,9:16,9:13
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:20,8:21,9:21,9:19
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:23,8:24,9:23,9:24
신도림성수(외선),성수성수,성수성수,성수성수(내선)
8:26,8:27,9:27,9:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:28,8:31,9:33,9:29
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:31,8:35,9:39,9:35
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:33,8:38,9:45,9:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
8:36,8:42,9:49,9:46
신도림성수(외선),성수성수,신도림성수(외선),성수성수(내선)
8:38,8:45,9:51,9:51
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:41,8:49,9:55,9:57
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:43,8:53,10:00,10:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:46,8:57,10:06,10:08
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:48,-,10:11,10:13
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:51,-,10:16,10:19
신도림성수(외선),-,성수성수(외선),성수성수
8:53,-,10:22,10:23
성수성수,-,성수성수(외선),성수성수(내선)
8:56,-,10:28,10:30
신도림성수(외선),-,성수성수(외선),성수성수(내선)
8:59,-,10:33,10:35
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:01,9:00,10:38,10:40
신도림성수(외선),성수성수,신도림성수(외선),성수성수(내선)
9:03,9:03,10:44,10:43
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:06,9:07,10:49,10:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:08,9:10,10:55,10:51
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:12,9:13,-,10:56
성수성수(외선),성수성수(내선),-,성수성수(내선)
9:14,9:16,11:00,11:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:17,9:20,11:06,11:07
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
9:21,09:23첫,11:10,11:14
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:25,9:26,11:16,11:20
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:27,9:29,11:21,11:25
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:30,9:32,11:26,11:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:32,9:35,11:31,11:36
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:35,9:38,11:36,11:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:39,9:45,11:41,11:45
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:41,9:48,11:46,11:53
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:47,9:52,11:51,11:59
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:51,9:58,11:56,-
성수성수,성수성수(내선),성수성수(외선),-
9:54,-,12:01,12:04
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:00,10:02,12:07,12:09
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:02,10:05,12:14,12:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:04,10:09,12:21,12:18
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:06,10:15,12:26,12:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:09,10:19,12:31,12:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:11,10:23,12:36,12:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:14,10:28,12:41,12:38
성수성수,성수신도림,성수성수(외선),성수성수(내선)
10:16,10:33,12:46,12:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:19,10:37,12:51,12:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:21,10:43,12:56,12:56
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:26,10:47,13:01,13:01
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:30,10:50,13:06,13:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:34,10:56,13:11,13:11
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:36,10:59,13:16,13:17
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:42,-,13:21,13:24
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:45,-,13:26,13:29
성수성수,-,성수성수(외선),성수성수(내선)
10:50,-,13:31,13:34
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:55,-,13:37,13:39
성수성수(외선),-,성수성수(외선),성수성수(내선)
11:00,11:02,13:44,13:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:06,11:08,13:51,13:48
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:12,11:15,13:56,13:53
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:17,11:21,-,13:57
성수성수(외선),성수성수(내선),-,성수성수(내선)
11:23,11:28,14:01,14:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:30,11:34,14:06,14:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:33,11:39,14:11,14:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:37,11:44,14:16,14:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:42,11:49,14:21,14:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:47,11:55,14:26,14:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
11:52,-,14:31,14:36
성수성수(외선),-,성수성수(외선),성수성수(내선)
11:57,-,14:36,14:41
성수성수(외선),-,성수성수(외선),성수성수(내선)
12:02,12:04,14:41,14:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:07,12:09,14:46,14:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:13,12:14,14:51,14:55
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:19,12:20,14:56,-
성수성수(외선),성수성수(내선),성수성수(외선),-
12:25,12:26,15:01,15:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:30,12:32,15:07,15:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:36,12:38,15:14,15:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:42,12:44,15:21,15:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:47,12:50,15:26,15:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:53,12:57,15:31,15:23첫
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
12:59,-,15:36,15:27
성수성수(외선),-,성수성수(외선),성수성수(내선)
13:04,13:02,15:41,15:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:08,13:08,15:46,15:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:13,13:13,15:51,15:45
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
13:18,13:18,15:56,15:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:22,13:25,-,15:56
성수성수(외선),성수성수(내선),-,성수성수(내선)
13:28,13:33,16:01,16:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:33,13:39,16:06,16:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:38,13:44,16:11,16:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:43,13:50,16:16,16:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:49,13:56,16:21,16:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:55,-,16:26,16:26
성수성수(외선),-,성수성수(외선),성수성수(내선)
14:00,14:02,16:31,16:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:06,14:08,16:37,16:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:12,14:14,16:45,16:41
