잠실방면,종합운동장방면,잠실방면,종합운동장방면
평일,평일,주말,주말
05:34첫,05:42첫,05:34첫,05:42첫
삼성성수(외선),성수성수(내선),삼성성수(외선),성수성수(내선)
5:54,5:52,5:53,5:52
서울대입구성수(외선),성수성수(내선),서울대입구성수(외선),성수성수(내선)
,5:59,6:06,6:00
,성수성수(내선),신도림성수(외선),성수성수(내선)
6:07,6:06,6:12,6:10
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:13,6:10,6:18,6:15
신도림성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:19,6:16,6:24,6:21
홍대입구성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:25,6:22,6:30,6:27
신도림성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:31,6:29,6:36,6:33
을지로입구성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:37,6:35,6:41,6:39
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:46,6:39,6:47,6:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:50,6:42,6:53,6:51
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:56,6:49,6:59,6:55
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,6:52,,6:59
,성수성수(내선),,성수성수(내선)
,6:56,7:05,7:05
,성수성수(내선),성수성수(외선),성수성수(내선)
7:00,7:02,7:11,7:11
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:06,7:06,7:18,7:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:11,7:09,7:24,7:21
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:16,7:13,7:30,7:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:16,7:36,7:32
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:26,7:20,7:42,7:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:31,7:24,7:48,7:43
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:35,7:28,7:53,7:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:31,7:59,7:54
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:45,7:35,8:05,8:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:48,7:38,8:11,8:05
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:51,7:42,8:16,8:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:54,7:45,8:22,8:16
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:56,7:48,8:26,8:22
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
7:59,7:52,8:31,8:27
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,7:55,8:37,8:33
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:58,8:42,8:38
,성수성수(내선),성수성수(외선),성수성수(내선)
8:02,8:01,8:48,8:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:05,8:04,8:51,8:49
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:09,8:08,,8:55
성수성수(외선),성수성수(내선),,성수성수(내선)
8:12,8:12,9:00,9:00
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:15,8:15,9:06,9:05
성수성수(외선),성수성수,성수성수(외선),성수성수
8:18,8:18,9:12,9:11
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:21,8:21,9:16,9:17
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:24,8:25,9:19,9:23
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:26,8:29,9:23,9:28
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:29,8:32,9:29,9:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:31,8:35,9:35,9:34
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:34,8:39,9:41,9:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:36,8:42,9:44,9:45
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수
8:39,8:46,9:47,9:50
성수성수(외선),성수성수,성수성수,성수성수(내선)
