잠실새내방면,삼성방면,잠실새내방면,삼성방면
평일,평일,주말,주말
05:32첫,05:44첫,05:32첫,05:44첫
삼성성수(외선),성수성수(내선),삼성성수(외선),성수성수(내선)
5:52,5:54,5:51,5:54
서울대입구성수(외선),성수성수(내선),서울대입구성수(외선),성수성수(내선)
6:05,6:01,6:04,6:02
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:11,6:08,6:10,6:12
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:17,6:12,6:16,6:17
홍대입구성수(외선),성수성수(내선),홍대입구성수(외선),성수성수(내선)
6:23,6:18,6:22,6:23
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:29,6:24,6:28,6:29
을지로입구성수(외선),성수성수(내선),을지로입구성수(외선),성수성수(내선)
6:35,6:31,6:34,6:35
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:44,6:37,6:39,6:41
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:48,6:41,6:45,6:47
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:54,6:44,6:51,6:53
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
6:58,6:51,6:57,6:57
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
-,6:54,7:03,7:01
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,6:58,7:09,7:07
-,성수성수(내선),성수성수(외선),성수성수(내선)
7:04,7:04,7:16,7:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:09,7:08,7:22,7:18
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:14,7:11,7:28,7:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:19,7:15,7:34,7:29
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:24,7:18,7:40,7:34
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:29,7:22,7:46,7:40
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:33,7:26,7:51,7:45
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:39,7:30,7:57,7:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:43,7:33,-,7:56
성수성수(외선),성수성수(내선),-,성수성수(내선)
7:46,7:37,8:03,8:02
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:49,7:40,8:09,8:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:52,7:44,8:14,8:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:54,7:47,8:20,8:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:57,7:50,8:24,8:24
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
-,7:54,8:29,8:29
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,7:57,8:35,8:35
-,성수성수(내선),성수성수(외선),성수성수(내선)
8:00,8:00,8:40,8:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:03,8:03,8:46,8:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:07,8:06,8:49,8:51
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:10,8:10,8:58,8:57
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:13,8:14,9:04,9:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:17,9:10,9:07
신도림성수(외선),성수성수,성수성수(외선),성수성수
8:19,8:20,9:14,9:13
성수성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:22,8:23,9:17,9:19
신도림성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:24,8:27,9:21,9:25
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:27,8:31,9:27,9:30
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:29,8:34,9:33,9:33
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:32,8:37,9:39,9:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:34,8:41,9:42,9:41
신도림성수(외선),성수성수(내선),신도림성수(외선),성수성수(내선)
8:37,8:44,9:45,9:47
성수성수(외선),성수성수(내선),성수성수,성수성수
8:39,8:48,9:49,9:52
신도림성수(외선),성수성수,성수성수(외선),성수성수(내선)
8:42,8:51,9:54,9:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:44,8:55,10:00,10:03
신도림성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:47,8:59,10:05,10:08
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:49,-,10:10,10:14
신도림성수(외선),-,성수성수(외선),성수성수(내선)
8:52,-,10:16,10:19
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:54,-,10:22,10:25
신도림성수(외선),-,성수성수(외선),성수성수
8:57,-,10:27,10:30
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:59,-,10:32,10:36
성수성수(외선),-,신도림성수(외선),성수성수(내선)
9:02,9:03,10:38,10:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:06,9:06,10:43,10:46
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:08,9:09,10:49,10:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:11,9:13,10:54,10:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:15,9:16,10:59,10:57
성수성수(외선),성수성수,신도림성수(외선),성수성수(내선)
9:18,9:19,11:04,11:03
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:21,9:22,11:09,11:08
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:24,9:26,11:14,11:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:26,09:29첫,11:19,11:21
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:29,9:32,11:25,11:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:32,9:35,11:30,11:32
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:35,9:38,11:35,11:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:41,9:41,11:40,11:42
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:45,9:44,11:45,11:47
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:48,9:51,11:50,11:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:54,9:54,11:55,11:59
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
9:56,9:58,12:01,12:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:58,-,12:08,12:10
성수성수,-,성수성수(외선),성수성수(내선)
10:00,10:04,12:14,12:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:03,10:08,12:19,12:20
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:05,10:11,12:25,12:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:08,10:15,12:30,12:29
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:10,10:21,12:35,12:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:13,10:25,12:40,12:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:15,10:30,12:45,12:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:20,10:34,12:50,12:51
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:24,10:40,12:55,12:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:28,10:44,13:00,13:02
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:30,10:50,13:05,13:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:36,10:53,13:10,13:12
성수성수(외선),성수신도림,성수성수(외선),성수성수(내선)
10:39,10:56,13:15,13:17
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
10:44,-,13:20,13:23
성수성수(외선),-,성수성수(외선),성수성수(내선)
10:49,-,13:25,13:30
성수성수(외선),-,성수성수(외선),성수성수(내선)
