왕십리방면,뚝섬방면,왕십리방면,뚝섬방면
평일,평일,주말,주말
05:33첫,05:42첫,05:33첫,05:43첫
성수성수(외선),을지로입구성수(내선),성수성수(외선),을지로입구성수(내선)
5:42,5:54,5:43,5:53
성수성수(외선),홍대입구성수(내선),성수성수(외선),홍대입구성수(내선)
5:52,-,5:50,-
성수성수(외선),-,성수성수(외선),-
6:01,6:05,5:57,-
성수성수(외선),신도림성수(내선),성수성수(외선),-
6:11,6:12,6:03,6:05
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:20,6:19,6:10,6:11
성수성수(외선),서울대입구성수(내선),성수성수(외선),신도림성수(내선)
6:25,6:25,6:16,6:17
성수성수(외선),신도림성수(내선),성수성수(외선),서울대입구성수(내선)
6:30,6:32,6:22,6:23
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:36,6:39,6:29,6:29
성수성수(외선),삼성성수(내선),성수성수(외선),신도림성수(내선)
6:39,6:45,6:35,6:35
성수성수(외선),신도림성수(내선),성수성수(외선),삼성성수(내선)
6:42,6:52,6:40,6:43
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:47,6:56,6:46,6:49
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
6:50,-,6:52,6:54
성수성수(외선),-,성수성수(외선),성수성수(내선)
6:55,-,6:58,6:59
성수성수(외선),-,성수성수(외선),신도림성수(내선)
7:02,7:02,7:04,7:04
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:07,7:07,7:10,7:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:13,7:14,7:16,7:16
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
7:18,7:21,7:22,7:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:23,7:25,7:28,7:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:28,7:28,7:34,7:32
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:33,7:31,7:40,7:37
성수성수,성수성수(내선),성수성수,성수성수(내선)
7:39,7:37,7:46,7:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:43,7:40,7:52,7:49
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:46,7:44,7:58,7:54
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:48,7:50,8:04,8:00
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
7:52,7:54,8:10,8:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:55,7:57,8:15,8:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:58,-,8:21,8:17
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:02,8:00,8:27,8:22
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
8:05,8:04,8:33,8:27
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:08,8:08,8:38,8:33
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:11,8:11,8:43,8:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:14,8:14,8:48,8:44
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
8:17,8:18,8:54,8:49
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:20,8:22,8:59,8:55
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:23,8:25,9:05,9:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:26,8:29,9:10,9:06
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
8:28,8:32,9:16,9:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:32,8:36,9:22,9:17
성수성수,성수성수(내선),성수신도림,성수성수(내선)
8:35,8:40,9:28,9:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:39,8:44,9:34,9:28
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
8:41,8:47,9:40,9:33
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:44,8:51,9:46,9:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:46,8:54,9:51,9:44
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:49,8:58,9:57,9:50
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:51,-,-,9:55
성수성수(외선),-,-,성수성수(내선)
8:54,-,10:02,10:01
성수성수(외선),-,성수성수(외선),성수성수(내선)
8:56,-,10:07,10:06
성수성수,-,성수성수(외선),성수성수(내선)
8:59,-,10:13,10:11
성수성수(외선),-,성수성수(외선),성수성수(내선)
9:01,9:01,10:18,10:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:04,9:04,10:24,10:17
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
9:08,9:07,10:29,10:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:11,9:11,10:35,10:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:14,9:14,10:40,10:33
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:16,9:17,10:45,10:38
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:19,9:20,10:52,10:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:21,9:22,10:56,10:49
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:24,9:26,-,10:54
