당산방면,홍대입구방면,당산방면,홍대입구방면
평일,평일,주말,주말
05:32첫,05:39첫,05:32첫,05:39첫
홍대입구성수(외선),신도림성수(내선),홍대입구성수(외선),신도림성수(내선)
5:44,5:46,5:43,5:46
을지로입구성수(외선),신도림성수(내선),을지로입구성수(외선),신도림성수(내선)
5:59,5:52,,5:52
성수성수(외선),서울대입구성수(내선),,서울대입구성수(내선)
,5:59,,5:58
,신도림성수(내선),,신도림성수(내선)
6:09,6:06,6:00,6:04
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:19,6:13,6:11,6:10
성수성수(외선),삼성성수(내선),성수성수(외선),삼성성수(내선)
6:28,6:18,6:18,6:16
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:38,6:25,6:24,6:22
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:47,6:29,6:30,6:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
6:53,6:35,6:36,6:33
성수성수(외선),신도림성수(내선),성수성수(외선),신도림성수(내선)
6:57,6:39,6:43,6:39
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,6:46,6:49,6:45
,성수성수(내선),성수성수(외선),성수성수(내선)
,6:53,6:55,6:50
,성수성수(내선),성수성수(외선),신도림성수(내선)
,6:57,,6:56
,성수성수(내선),,성수성수(내선)
7:03,7:00,7:01,7:01
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:06,7:03,7:06,7:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:08,7:09,7:12,7:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:14,7:13,7:19,7:18
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:17,7:16,7:24,7:24
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:21,7:23,7:30,7:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:27,7:27,7:36,7:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:33,7:30,7:43,7:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:41,7:33,7:49,7:46
성수성수(외선),신도림성수(내선),성수성수(외선),성수성수(내선)
7:46,7:36,7:55,7:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
7:51,7:40,,7:56
성수성수(외선),성수성수(내선),,성수성수(내선)
7:56,7:44,8:01,8:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
,7:47,8:06,8:07
,신도림성수(내선),성수성수,성수성수(내선)
,7:50,8:13,8:13
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:54,8:19,8:18
,성수성수(내선),성수성수(외선),성수성수(내선)
,7:57,8:25,8:23
,성수성수(내선),성수성수(외선),성수성수(내선)
8:01,8:01,8:31,8:29
성수성수,성수성수(내선),성수성수,성수성수(내선)
8:06,8:04,8:36,8:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:11,8:08,8:42,8:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:13,8:12,8:48,8:46
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:16,8:16,8:54,8:51
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:20,8:19,,8:57
성수성수(외선),성수성수(내선),,성수성수(내선)
8:23,8:23,9:00,9:02
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
8:26,8:26,9:04,9:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:30,8:30,9:09,9:13
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:33,8:33,9:15,9:19
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:36,8:36,9:20,9:24
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:39,8:40,9:25,9:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:41,8:43,9:31,9:35
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:44,8:46,9:37,9:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
8:47,8:49,9:42,9:45
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
8:50,8:52,9:48,9:50
성수성수(외선),성수성수(내선),성수신도림,성수성수
8:53,8:56,9:54,9:52
성수신도림,성수성수(내선),성수성수(외선),신도림성수(내선)
8:56,,9:59,9:56
성수성수(외선),,성수성수(외선),성수성수(내선)
9:00,9:00,10:05,10:02
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:03,9:03,10:12,10:08
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
9:06,9:06,10:18,10:13
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
9:09,9:09,10:24,10:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:11,9:13,10:29,10:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:13,9:17,10:34,10:27
성수성수,성수성수,성수성수(외선),성수성수(내선)
9:15,9:20,10:39,10:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:18,9:23,10:45,10:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:20,9:27,10:50,10:41
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:23,9:30,10:55,10:47
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:25,9:33,,10:52
성수성수(외선),성수성수,,성수성수(내선)
9:28,9:36,,10:57
성수성수(외선),성수성수(내선),,성수성수(내선)
9:30,9:40,11:00,11:00
성수성수(외선),성수성수(내선),성수성수(외선),신도림성수(내선)
9:35,9:44,11:06,11:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:38,9:48,11:11,11:10
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
9:40,9:51,11:17,11:15
성수신도림,성수성수,성수성수(외선),성수성수(내선)
9:43,9:54,11:23,11:20
성수성수,성수성수(내선),성수성수(외선),성수성수(내선)
9:45,9:58,11:29,11:25
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
9:48,,11:34,11:30
성수신도림,,성수성수(외선),성수성수(내선)
9:51,,11:39,11:35
성수성수(외선),,성수성수(외선),성수성수(내선)
9:53,,11:45,11:38
성수성수,,성수성수(외선),성수성수(내선)
9:56,,11:50,11:43
성수신도림,,성수성수(외선),성수성수(내선)
10:00,10:01,11:55,11:48
성수성수(외선),성수성수,성수성수(외선),성수성수(내선)
10:04,10:04,,11:53
성수성수(외선),성수성수(내선),,성수성수(내선)
10:09,10:07,,11:58
성수성수(외선),성수성수(내선),,성수성수(내선)
10:11,10:11,12:00,12:06
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
10:14,10:17,12:05,12:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:20,10:20,12:10,12:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:26,10:23,12:15,12:22
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:32,10:29,12:20,12:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:38,10:36,12:25,12:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:41,10:43,12:30,12:37
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:45,10:49,12:35,12:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
10:48,10:56,12:40,12:50
성수신도림,성수성수(내선),성수성수(외선),성수성수(내선)
10:51,,12:46,12:55
성수성수(외선),,성수성수(외선),성수성수(내선)
10:56,,12:53,
성수성수(외선),,성수성수(외선),
10:58,,13:00,13:00
성수신도림,,성수성수(외선),성수성수(내선)
11:01,11:00,13:05,13:05
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:06,11:06,13:10,13:09
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:10,11:10,13:15,13:14
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:16,11:15,13:20,13:18
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:21,11:25,13:25,13:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:28,11:29,13:30,13:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:34,11:35,13:35,13:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:39,11:41,13:40,13:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:45,11:47,13:45,13:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:51,11:53,13:50,13:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
11:56,11:59,13:55,13:57
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:02,12:06,14:00,14:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:08,12:12,14:05,14:08
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:13,12:18,14:10,14:15
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:17,12:24,14:16,14:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:22,12:30,14:23,14:26
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:27,12:35,14:30,14:31
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:32,12:40,14:35,14:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:37,12:46,14:40,14:40
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:42,12:55,14:45,14:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
12:47,,14:50,14:48
성수성수(외선),,성수성수(외선),성수성수(내선)
12:52,,14:55,14:53
성수성수(외선),,성수성수(외선),성수성수(내선)
12:58,,14:59,14:59
성수성수(외선),,성수신도림,성수성수(내선)
13:04,13:00,15:05,15:06
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:09,13:05,15:10,15:12
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:15,13:11,15:15,15:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:21,13:17,15:20,15:21
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
13:27,13:23,15:25,15:27
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:32,13:29,15:30,15:32
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:38,13:35,15:35,15:38
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:42,13:41,15:40,15:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:47,13:48,15:46,15:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:52,13:53,15:54,15:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
13:57,13:59,15:59,15:57
성수성수(외선),성수성수(내선),성수신도림,성수성수(내선)
14:02,14:04,16:05,16:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:07,14:09,16:10,16:07
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:12,14:16,16:15,16:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:17,14:24,16:20,16:17
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:22,14:30,16:25,16:22
성수성수(외선),성수성수(내선),성수신도림,성수성수(내선)
14:28,14:35,16:29,16:30
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:34,14:41,16:34,16:36
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:39,14:47,16:40,16:42
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:45,14:53,16:45,16:47
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:51,14:59,16:50,16:52
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
14:57,,16:55,16:57
성수성수(외선),,성수성수(외선),성수성수(내선)
15:02,15:05,17:00,17:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
15:07,15:11,17:05,17:07
