수서방면,경찰병원방면,수서방면,경찰병원방면
평일,평일,주말,주말
05:34첫,-,05:31첫,-
오금대화,-,오금대화,-
5:41,-,5:44,-
오금대화,-,오금대화,-
5:52,-,5:56,-
오금대화,-,오금대화,-
6:04,06:00첫,6:08,06:00첫
오금대화,압구정오금,오금대화,압구정오금
6:13,6:18,6:21,6:18
오금대화,독립문오금,오금대화,독립문오금
6:28,6:31,6:33,6:31
오금대화,구파발오금,오금대화,구파발오금
6:38,6:39,6:39,6:39
오금대화,구파발오금,오금대화,구파발오금
6:48,6:49,6:45,6:47
오금대화,대화오금,오금구파발,구파발오금
6:56,6:57,6:51,6:54
오금대화,구파발오금,오금대화,구파발오금
7:04,7:04,6:57,-
오금대화,대화오금,오금구파발,-
7:09,7:10,7:03,7:03
오금구파발,구파발오금,오금대화,대화오금
7:13,7:17,7:09,7:09
오금대화,대화오금,오금구파발,구파발오금
7:21,7:23,7:15,7:18
오금대화,대화오금,오금대화,대화오금
7:26,7:29,7:21,7:24
오금대화,구파발오금,오금구파발,구파발오금
7:30,7:35,7:26,7:30
오금대화,대화오금,오금대화,대화오금
7:34,7:41,7:31,7:35
오금구파발,대화오금,오금대화,구파발오금
7:37,7:46,7:37,7:43
오금대화,구파발오금,오금대화,대화오금
7:45,7:52,7:43,7:48
오금대화,대화오금,오금구파발,구파발오금
7:49,7:58,7:49,7:54
오금구파발,구파발오금,오금대화,대화오금
7:52,-,7:55,7:59
오금대화,-,오금구파발,구파발오금
7:59,-,8:01,8:06
오금구파발,-,오금대화,대화오금
8:03,8:02,8:07,8:11
오금대화,대화오금,오금구파발,구파발오금
8:06,8:07,8:13,8:17
오금구파발,구파발오금,오금대화,대화오금
8:14,8:11,8:21,8:24
오금구파발,대화오금,오금구파발,구파발오금
8:18,8:15,8:27,8:30
오금대화,구파발오금,오금대화,대화오금
8:22,8:19,8:33,8:36
오금대화,대화오금,오금구파발,구파발오금
8:26,8:22,8:39,8:43
오금구파발,구파발오금,오금대화,대화오금
8:30,8:32,8:45,8:50
오금대화,구파발오금,오금구파발,대화오금
8:34,8:36,8:51,8:57
오금구파발,대화오금,오금대화,구파발오금
8:39,8:43,8:57,-
오금대화,구파발오금,오금구파발,-
8:46,8:47,9:09,9:04
오금구파발,대화오금,오금구파발,대화오금
8:51,8:51,9:15,9:10
오금대화,구파발오금,오금대화,구파발오금
8:56,8:59,9:21,9:17
오금대화,구파발오금,오금대화,대화오금
9:01,9:03,9:27,9:23
오금대화,대화오금,오금대화,구파발오금
9:06,9:06,9:33,9:29
