약수방면,옥수방면,약수방면,옥수방면
평일,평일,주말,주말
05:46첫,05:44첫,05:47첫,05:44첫
도곡대화,독립문오금,도곡대화,독립문오금
5:53,5:57,5:56,5:57
수서구파발,구파발오금,수서대화,구파발오금
6:01,6:05,6:05,6:05
수서대화,구파발오금,오금대화,구파발오금
6:08,6:15,6:11,6:13
오금대화,대화오금,수서구파발,구파발오금
6:15,6:23,6:18,6:20
오금대화,구파발오금,오금대화,구파발오금
6:20,6:30,6:23,6:29
수서구파발,대화오금,수서구파발,대화오금
6:26,6:36,6:30,6:35
오금대화,구파발오금,오금대화,구파발오금
6:34,6:43,6:36,6:44
수서구파발,대화오금,수서구파발,대화오금
6:38,6:49,6:42,6:50
오금대화,대화오금,오금대화,구파발오금
6:42,6:55,6:48,6:56
수서구파발,구파발오금,수서구파발,대화오금
6:47,,6:55,
오금대화,,오금대화,
6:52,,7:00,7:01
수서구파발,,수서구파발,구파발오금
6:57,,7:07,7:09
수서대화,,오금대화,대화오금
7:02,7:01,7:13,7:14
오금대화,대화오금,오금대화,구파발오금
7:07,7:07,7:19,7:20
수서구파발,대화오금,오금구파발,대화오금
7:12,7:12,7:25,7:25
오금대화,구파발오금,오금대화,구파발오금
7:17,7:18,7:31,7:32
수서대화,대화오금,오금구파발,대화오금
7:22,7:24,7:37,7:37
오금대화,구파발오금,오금대화,구파발오금
7:26,7:28,7:43,7:43
수서대화,대화오금,오금구파발,대화오금
7:30,7:33,7:49,7:50
오금대화,구파발오금,오금대화,구파발오금
7:34,7:37,7:55,7:56
수서구파발,대화오금,오금구파발,대화오금
7:38,7:41,8:00,8:02
오금대화,구파발오금,오금대화,구파발오금
7:43,7:45,8:05,8:09
오금구파발,대화오금,오금대화,대화오금
7:47,7:48,8:11,8:16
오금대화,구파발오금,오금대화,대화오금
7:51,7:54,8:17,8:23
수서구파발,대화수서,오금구파발,구파발오금
7:55,7:58,8:23,8:30
오금대화,구파발오금,오금대화,대화오금
8:00,8:02,8:29,8:36
오금대화,대화오금,오금구파발,구파발오금
8:04,8:05,8:35,8:43
오금대화,대화수서,오금대화,대화오금
8:08,8:09,8:41,8:49
오금구파발,구파발오금,오금구파발,구파발오금
8:11,8:13,8:47,8:55
오금대화,대화오금,오금대화,대화오금
8:15,8:17,8:55,
수서구파발,구파발오금,오금구파발,
8:19,8:20,9:01,9:01
오금대화,대화수서,오금대화,대화오금
8:23,8:25,9:07,9:07
오금구파발,구파발오금,오금구파발,구파발오금
8:26,8:29,9:13,9:13
오금대화,대화오금,오금대화,대화오금
8:30,8:32,9:19,9:19
수서구파발,구파발오금,오금구파발,대화오금
8:33,8:35,9:25,9:25
오금구파발,대화오금,오금대화,대화오금
8:37,8:39,9:31,9:31
오금대화,구파발수서,오금구파발,대화오금
8:40,8:43,9:37,9:35
오금구파발,대화오금,수서대화,구파발오금
8:44,8:47,9:43,9:42
수서대화,구파발수서,오금구파발,대화오금
8:48,8:51,9:49,9:48
오금구파발,대화오금,오금대화,구파발오금
8:52,8:55,9:55,9:55
오금대화,대화오금,오금대화,대화오금
8:56,8:58,10:01,10:00
오금대화,대화오금,오금대화,구파발오금
9:00,9:01,10:07,10:07
오금구파발,구파발오금,오금구파발,대화오금
9:04,9:05,10:13,10:13
오금대화,대화오금,오금대화,대화오금
9:08,9:09,10:19,10:18
오금구파발,대화오금,오금대화,구파발오금
9:13,9:13,10:25,10:25
오금대화,구파발오금,오금구파발,대화오금
9:20,9:17,10:31,10:31
오금구파발,대화오금,오금대화,대화오금
9:25,9:21,10:37,10:36
오금대화,구파발수서,오금대화,구파발오금
9:30,9:25,10:43,10:43
오금대화,대화오금,오금구파발,대화오금
9:35,9:29,10:49,10:48
오금대화,구파발수서,오금대화,구파발오금
9:40,9:33,10:55,10:55
오금구파발,대화오금,오금구파발,대화오금
9:46,9:36,11:01,11:01
오금대화,구파발수서,오금대화,대화오금
9:51,9:41,11:07,11:08
오금대화,대화오금,오금구파발,대화오금
9:54,9:45,11:13,11:14
오금구파발,구파발오금,오금대화,구파발오금
9:58,9:51,11:19,11:21
오금대화,대화오금,오금대화,대화오금
,9:56,11:25,11:28
,구파발수서,오금대화,구파발오금
10:05,10:01,11:31,11:35
오금대화,대화오금,오금구파발,대화오금
10:11,10:06,11:37,11:42
오금구파발,대화오금,오금대화,대화오금
10:16,10:12,11:43,11:49
오금대화,대화오금,오금구파발,대화오금
10:20,10:17,11:49,11:55
오금구파발,대화오금,오금대화,대화오금
10:25,10:23,11:55,
오금구파발,구파발수서,오금구파발,
10:30,10:29,12:01,12:01
오금대화,대화오금,오금대화,구파발오금
10:35,10:35,12:07,12:07
오금대화,대화오금,오금구파발,대화오금
10:41,10:42,12:13,12:13
오금구파발,대화오금,오금대화,구파발오금
10:47,10:49,12:19,12:19
오금대화,구파발오금,오금구파발,대화오금
10:53,10:56,12:25,12:25
오금구파발,대화수서,오금대화,구파발오금
10:59,,12:31,12:31
오금대화,,오금구파발,대화오금
11:05,11:04,12:37,12:37
오금대화,대화오금,오금대화,구파발오금
11:12,11:13,12:43,12:43
오금대화,대화오금,오금구파발,대화오금
11:19,11:20,12:49,12:49
오금구파발,대화오금,수서대화,구파발오금
11:26,11:26,12:55,12:55
오금대화,구파발오금,오금구파발,대화오금
11:33,11:32,13:01,13:01
오금구파발,대화수서,오금대화,구파발오금
11:40,11:39,13:07,13:07
오금대화,대화오금,오금구파발,대화오금
11:46,11:44,13:13,13:12
오금대화,구파발오금,오금대화,구파발오금
11:53,11:51,13:19,13:18
오금대화,대화오금,오금구파발,대화오금
,11:57,13:25,13:23
,구파발오금,오금대화,구파발오금
12:00,12:04,13:31,13:28
오금구파발,대화오금,오금구파발,대화오금
12:08,12:10,13:37,13:33
오금대화,대화오금,오금대화,대화오금
12:15,12:17,13:43,13:38
오금대화,대화오금,오금구파발,구파발오금
12:25,12:23,13:49,13:44
오금대화,구파발오금,오금대화,대화오금
12:35,12:29,13:55,13:49
오금대화,대화오금,오금구파발,구파발오금
12:44,12:36,,13:55
오금대화,대화오금,,대화오금
12:53,12:43,14:01,14:01
오금대화,구파발오금,오금대화,구파발오금
,12:50,14:07,14:07
,대화오금,오금구파발,대화오금
,12:57,14:13,14:13
,대화오금,오금대화,구파발오금
13:01,13:04,14:19,14:19
오금대화,구파발오금,오금구파발,대화오금
13:09,13:11,14:25,14:25
오금구파발,대화오금,오금대화,구파발오금
13:17,13:18,14:31,14:31
오금대화,대화오금,오금구파발,대화오금
13:24,13:27,14:36,14:37
오금대화,대화오금,오금대화,구파발오금
13:30,13:36,14:42,14:43
오금대화,대화오금,오금구파발,대화오금
13:37,13:46,14:47,14:49
오금구파발,대화오금,오금대화,구파발오금
13:43,13:55,14:52,14:55
오금대화,대화오금,오금대화,대화오금
13:50,,14:57,
오금대화,,오금구파발,
13:56,,15:02,15:01
오금구파발,,오금대화,구파발오금
14:03,14:03,15:08,15:07
오금대화,대화오금,오금구파발,대화오금
14:09,14:11,15:13,15:13
오금구파발,대화오금,오금대화,구파발오금
14:16,14:19,15:19,15:19
오금대화,구파발오금,오금구파발,대화오금
14:22,14:26,15:25,15:25
오금대화,대화오금,오금대화,구파발오금
14:30,14:34,15:31,15:31
오금대화,대화오금,오금구파발,대화오금
14:37,14:40,15:37,15:37
오금구파발,구파발오금,오금대화,구파발오금
14:45,14:46,15:43,15:43
오금대화,대화오금,오금구파발,대화오금
14:54,14:53,15:49,15:49
오금대화,대화오금,오금대화,구파발오금
,14:59,15:55,15:55
,구파발오금,오금구파발,대화오금
15:03,15:05,16:01,16:01
오금대화,대화오금,오금대화,구파발오금
15:12,15:12,16:07,16:07
오금대화,대화오금,오금구파발,대화오금
15:21,15:19,16:13,16:13
오금대화,구파발오금,오금대화,구파발오금
15:29,15:25,16:19,16:19
오금대화,대화오금,오금구파발,대화오금
15:37,15:33,16:25,16:25
오금대화,대화수서,오금대화,구파발오금
15:45,15:39,16:31,16:31
오금대화,구파발오금,오금구파발,대화오금
15:52,15:46,16:37,16:37
오금구파발,대화오금,오금대화,구파발오금
15:59,15:54,16:43,16:43
