충무로방면,약수방면,충무로방면,약수방면
평일,평일,주말,주말
05:31첫,05:41첫,05:31첫,05:41첫
약수대화,독립문오금,약수대화,독립문오금
5:49,5:54,5:50,5:54
도곡대화,구파발오금,도곡대화,구파발오금
5:56,-,5:59,-
수서구파발,-,수서대화,-
6:04,6:02,6:08,6:02
수서대화,구파발오금,오금대화,구파발오금
6:11,6:12,6:14,6:10
오금대화,대화오금,수서구파발,구파발오금
6:18,6:20,6:21,6:17
오금대화,구파발오금,오금대화,구파발오금
6:23,6:27,6:26,6:26
수서구파발,대화오금,수서구파발,대화오금
6:29,6:33,6:33,6:32
오금대화,구파발오금,오금대화,구파발오금
6:37,6:40,6:39,6:41
수서구파발,대화오금,수서구파발,대화오금
6:41,6:46,6:45,6:47
오금대화,대화오금,오금대화,구파발오금
6:45,6:52,6:51,6:53
수서구파발,구파발오금,수서구파발,대화오금
6:50,6:58,6:58,6:58
오금대화,대화오금,오금대화,구파발오금
6:55,-,7:03,7:06
수서구파발,-,수서구파발,대화오금
7:00,7:04,7:10,7:11
수서대화,대화오금,오금대화,구파발오금
7:05,7:09,7:16,7:17
오금대화,구파발오금,오금대화,대화오금
7:10,7:15,7:22,7:22
수서구파발,대화오금,오금구파발,구파발오금
7:15,7:21,7:28,7:29
오금대화,구파발오금,오금대화,대화오금
7:20,7:25,7:34,7:34
수서대화,대화오금,오금구파발,구파발오금
7:25,7:30,7:40,7:40
오금대화,구파발오금,오금대화,대화오금
7:29,7:34,7:46,7:47
수서대화,대화오금,오금구파발,구파발오금
7:33,7:38,7:52,7:53
오금대화,구파발오금,오금대화,대화오금
7:37,7:42,7:58,7:59
수서구파발,대화오금,오금구파발,구파발오금
7:41,7:45,8:03,8:06
오금대화,구파발오금,오금대화,대화오금
7:46,7:51,8:08,8:13
오금구파발,대화수서,오금대화,대화오금
7:50,7:55,8:14,8:20
오금대화,구파발오금,오금대화,구파발오금
7:54,7:59,8:20,8:27
수서구파발,대화오금,오금구파발,대화오금
7:58,-,8:26,8:33
오금대화,-,오금대화,구파발오금
8:03,8:02,8:32,8:40
오금대화,대화수서,오금구파발,대화오금
8:07,8:06,8:38,8:46
오금대화,구파발오금,오금대화,구파발오금
8:11,8:10,8:44,8:52
오금구파발,대화오금,오금구파발,대화오금
8:14,8:14,8:50,8:58
오금대화,구파발오금,오금대화,대화오금
8:18,8:17,8:58,-
수서구파발,대화수서,오금구파발,-
8:22,8:22,9:04,9:04
오금대화,구파발오금,오금대화,구파발오금
8:26,8:26,9:10,9:10
오금구파발,대화오금,오금구파발,대화오금
8:29,8:29,9:16,9:16
오금대화,구파발오금,오금대화,대화오금
8:33,8:32,9:22,9:22
수서구파발,대화오금,오금구파발,대화오금
8:36,8:36,9:28,9:28
오금구파발,구파발수서,오금대화,대화오금
