양재방면,도곡방면,양재방면,도곡방면
평일,평일,주말,주말
05:26첫,05:46첫,05:27첫,05:46첫
도곡대화,압구정오금,도곡대화,압구정오금
5:33,-,5:36,-
수서구파발,-,수서대화,-
5:41,-,5:45,-
수서대화,-,오금대화,-
5:48,-,5:51,-
오금대화,-,수서구파발,-
5:55,-,5:58,-
오금대화,-,오금대화,-
6:00,6:04,6:04,6:04
수서구파발,독립문오금,수서구파발,독립문오금
6:06,6:17,6:10,6:17
오금대화,구파발오금,오금대화,구파발오금
6:14,6:25,6:16,6:25
수서구파발,구파발오금,수서구파발,구파발오금
6:18,6:35,6:22,6:33
오금대화,대화오금,오금대화,구파발오금
6:22,6:43,6:28,6:40
수서구파발,구파발오금,수서구파발,구파발오금
6:27,6:50,6:35,6:49
오금대화,대화오금,오금대화,대화오금
6:32,6:56,6:40,6:55
수서구파발,구파발오금,수서구파발,구파발오금
6:37,-,6:47,-
수서대화,-,오금대화,-
6:42,-,6:53,-
오금대화,-,오금대화,-
6:47,-,6:59,-
수서구파발,-,오금구파발,-
6:52,-,7:05,7:04
오금대화,-,오금대화,대화오금
6:57,-,7:11,7:10
수서대화,-,오금구파발,구파발오금
7:02,7:03,7:17,7:16
오금대화,대화오금,오금대화,대화오금
7:06,7:09,7:23,7:21
수서대화,대화오금,오금구파발,구파발오금
7:10,7:15,7:29,7:29
오금대화,구파발오금,오금대화,대화오금
7:14,7:21,7:35,7:34
수서구파발,대화오금,오금구파발,구파발오금
7:18,7:27,7:40,7:40
오금대화,대화오금,오금대화,대화오금
7:23,7:32,7:45,7:45
오금구파발,구파발오금,오금대화,구파발오금
7:27,7:38,7:51,7:52
오금대화,대화오금,오금대화,대화오금
7:31,7:44,7:57,7:57
수서구파발,구파발오금,오금구파발,구파발오금
7:35,7:48,8:03,8:03
오금대화,대화오금,오금대화,대화오금
7:40,7:53,8:09,8:10
오금대화,구파발오금,오금구파발,구파발오금
7:44,7:57,8:15,8:16
오금대화,대화오금,오금대화,대화오금
7:48,-,8:21,8:22
오금구파발,-,오금구파발,구파발오금
7:51,-,8:27,8:29
오금대화,-,오금대화,대화오금
7:55,-,8:35,8:36
수서구파발,-,오금구파발,대화오금
7:59,-,8:41,8:43
오금대화,-,오금대화,구파발오금
8:03,8:01,8:47,8:50
오금구파발,구파발오금,오금구파발,대화오금
8:06,8:05,8:53,8:56
오금대화,대화오금,오금대화,구파발오금
8:10,8:08,8:59,-
수서구파발,구파발오금,오금구파발,-
8:13,8:14,9:05,9:03
오금구파발,대화수서,오금대화,대화오금
8:17,8:18,9:11,9:09
오금대화,구파발오금,오금구파발,구파발오금
8:20,8:22,9:17,9:15
오금구파발,대화오금,수서대화,대화오금
8:24,8:25,9:23,9:21
수서대화,대화수서,오금구파발,대화오금
8:28,8:29,9:29,9:27
오금구파발,구파발오금,오금대화,구파발오금
8:32,8:33,9:35,9:33
오금대화,대화오금,오금대화,대화오금
8:36,8:37,9:41,9:39
오금대화,구파발오금,오금대화,대화오금
8:40,8:40,9:47,9:45
오금구파발,대화수서,오금구파발,대화오금
8:44,8:45,9:53,9:51
오금대화,구파발오금,오금대화,대화오금
8:48,8:49,9:59,9:55
오금구파발,대화오금,오금대화,구파발오금
8:53,8:52,10:05,10:02
오금대화,구파발오금,오금구파발,대화오금
-,8:55,10:11,10:08
-,대화오금,오금대화,구파발오금
-,8:59,10:17,10:15
-,구파발수서,오금대화,대화오금
9:00,9:03,10:23,10:20
오금구파발,대화오금,오금구파발,구파발오금
9:05,9:07,10:29,10:27
오금대화,구파발수서,오금대화,대화오금
9:10,9:11,10:35,10:33
오금대화,대화오금,오금구파발,대화오금
9:15,9:15,10:41,10:38
오금대화,대화오금,오금대화,구파발오금
9:20,9:18,10:47,10:45
오금구파발,대화오금,오금구파발,대화오금
9:26,9:21,10:53,10:51
오금대화,구파발오금,오금대화,대화오금
9:31,9:25,10:59,10:56
오금대화,대화오금,오금대화,구파발오금
9:34,9:29,11:05,11:03
오금구파발,대화오금,오금대화,대화오금
9:38,9:33,11:11,11:08
오금대화,구파발오금,오금구파발,구파발오금
9:45,9:37,11:17,11:15
오금대화,대화오금,오금대화,대화오금
9:51,9:41,11:23,11:21
오금구파발,구파발수서,오금구파발,대화오금
9:56,9:45,11:29,11:28
오금대화,대화오금,오금대화,대화오금
-,9:49,11:35,11:34
-,구파발수서,오금구파발,구파발오금
-,9:53,11:41,11:41
-,대화오금,오금대화,대화오금
-,9:56,11:47,11:48
-,구파발수서,오금구파발,구파발오금
10:00,10:01,11:53,11:55
오금구파발,대화오금,오금대화,대화오금
10:05,10:05,11:59,-
오금구파발,구파발오금,오금구파발,-
10:10,10:11,12:05,12:02
오금대화,대화오금,오금대화,대화오금
10:15,10:16,12:11,12:09
오금대화,구파발수서,오금구파발,대화오금
10:21,10:21,12:17,12:15
오금구파발,대화오금,오금대화,대화오금
10:27,10:26,12:23,12:21
오금대화,대화오금,오금구파발,구파발오금
10:33,10:32,12:29,12:27
오금구파발,대화오금,수서대화,대화오금
10:39,10:37,12:35,12:33
오금대화,대화오금,오금구파발,구파발오금
10:45,10:43,12:41,12:39
오금대화,구파발수서,오금대화,대화오금
10:52,10:49,12:47,12:45
오금대화,대화오금,오금구파발,구파발오금
10:59,10:55,12:53,12:51
오금구파발,대화오금,오금대화,대화오금
11:06,11:02,12:59,12:57
오금대화,대화오금,오금구파발,구파발오금
11:13,11:09,13:05,13:03
오금구파발,구파발오금,오금대화,대화오금
11:20,11:16,13:11,13:09
오금대화,대화수서,오금구파발,구파발오금
11:26,11:24,13:17,13:15
오금대화,대화오금,오금대화,대화오금
11:33,11:33,13:23,13:21
오금대화,대화오금,오금구파발,구파발오금
11:40,11:40,13:29,13:27
오금구파발,대화오금,오금대화,대화오금
11:48,11:46,13:35,13:32
오금대화,구파발오금,오금구파발,구파발오금
11:55,11:52,13:41,13:38
오금대화,대화수서,오금대화,대화오금
-,11:59,13:47,13:43
-,대화오금,오금구파발,구파발오금
12:05,12:04,13:53,13:48
오금대화,구파발오금,오금대화,대화오금
12:15,12:11,13:59,13:53
오금대화,대화오금,오금구파발,대화오금
12:24,12:17,-,13:58
오금대화,구파발오금,-,구파발오금
12:33,12:24,14:05,14:04
오금대화,대화오금,오금대화,대화오금
12:41,12:30,14:11,14:09
오금대화,대화오금,오금구파발,구파발오금
12:49,12:37,14:16,14:15
오금구파발,대화오금,오금대화,대화오금
12:57,12:43,14:22,14:21
오금대화,구파발오금,오금구파발,구파발오금
-,12:49,14:27,14:27
-,대화오금,오금대화,대화오금
-,12:56,14:32,14:33
-,대화오금,오금대화,구파발오금
13:04,13:03,14:37,14:39
오금대화,구파발오금,오금구파발,대화오금
13:10,13:10,14:42,14:45
오금대화,대화오금,오금대화,구파발오금
13:17,13:17,14:48,14:51
오금구파발,대화오금,오금구파발,대화오금
13:23,13:24,14:53,14:57
오금대화,구파발오금,오금대화,구파발오금
13:30,13:31,14:59,-
오금대화,대화오금,오금구파발,-
13:36,13:38,15:05,15:03
오금구파발,대화오금,오금대화,대화오금
13:43,13:47,15:11,15:09
오금대화,대화오금,오금구파발,구파발오금
13:49,13:56,15:17,15:15
오금구파발,대화오금,오금대화,대화오금
13:56,-,15:23,15:21
오금대화,-,오금구파발,구파발오금
14:02,14:06,15:29,15:27
오금대화,대화오금,오금대화,대화오금
14:10,14:15,15:35,15:33
오금대화,대화오금,오금구파발,구파발오금
14:17,14:23,15:41,15:39
오금구파발,대화오금,오금대화,대화오금
14:25,14:31,15:47,15:45
오금대화,대화오금,오금구파발,구파발오금
14:34,14:39,15:53,15:51
오금대화,구파발오금,오금대화,대화오금
14:43,14:46,15:59,15:57
오금대화,대화오금,오금구파발,구파발오금
14:52,14:54,16:05,16:03
오금대화,대화오금,오금대화,대화오금
15:01,15:00,16:11,16:09
오금대화,구파발오금,오금구파발,구파발오금
15:09,15:06,16:17,16:15
오금대화,대화오금,오금대화,대화오금
15:17,15:13,16:23,16:21
오금대화,대화오금,오금구파발,구파발오금
15:25,15:19,16:29,16:27
오금대화,구파발오금,오금대화,대화오금
15:32,15:25,16:35,16:33
오금구파발,대화오금,오금구파발,구파발오금
15:39,15:32,16:41,16:39
오금대화,대화오금,오금대화,대화오금
15:45,15:39,16:47,16:45
오금대화,구파발오금,오금대화,구파발오금
15:51,15:45,16:53,16:51
오금대화,대화오금,오금대화,대화오금
15:57,15:53,16:59,16:57
오금구파발,대화수서,오금구파발,구파발오금
-,15:59,17:05,17:03
-,구파발오금,오금대화,대화오금
16:03,16:06,17:11,17:09
오금대화,대화오금,오금구파발,구파발오금
16:09,16:14,17:17,17:15
오금구파발,대화오금,오금대화,대화오금
16:15,16:22,17:23,17:21
오금대화,대화오금,오금구파발,구파발오금
16:21,16:32,17:29,17:27
오금대화,대화오금,오금대화,대화수서
16:27,16:42,17:35,17:33
오금대화,대화오금,오금대화,구파발오금
16:35,16:51,17:41,17:39
수서대화,대화오금,오금구파발,대화오금
16:43,16:59,17:48,17:45
오금대화,대화오금,오금대화,구파발오금
16:51,-,17:55,17:51
오금대화,-,오금구파발,대화오금
16:59,-,-,17:57
오금대화,-,-,구파발오금
17:03,17:07,18:02,18:03
수서구파발,대화오금,오금대화,대화오금
17:08,17:15,18:09,18:09
오금대화,구파발오금,오금대화,구파발오금
17:15,17:23,18:16,18:15
오금구파발,대화오금,오금구파발,대화오금
17:21,17:28,18:23,18:21
오금대화,구파발오금,오금대화,구파발오금
17:27,17:34,18:29,18:28
오금구파발,대화오금,오금구파발,대화오금
17:32,17:39,18:35,18:33
수서대화,구파발오금,오금대화,구파발오금
17:37,17:43,18:41,18:40
오금구파발,대화오금,오금구파발,대화오금
17:41,17:48,18:47,18:46
오금대화,대화오금,오금대화,구파발오금
17:46,17:52,18:53,18:52
수서구파발,구파발오금,오금구파발,대화오금
17:50,17:56,18:59,18:58
오금대화,대화오금,오금대화,구파발오금
17:56,-,19:05,19:04
수서구파발,-,오금구파발,대화오금
18:00,18:00,19:11,19:10
오금대화,구파발오금,오금대화,대화오금
18:05,18:04,19:17,19:16
오금대화,대화오금,오금대화,대화오금
18:09,18:08,19:23,19:22
오금구파발,구파발오금,오금대화,대화오금
18:14,18:12,19:29,19:27
오금대화,대화오금,오금구파발,구파발오금
18:18,18:16,19:35,19:34
오금구파발,구파발오금,오금대화,대화오금
18:23,18:22,19:41,19:39
오금대화,대화오금,오금구파발,구파발수서
18:27,18:29,19:47,19:46
오금구파발,대화오금,오금대화,대화오금
18:31,18:34,19:53,19:52
수서대화,대화오금,오금구파발,구파발오금
18:35,18:38,-,19:58
오금구파발,구파발오금,-,대화오금
18:39,18:44,20:00,20:03
오금대화,대화오금,오금대화,구파발오금
