일원방면,가락시장방면,일원방면,가락시장방면
평일,평일,주말,주말
05:22첫,05:57첫,05:25첫,05:57첫
수서구파발,압구정오금,수서대화,압구정오금
05:30첫,,5:33,
수서대화,,오금대화,
5:36,,5:39,
오금대화,,수서구파발,
5:43,,5:46,
오금대화,,오금대화,
5:48,,5:52,
수서구파발,,수서구파발,
5:55,,5:59,
오금대화,,오금대화,
6:02,6:16,6:05,6:16
수서구파발,독립문오금,수서구파발,독립문오금
6:06,6:29,6:10,6:29
오금대화,구파발오금,오금대화,구파발오금
6:11,6:37,6:17,6:37
수서구파발,구파발오금,수서구파발,구파발오금
6:15,6:46,6:23,6:45
오금대화,대화오금,오금대화,구파발오금
6:21,6:55,6:29,6:52
수서구파발,구파발오금,수서구파발,구파발오금
6:26,,6:35,
수서대화,,오금대화,
6:30,,6:41,
오금대화,,오금대화,
6:35,,6:47,
수서구파발,,오금구파발,
6:40,,6:53,
오금대화,,오금대화,
6:45,,6:59,
수서대화,,오금구파발,
6:50,,7:05,7:00
오금대화,,오금대화,대화오금
6:54,,7:11,7:07
수서대화,,오금구파발,구파발오금
6:58,,7:17,7:15
오금대화,,오금대화,대화오금
7:02,7:02,7:23,7:21
수서구파발,대화오금,오금구파발,구파발오금
7:06,7:08,7:28,7:27
오금대화,구파발오금,오금대화,대화오금
7:11,7:14,7:33,7:33
오금구파발,대화오금,오금대화,구파발오금
7:15,7:21,7:39,7:40
오금대화,대화오금,오금대화,대화오금
7:19,7:27,7:45,7:46
수서구파발,구파발오금,오금구파발,구파발오금
7:23,7:32,7:51,7:51
오금대화,대화오금,오금대화,대화오금
7:28,7:38,7:57,7:57
오금대화,대화오금,오금구파발,구파발오금
7:32,7:44,8:03,8:03
오금대화,구파발오금,오금대화,대화오금
7:36,7:50,8:09,8:09
오금구파발,대화오금,오금구파발,구파발오금
7:40,7:55,8:15,8:14
오금대화,구파발오금,오금대화,대화오금
7:43,,8:23,8:22
수서구파발,,오금구파발,구파발오금
7:47,,8:29,8:27
오금대화,,오금대화,대화오금
7:51,,8:35,8:34
오금구파발,,오금구파발,구파발오금
7:55,,8:41,8:40
오금대화,,오금대화,대화오금
7:58,,8:47,8:47
수서구파발,,오금구파발,대화오금
8:02,8:00,8:53,8:55
오금구파발,대화오금,오금대화,구파발오금
8:05,8:04,8:59,
오금대화,구파발오금,오금구파발,
8:09,8:08,9:05,9:01
오금구파발,대화오금,수서대화,대화오금
8:12,8:12,9:11,9:08
