압구정방면,잠원방면,압구정방면,잠원방면
평일,평일,주말,주말
05:39첫,05:32첫,05:40첫,05:32첫
도곡대화,압구정오금,도곡대화,압구정오금
5:47,5:51,5:50,5:51
수서구파발,독립문오금,수서대화,독립문오금
5:55,-,5:58,-
수서대화,-,오금대화,-
6:01,6:04,6:04,6:04
오금대화,구파발오금,수서구파발,구파발오금
6:08,6:12,6:11,6:12
오금대화,구파발오금,오금대화,구파발오금
6:13,6:21,6:17,6:20
수서구파발,대화오금,수서구파발,구파발오금
6:20,6:30,6:24,6:27
오금대화,구파발오금,오금대화,구파발오금
6:27,6:37,6:29,6:35
수서구파발,대화오금,수서구파발,대화오금
6:31,6:43,6:35,6:42
오금대화,구파발오금,오금대화,구파발오금
6:36,6:49,6:41,6:50
수서구파발,대화오금,수서구파발,대화오금
6:40,6:56,6:48,6:56
오금대화,대화오금,오금대화,구파발오금
6:46,-,6:53,-
수서구파발,-,수서구파발,-
6:51,-,7:00,7:02
수서대화,-,오금대화,대화오금
6:55,-,7:06,7:08
오금대화,-,오금대화,구파발오금
7:00,7:02,7:12,7:15
수서구파발,구파발오금,오금구파발,대화오금
7:05,7:07,7:18,7:21
오금대화,대화오금,오금대화,구파발오금
7:10,7:13,7:24,7:26
수서대화,대화오금,오금구파발,대화오금
7:15,7:19,7:30,7:32
오금대화,구파발오금,오금대화,구파발오금
7:19,7:25,7:36,7:38
수서대화,대화오금,오금구파발,대화오금
7:23,7:30,7:42,7:44
오금대화,구파발오금,오금대화,구파발오금
7:27,7:35,7:48,7:49
수서구파발,대화오금,오금구파발,대화오금
7:31,7:39,7:53,7:57
오금대화,구파발오금,오금대화,구파발오금
7:36,7:43,7:58,-
오금구파발,대화오금,오금대화,-
7:40,7:47,8:04,8:02
오금대화,구파발오금,오금대화,대화오금
7:44,7:51,8:10,8:09
수서구파발,대화오금,오금구파발,구파발오금
7:48,7:55,8:16,8:15
오금대화,구파발오금,오금대화,대화오금
7:53,-,8:22,8:22
오금대화,-,오금구파발,대화오금
7:57,-,8:28,8:30
오금대화,-,오금대화,구파발오금
8:01,8:01,8:34,8:36
오금구파발,대화수서,오금구파발,대화오금
8:05,8:05,8:40,8:43
오금대화,구파발오금,오금대화,구파발오금
8:08,8:08,8:48,8:49
수서구파발,대화오금,오금구파발,대화오금
8:12,8:12,8:54,8:56
오금대화,대화수서,오금대화,구파발오금
8:16,8:16,9:00,9:01
오금구파발,구파발오금,오금구파발,대화오금
8:20,8:20,9:06,9:07
오금대화,대화오금,오금대화,대화오금
8:23,8:23,9:12,9:14
수서구파발,구파발오금,오금구파발,구파발오금
8:27,8:27,9:18,9:19
오금구파발,대화수서,오금대화,대화오금
8:30,8:31,9:24,9:25
오금대화,구파발오금,오금구파발,대화오금
8:34,8:35,9:30,9:31
오금구파발,대화오금,수서대화,대화오금
8:37,8:38,9:36,9:37
수서대화,구파발오금,오금구파발,대화오금
8:41,8:41,9:42,9:42
오금구파발,대화오금,오금대화,구파발오금
8:45,8:45,9:48,9:48
오금대화,구파발수서,오금대화,대화오금
8:49,8:50,9:54,9:55
오금대화,대화오금,오금대화,구파발오금
8:53,8:53,10:00,10:01
오금구파발,구파발수서,오금구파발,대화오금
8:57,8:58,10:06,10:07
오금대화,대화오금,오금대화,구파발오금
9:01,9:01,10:12,10:13
오금구파발,대화오금,오금대화,대화오금
9:07,9:04,10:18,10:19
오금대화,대화오금,오금구파발,대화오금
9:13,9:07,10:24,10:25
오금구파발,구파발오금,오금대화,구파발오금
9:18,9:11,10:30,10:31
오금대화,대화오금,오금대화,대화오금
9:23,9:15,10:36,10:37
오금대화,대화오금,오금구파발,대화오금
9:28,9:19,10:42,10:43
오금대화,구파발오금,오금대화,구파발오금
9:34,9:23,10:48,10:49
오금구파발,대화오금,오금구파발,대화오금
9:40,9:27,10:54,10:55
오금대화,구파발수서,오금대화,구파발오금
9:44,9:31,11:00,11:01
오금대화,대화오금,오금구파발,대화오금
9:48,9:35,11:06,11:07
오금구파발,구파발수서,오금대화,대화오금
9:51,9:39,11:12,11:14
오금대화,대화오금,오금대화,대화오금
9:58,9:43,11:18,11:21
오금대화,구파발수서,오금대화,구파발오금
-,9:47,11:24,11:27
-,대화오금,오금구파발,대화오금
-,9:52,11:30,11:35
-,구파발오금,오금대화,구파발오금
-,9:57,11:36,11:41
-,대화오금,오금구파발,대화오금
