옥수방면,신사방면,옥수방면,신사방면
평일,평일,주말,주말
05:42첫,05:30첫,05:43첫,05:30첫
도곡대화,압구정오금,도곡대화,압구정오금
5:49,5:48,5:52,5:48
수서구파발,독립문오금,수서대화,독립문오금
5:57,-,6:01,6:01
수서대화,-,오금대화,구파발오금
6:04,6:01,6:07,6:09
오금대화,구파발오금,수서구파발,구파발오금
6:11,6:09,6:14,6:17
오금대화,구파발오금,오금대화,구파발오금
6:16,6:19,6:19,6:24
수서구파발,대화오금,수서구파발,구파발오금
6:22,6:27,6:26,6:33
오금대화,구파발오금,오금대화,대화오금
6:30,6:34,6:32,6:39
수서구파발,대화오금,수서구파발,구파발오금
6:34,6:40,6:38,6:48
오금대화,구파발오금,오금대화,대화오금
6:38,6:47,6:44,6:54
수서구파발,대화오금,수서구파발,구파발오금
6:43,6:53,6:51,-
오금대화,대화오금,오금대화,-
6:48,6:59,6:56,-
수서구파발,구파발오금,수서구파발,-
6:53,-,7:03,7:00
수서대화,-,오금대화,대화오금
6:58,-,7:09,7:05
오금대화,-,오금대화,구파발오금
7:03,7:05,7:15,7:13
수서구파발,대화오금,오금구파발,대화오금
7:08,7:11,7:21,7:18
오금대화,대화오금,오금대화,구파발오금
7:13,7:16,7:27,7:24
수서대화,구파발오금,오금구파발,대화오금
7:18,7:22,7:33,7:29
오금대화,대화오금,오금대화,구파발오금
7:22,7:28,7:39,7:36
수서대화,구파발오금,오금구파발,대화오금
7:26,7:32,7:45,7:41
오금대화,대화오금,오금대화,구파발오금
7:30,7:37,7:51,7:47
수서구파발,구파발오금,오금구파발,대화오금
7:34,7:41,7:56,7:54
오금대화,대화오금,오금대화,구파발오금
7:39,7:45,8:01,8:00
오금구파발,구파발오금,오금대화,대화오금
7:43,7:49,8:07,8:06
오금대화,대화오금,오금대화,구파발오금
7:47,7:52,8:13,8:13
수서구파발,구파발오금,오금구파발,대화오금
7:51,7:58,8:19,8:20
오금대화,대화수서,오금대화,대화오금
7:56,-,8:25,8:27
오금대화,-,오금구파발,구파발오금
8:00,8:02,8:31,8:34
오금대화,구파발오금,오금대화,대화오금
8:04,8:06,8:37,8:40
오금구파발,대화오금,오금구파발,구파발오금
8:07,8:09,8:43,8:47
오금대화,대화수서,오금대화,대화오금
8:11,8:13,8:51,8:53
수서구파발,구파발오금,오금구파발,구파발오금
8:15,8:17,8:57,8:59
오금대화,대화오금,오금대화,대화오금
8:19,8:21,9:03,9:05
오금구파발,구파발오금,오금구파발,대화오금
8:22,8:24,9:09,9:11
오금대화,대화수서,오금대화,구파발오금
8:26,8:29,9:15,9:17
수서구파발,구파발오금,오금구파발,대화오금
8:29,8:33,9:21,9:23
오금구파발,대화오금,오금대화,대화오금
8:33,8:36,9:27,9:29
오금대화,구파발오금,오금구파발,대화오금
8:36,8:39,9:33,9:35
오금구파발,대화오금,수서대화,대화오금
8:40,8:43,9:39,9:39
수서대화,구파발수서,오금구파발,구파발오금
8:44,8:47,9:45,9:46
오금구파발,대화오금,오금대화,대화오금
8:48,8:51,9:51,9:52
오금대화,구파발수서,오금대화,구파발오금
8:52,8:55,9:57,9:59
오금대화,대화오금,오금대화,대화오금
8:56,8:59,10:03,10:04
오금구파발,대화오금,오금구파발,구파발오금
9:00,9:02,10:09,10:11
오금대화,대화오금,오금대화,대화오금
9:04,9:05,10:15,10:17
오금구파발,구파발오금,오금대화,대화오금
9:09,9:09,10:21,10:22
오금대화,대화오금,오금구파발,구파발오금
9:16,9:13,10:27,10:29
오금구파발,대화오금,오금대화,대화오금
9:21,9:17,10:33,10:35
오금대화,구파발오금,오금대화,대화오금
9:26,9:21,10:39,10:40
오금대화,대화오금,오금구파발,구파발오금
9:31,9:25,10:45,10:47
오금대화,구파발수서,오금대화,대화오금
9:36,9:29,10:51,10:52
오금구파발,대화오금,오금구파발,구파발오금
9:42,9:33,10:57,10:59
오금대화,구파발수서,오금대화,대화오금
9:47,9:37,11:03,11:05
오금대화,대화오금,오금구파발,대화오금
9:50,9:40,11:09,11:12
오금구파발,구파발수서,오금대화,대화오금
9:54,9:45,11:15,11:18
오금대화,대화오금,오금대화,구파발오금
-,9:49,11:21,11:25
-,구파발오금,오금대화,대화오금
-,9:55,11:27,11:32
-,대화오금,오금구파발,구파발오금
10:01,10:00,11:33,11:39
오금대화,구파발수서,오금대화,대화오금
10:07,10:05,11:39,11:46
오금구파발,대화오금,오금구파발,대화오금
10:12,10:10,11:45,11:53
오금대화,대화오금,오금대화,대화오금
10:16,10:16,11:51,11:59
오금구파발,대화오금,오금구파발,대화오금
10:21,10:21,11:57,-
오금구파발,대화오금,오금대화,-
10:26,10:27,12:03,12:05
오금대화,구파발수서,오금구파발,구파발오금
10:31,10:33,12:09,12:11
오금대화,대화오금,오금대화,대화오금
10:37,10:39,12:15,12:17
오금구파발,대화오금,오금구파발,구파발오금
10:43,10:46,12:21,12:23
오금대화,대화오금,오금대화,대화오금
10:49,10:53,12:27,12:29
오금구파발,구파발오금,오금구파발,구파발오금
10:55,-,12:33,12:35
오금대화,-,오금대화,대화오금
11:01,11:00,12:39,12:41
오금대화,대화수서,오금구파발,구파발오금
11:08,11:08,12:45,12:47
오금대화,대화오금,수서대화,대화오금
11:15,11:17,12:51,12:53
오금구파발,대화오금,오금구파발,구파발오금
11:22,11:24,12:57,12:59
오금대화,대화오금,오금대화,대화오금
11:29,11:30,13:03,13:05
오금구파발,구파발오금,오금구파발,구파발오금
11:36,11:36,13:09,13:11
오금대화,대화수서,오금대화,대화오금
11:42,11:43,13:15,13:16
오금대화,대화오금,오금구파발,구파발오금
11:49,11:48,13:21,13:22
오금대화,구파발오금,오금대화,대화오금
11:56,11:55,13:27,13:27
오금구파발,대화오금,오금구파발,구파발오금
12:04,12:01,13:33,13:32
오금대화,구파발오금,오금대화,대화오금
12:11,12:08,13:39,13:37
오금대화,대화오금,오금구파발,대화오금
12:21,12:14,13:45,13:42
오금대화,대화오금,오금대화,구파발오금
12:31,12:21,13:51,13:48
오금대화,대화오금,오금구파발,대화오금
12:40,12:27,13:57,13:53
오금대화,구파발오금,오금대화,구파발오금
12:49,12:33,-,13:59
오금대화,대화오금,-,대화오금
12:57,12:40,14:03,14:05
오금대화,대화오금,오금구파발,구파발오금
-,12:47,14:09,14:11
-,구파발오금,오금대화,대화오금
-,12:54,14:15,14:17
-,대화오금,오금구파발,구파발오금
13:05,13:01,14:21,14:23
오금구파발,대화오금,오금대화,대화오금
13:13,13:08,14:27,14:29
오금대화,구파발오금,오금구파발,구파발오금
13:20,13:15,14:32,14:35
오금대화,대화오금,오금대화,대화오금
13:26,13:22,14:38,14:41
오금대화,대화오금,오금구파발,구파발오금
13:33,13:31,14:43,14:47
오금구파발,대화오금,오금대화,대화오금
13:39,13:40,14:48,14:53
오금대화,대화오금,오금대화,구파발오금
13:46,13:50,14:53,14:59
오금대화,대화오금,오금구파발,대화오금
13:52,13:59,14:58,-
오금구파발,대화오금,오금대화,-
13:59,-,15:04,15:05
오금대화,-,오금구파발,구파발오금
14:05,14:07,15:09,15:11
오금구파발,대화오금,오금대화,대화오금
14:12,14:15,15:15,15:17
오금대화,대화오금,오금구파발,구파발오금
14:18,14:23,15:21,15:23
오금대화,구파발오금,오금대화,대화오금
14:26,14:30,15:27,15:29
오금대화,대화오금,오금구파발,구파발오금
14:33,14:38,15:33,15:35
오금구파발,대화오금,오금대화,대화오금
14:41,14:44,15:39,15:41
오금대화,구파발오금,오금구파발,구파발오금
14:50,14:50,15:45,15:47
오금대화,대화오금,오금대화,대화오금
14:59,14:57,15:51,15:53
오금대화,대화오금,오금구파발,구파발오금
15:08,15:03,15:57,15:59
오금대화,구파발오금,오금대화,대화오금
15:17,15:09,16:03,16:05
오금대화,대화오금,오금구파발,구파발오금
15:25,15:16,16:09,16:11
오금대화,대화오금,오금대화,대화오금
15:33,15:23,16:15,16:17
오금대화,구파발오금,오금구파발,구파발오금
15:41,15:29,16:21,16:23
오금대화,대화오금,오금대화,대화오금
15:48,15:37,16:27,16:29
오금구파발,대화수서,오금구파발,구파발오금
15:55,15:43,16:33,16:35
오금대화,구파발오금,오금대화,대화오금
-,15:50,16:39,16:41
-,대화오금,오금구파발,구파발오금
-,15:58,16:45,16:47
-,대화오금,오금대화,대화오금
16:01,16:06,16:51,16:53
오금대화,대화오금,오금구파발,구파발오금
16:07,16:16,16:57,16:59
오금대화,대화오금,오금대화,대화오금
16:13,16:26,17:03,17:05
오금구파발,대화오금,오금대화,구파발오금
16:19,16:35,17:09,17:11
오금대화,대화오금,오금대화,대화수서
16:25,16:43,17:15,17:17
오금구파발,대화오금,오금구파발,구파발오금
16:31,16:51,17:21,17:23
오금대화,대화오금,오금대화,대화오금
16:37,16:59,17:27,17:29
오금대화,구파발오금,오금구파발,구파발오금
16:43,-,17:33,17:35
오금대화,-,오금대화,대화오금
16:51,-,17:39,17:41
수서대화,-,오금구파발,구파발오금
16:59,-,17:45,17:47
오금대화,-,오금대화,대화오금
17:07,17:07,17:51,17:53
오금대화,대화오금,오금대화,구파발오금
17:15,17:12,17:57,17:59
오금대화,구파발오금,오금구파발,대화오금
17:19,17:18,18:04,18:05
수서구파발,대화오금,오금대화,구파발오금
17:24,17:23,18:11,18:12
오금대화,구파발오금,오금구파발,대화오금
17:31,17:27,18:18,18:17
오금구파발,대화오금,오금대화,구파발오금
17:37,17:32,18:25,18:24
오금대화,대화오금,오금대화,대화오금
17:43,17:36,18:32,18:30
오금구파발,구파발오금,오금구파발,구파발오금
17:48,17:40,18:39,18:36
수서대화,대화오금,오금대화,대화오금
17:53,17:44,18:45,18:42
오금구파발,구파발오금,오금구파발,구파발오금
17:57,17:48,18:51,18:48
오금대화,대화오금,오금대화,대화오금
-,17:52,18:57,18:54
-,구파발오금,오금구파발,대화오금
-,17:56,19:03,19:00
-,대화오금,오금대화,대화오금
18:02,18:00,19:09,19:06
수서구파발,구파발오금,오금구파발,대화오금
18:06,18:06,19:15,19:11
오금대화,대화오금,오금대화,구파발오금
18:12,18:13,19:21,19:18
수서구파발,대화오금,오금구파발,대화오금
18:16,18:18,19:27,19:23
오금대화,대화오금,오금대화,구파발수서
18:21,18:22,19:33,19:30
오금대화,구파발오금,오금대화,대화오금
18:25,18:28,19:39,19:36
오금구파발,대화오금,오금대화,구파발오금
18:30,18:31,19:45,19:42
오금대화,구파발수서,오금구파발,대화오금
18:34,18:35,19:51,19:47
오금구파발,대화오금,오금대화,구파발오금
18:39,18:40,19:57,19:54
오금대화,구파발오금,오금구파발,대화오금
18:43,18:44,-,19:59
오금구파발,대화오금,-,구파발오금
18:47,18:48,20:03,20:06
수서대화,구파발수서,오금대화,대화오금
18:51,18:52,20:09,20:11
오금구파발,대화오금,오금구파발,구파발오금
18:55,18:56,20:16,20:18
오금대화,구파발수서,오금대화,대화수서
18:59,-,20:23,20:23
오금구파발,-,오금대화,구파발오금
19:04,19:00,20:31,20:30
오금대화,대화오금,오금대화,대화수서
19:09,19:03,20:39,20:35
오금구파발,구파발오금,오금대화,구파발오금
19:14,19:08,20:47,20:42
오금대화,대화오금,오금대화,대화오금
19:19,19:12,20:54,20:48
오금구파발,구파발오금,오금대화,대화오금
19:24,19:16,-,20:54
오금대화,대화수서,-,대화오금
19:29,19:21,-,20:59
오금구파발,구파발오금,-,구파발오금
19:34,19:25,21:01,21:06
오금대화,대화오금,오금구파발,대화오금
19:39,19:30,21:07,21:11
오금대화,대화오금,오금대화,구파발수서
19:45,19:35,21:13,21:18
오금대화,구파발오금,오금대화,대화오금
19:50,19:40,21:20,21:23
오금구파발,대화오금,오금대화,구파발오금
19:55,19:45,21:27,21:30
오금대화,구파발오금,오금구파발,대화오금
-,19:50,21:34,21:35
-,대화수서,오금대화,대화오금
-,19:55,21:41,21:42
-,대화오금,오금구파발,대화수서
20:00,20:00,21:48,21:50
오금구파발,구파발오금,오금대화,대화오금
20:06,20:05,21:55,21:58
오금대화,대화오금,오금구파발,대화오금
20:12,20:10,22:02,22:06
오금대화,구파발수서,오금대화,대화오금
20:17,20:15,22:09,22:13
오금구파발,대화오금,오금대화,구파발오금
20:23,20:20,22:17,22:22
오금대화,구파발오금,오금구파발,대화수서
20:28,20:25,22:25,22:30
오금구파발,대화오금,오금대화,대화오금
20:34,20:30,22:33,22:37
