동대입구방면,금호방면,동대입구방면,금호방면
평일,평일,주말,주말
05:30첫,05:43첫,05:30첫,05:43첫
약수대화,독립문오금,약수대화,독립문오금
5:47,5:56,5:48,5:56
도곡대화,구파발오금,도곡대화,구파발오금
5:55,,5:58,
수서구파발,,수서대화,
6:03,6:04,6:06,6:04
수서대화,구파발오금,오금대화,구파발오금
6:09,6:13,6:12,6:12
오금대화,대화오금,수서구파발,구파발오금
6:16,6:22,6:19,6:19
오금대화,구파발오금,오금대화,구파발오금
6:21,6:29,6:25,6:27
수서구파발,대화오금,수서구파발,대화오금
6:28,6:35,6:32,6:34
오금대화,구파발오금,오금대화,구파발오금
6:35,6:41,6:37,6:42
수서구파발,대화오금,수서구파발,대화오금
6:39,6:48,6:43,6:48
오금대화,대화오금,오금대화,구파발오금
6:44,6:54,6:49,6:54
수서구파발,구파발오금,수서구파발,대화오금
6:48,6:59,6:56,
오금대화,대화오금,오금대화,
6:54,,7:01,7:00
수서구파발,,수서구파발,구파발오금
6:59,,7:08,7:07
수서대화,,오금대화,대화오금
7:03,7:05,7:14,7:13
오금대화,대화오금,오금대화,구파발오금
7:08,7:11,7:20,7:18
수서구파발,구파발오금,오금구파발,대화오금
7:13,7:17,7:26,7:24
오금대화,대화오금,오금대화,구파발오금
7:18,7:22,7:32,7:30
수서대화,구파발오금,오금구파발,대화오금
7:23,7:27,7:38,7:36
오금대화,대화오금,오금대화,구파발오금
7:27,7:31,7:44,7:41
수서대화,구파발오금,오금구파발,대화오금
7:31,7:35,7:50,7:49
오금대화,대화오금,오금대화,구파발오금
7:35,7:39,7:56,7:54
수서구파발,구파발오금,오금구파발,대화오금
7:39,7:43,8:01,8:01
오금대화,대화오금,오금대화,구파발오금
7:44,7:47,8:06,8:07
오금구파발,구파발오금,오금대화,대화오금
7:48,7:53,8:12,8:14
오금대화,대화수서,오금대화,대화오금
7:52,7:57,8:18,8:22
수서구파발,구파발오금,오금구파발,구파발오금
7:56,,8:24,8:28
오금대화,,오금대화,대화오금
8:01,8:00,8:30,8:35
오금대화,대화오금,오금구파발,구파발오금
8:05,8:04,8:36,8:41
오금대화,대화수서,오금대화,대화오금
8:09,8:08,8:42,8:48
오금구파발,구파발오금,오금구파발,구파발오금
8:13,8:12,8:48,8:53
오금대화,대화오금,오금대화,대화오금
8:16,8:15,8:56,8:59
수서구파발,구파발오금,오금구파발,대화오금
8:20,8:19,9:02,9:06
오금대화,대화수서,오금대화,구파발오금
8:24,8:23,9:08,9:11
오금구파발,구파발오금,오금구파발,대화오금
8:28,8:27,9:14,9:17
오금대화,대화오금,오금대화,대화오금
8:31,8:30,9:20,9:23
수서구파발,구파발오금,오금구파발,대화오금
8:35,8:33,9:26,9:29
