남부터미널방면,매봉방면,남부터미널방면,매봉방면
평일,평일,주말,주말
05:28첫,05:43첫,05:29첫,05:43첫
도곡대화,압구정오금,도곡대화,압구정오금
5:36,,5:39,
수서구파발,,수서대화,
5:44,,5:47,
수서대화,,오금대화,
5:50,,5:53,
오금대화,,수서구파발,
5:57,,6:00,6:02
오금대화,,오금대화,독립문오금
6:02,6:02,6:06,6:15
수서구파발,독립문오금,수서구파발,구파발오금
6:09,6:15,6:13,6:23
오금대화,구파발오금,오금대화,구파발오금
6:16,6:23,6:19,6:31
수서구파발,구파발오금,수서구파발,구파발오금
6:20,6:32,6:24,6:38
오금대화,대화오금,오금대화,구파발오금
6:25,6:41,6:31,6:46
수서구파발,구파발오금,수서구파발,대화오금
6:29,6:48,6:37,6:53
오금대화,대화오금,오금대화,구파발오금
6:35,6:54,6:43,
수서구파발,구파발오금,수서구파발,
6:40,,6:49,
수서대화,,오금대화,
6:44,,6:55,
오금대화,,오금대화,
6:49,,7:01,7:01
수서구파발,,오금구파발,대화오금
6:54,,7:07,7:07
오금대화,,오금대화,구파발오금
6:59,,7:13,7:13
수서대화,,오금구파발,대화오금
7:04,7:00,7:19,7:19
오금대화,대화오금,오금대화,구파발오금
7:08,7:07,7:25,7:26
수서대화,대화오금,오금구파발,대화오금
7:12,7:13,7:31,7:32
오금대화,구파발오금,오금대화,구파발오금
7:16,7:18,7:37,7:37
수서구파발,대화오금,오금구파발,대화오금
7:20,7:24,7:42,7:43
오금대화,대화오금,오금대화,구파발오금
7:25,7:30,7:47,7:49
오금구파발,구파발오금,오금대화,대화오금
7:29,7:36,7:53,7:55
오금대화,대화오금,오금대화,구파발오금
7:33,7:41,7:59,
수서구파발,구파발오금,오금구파발,
7:37,7:46,8:05,8:00
오금대화,대화오금,오금대화,대화오금
7:42,7:50,8:11,8:08
오금대화,구파발오금,오금구파발,구파발오금
7:46,7:54,8:17,8:13
오금대화,대화오금,오금대화,대화오금
7:50,7:58,8:23,8:20
오금구파발,구파발오금,오금구파발,구파발오금
7:54,,8:29,8:26
오금대화,,오금대화,대화오금
7:57,,8:37,8:33
수서구파발,,오금구파발,대화오금
8:01,8:02,8:43,8:41
오금대화,대화오금,오금대화,구파발오금
8:05,8:06,8:49,8:47
오금구파발,구파발오금,오금구파발,대화오금
8:09,8:12,8:55,8:54
오금대화,대화수서,오금대화,구파발오금
8:12,8:16,9:01,9:00
수서구파발,구파발오금,오금구파발,대화오금
8:16,8:19,9:07,9:07
오금구파발,대화오금,오금대화,구파발오금
8:19,8:23,9:13,9:12
오금대화,대화수서,오금구파발,대화오금
8:23,8:27,9:19,9:18
오금구파발,구파발오금,수서대화,대화오금
8:26,8:31,9:25,9:25
수서대화,대화오금,오금구파발,구파발오금
8:30,8:34,9:31,9:30
오금구파발,구파발오금,오금대화,대화오금
8:34,8:38,9:37,9:36
오금대화,대화수서,오금대화,대화오금
8:38,8:42,9:43,9:42
오금대화,구파발오금,오금대화,대화오금
8:42,8:46,9:49,9:48
오금구파발,대화오금,오금구파발,대화오금
8:46,8:49,9:55,9:53
오금대화,구파발오금,오금대화,구파발오금
8:50,8:52,,9:59
오금구파발,대화오금,,대화오금
8:56,8:56,10:01,10:06
오금대화,구파발수서,오금대화,구파발오금
9:02,9:01,10:07,10:12
오금구파발,대화오금,오금구파발,대화오금
9:07,9:04,10:13,10:18
오금대화,구파발수서,오금대화,구파발오금
9:12,9:09,10:19,10:24
오금대화,대화오금,오금대화,대화오금
9:17,9:12,10:25,10:30
오금대화,대화오금,오금구파발,대화오금
9:23,9:15,10:31,10:36
오금구파발,대화오금,오금대화,구파발오금
9:29,9:18,10:37,10:42
오금대화,구파발오금,오금구파발,대화오금
9:33,9:22,10:43,10:48
오금대화,대화오금,오금대화,대화오금
9:37,9:26,10:49,10:54
오금구파발,대화오금,오금구파발,구파발오금
9:40,9:30,10:55,
오금대화,구파발오금,오금대화,
9:47,9:34,11:01,11:00
오금대화,대화오금,오금대화,대화오금
9:53,9:38,11:07,11:06
오금구파발,구파발수서,오금대화,구파발오금
9:58,9:42,11:13,11:12
오금대화,대화오금,오금구파발,대화오금
,9:46,11:19,11:18
,구파발수서,오금대화,대화오금
,9:50,11:25,11:25
,대화오금,오금구파발,대화오금
,9:54,11:31,11:32
,구파발수서,오금대화,구파발오금
,9:58,11:37,11:38
,대화오금,오금구파발,대화오금
10:02,10:03,11:43,11:46
오금구파발,구파발오금,오금대화,구파발오금
10:07,10:08,11:49,11:52
오금구파발,대화오금,오금구파발,대화오금
10:12,10:13,11:55,11:59
오금대화,구파발수서,오금대화,대화오금
10:18,10:18,12:01,12:06
오금대화,대화오금,오금구파발,대화오금
10:23,10:23,12:07,12:12
오금구파발,대화오금,오금대화,대화오금
10:29,10:29,12:13,12:19
오금대화,대화오금,오금구파발,구파발오금
10:35,10:35,12:19,12:24
오금구파발,대화오금,오금대화,대화오금
10:41,10:41,12:25,12:31
오금대화,구파발수서,오금구파발,구파발오금
10:48,10:46,12:31,12:36
오금대화,대화오금,수서대화,대화오금
10:54,10:52,12:37,12:43
오금대화,대화오금,오금구파발,구파발오금
,10:59,12:43,12:48
,대화오금,오금대화,대화오금
11:01,11:06,12:49,12:55
오금구파발,구파발오금,오금구파발,구파발오금
11:08,11:13,12:55,
오금대화,대화수서,오금대화,
11:15,11:21,13:01,13:00
오금구파발,대화오금,오금구파발,대화오금
11:22,11:30,13:07,13:07
오금대화,대화오금,오금대화,구파발오금
11:29,11:37,13:13,13:12
오금대화,대화오금,오금구파발,대화오금
11:35,11:43,13:19,13:19
오금대화,구파발오금,오금대화,구파발오금
11:43,11:49,13:25,13:24
오금구파발,대화수서,오금구파발,대화오금
11:50,11:56,13:31,13:30
오금대화,대화오금,오금대화,구파발오금
11:58,,13:37,13:35
오금대화,,오금구파발,대화오금
12:07,12:02,13:43,13:41
오금대화,구파발오금,오금대화,구파발오금
12:18,12:08,13:49,13:45
오금대화,대화오금,오금구파발,대화오금
12:26,12:15,13:55,13:50
오금대화,구파발오금,오금대화,대화오금
12:36,12:21,,13:56
오금대화,대화오금,,구파발오금
12:43,12:28,14:01,14:01
오금대화,대화오금,오금구파발,대화오금
