금호방면,압구정방면,금호방면,압구정방면
평일,평일,주말,주말
05:44첫,05:46첫,05:45첫,05:46첫
도곡대화,독립문오금,도곡대화,독립문오금
5:52,5:59,5:55,5:59
수서구파발,구파발오금,수서대화,구파발오금
6:00,6:07,6:03,6:07
수서대화,구파발오금,오금대화,구파발오금
6:06,6:16,6:09,6:15
오금대화,대화오금,수서구파발,구파발오금
6:13,6:25,6:16,6:22
오금대화,구파발오금,오금대화,구파발오금
6:18,6:32,6:22,6:30
수서구파발,대화오금,수서구파발,대화오금
6:25,6:38,6:29,6:37
오금대화,구파발오금,오금대화,구파발오금
6:32,6:44,6:34,6:45
수서구파발,대화오금,수서구파발,대화오금
6:36,6:51,6:40,6:51
오금대화,대화오금,오금대화,구파발오금
6:41,6:57,6:46,6:57
수서구파발,구파발오금,수서구파발,대화오금
6:45,-,6:53,-
오금대화,-,오금대화,-
6:51,-,6:58,-
수서구파발,-,수서구파발,-
6:56,-,7:05,7:03
수서대화,-,오금대화,구파발오금
7:00,7:02,7:11,7:10
오금대화,대화오금,오금대화,대화오금
7:05,7:08,7:17,7:16
수서구파발,대화오금,오금구파발,구파발오금
7:10,7:14,7:23,7:21
오금대화,구파발오금,오금대화,대화오금
7:15,7:20,7:29,7:27
수서대화,대화오금,오금구파발,구파발오금
7:20,7:25,7:35,7:33
오금대화,구파발오금,오금대화,대화오금
7:24,7:30,7:41,7:39
수서대화,대화오금,오금구파발,구파발오금
7:28,7:34,7:47,7:44
오금대화,구파발오금,오금대화,대화오금
7:32,7:38,7:53,7:52
수서구파발,대화오금,오금구파발,구파발오금
7:36,7:42,7:58,7:57
오금대화,구파발오금,오금대화,대화오금
7:41,7:46,8:03,8:04
오금구파발,대화오금,오금대화,구파발오금
7:45,7:50,8:09,8:10
오금대화,구파발오금,오금대화,대화오금
7:49,7:56,8:15,8:17
수서구파발,대화수서,오금구파발,대화오금
7:53,-,8:21,8:25
오금대화,-,오금대화,구파발오금
7:58,-,8:27,8:31
오금대화,-,오금구파발,대화오금
8:02,8:00,8:33,8:38
오금대화,구파발오금,오금대화,구파발오금
8:06,8:03,8:39,8:44
오금구파발,대화오금,오금구파발,대화오금
8:10,8:07,8:45,8:51
오금대화,대화수서,오금대화,구파발오금
8:13,8:11,8:53,8:56
수서구파발,구파발오금,오금구파발,대화오금
8:17,8:15,8:59,-
오금대화,대화오금,오금대화,-
8:21,8:18,9:05,9:02
오금구파발,구파발오금,오금구파발,대화오금
8:25,8:22,9:11,9:09
오금대화,대화수서,오금대화,구파발오금
8:28,8:26,9:17,9:14
수서구파발,구파발오금,오금구파발,대화오금
8:32,8:30,9:23,9:20
오금구파발,대화오금,오금대화,대화오금
8:35,8:33,9:29,9:26
오금대화,구파발오금,오금구파발,대화오금
8:39,8:36,9:35,9:32
오금구파발,대화오금,수서대화,대화오금
8:42,8:40,9:41,9:37
수서대화,구파발수서,오금구파발,구파발오금
8:46,8:45,9:47,9:43
오금구파발,대화오금,오금대화,대화오금
8:50,8:48,9:53,9:50
오금대화,구파발수서,오금대화,구파발오금
8:54,8:53,9:59,9:56
오금대화,대화오금,오금대화,대화오금
8:58,8:56,10:05,10:02
오금구파발,대화오금,오금구파발,구파발오금
-,8:59,10:11,10:08
-,대화오금,오금대화,대화오금
9:02,9:02,10:17,10:14
오금대화,구파발오금,오금대화,대화오금
9:06,9:06,10:23,10:20
오금구파발,대화오금,오금구파발,구파발오금
9:12,9:10,10:29,10:26
오금대화,대화오금,오금대화,대화오금
9:18,9:14,10:35,10:32
오금구파발,구파발오금,오금대화,대화오금
9:23,9:18,10:41,10:38
오금대화,대화오금,오금구파발,구파발오금
9:28,9:22,10:47,10:44
오금대화,구파발수서,오금대화,대화오금
9:33,9:26,10:53,10:50
오금대화,대화오금,오금구파발,구파발오금
9:39,9:30,10:59,10:56
오금구파발,구파발수서,오금대화,대화오금
9:45,9:34,11:05,11:02
오금대화,대화오금,오금구파발,대화오금
9:49,9:38,11:11,11:09
